,Features,MRMR,CFS,IG-20,IG-40
0,1,5.0,0.0,4.1,4.8
1,2,0.0,0.0,2.1,3.7
2,3,0.0,0.0,0.5,2.3000000000000003
3,4,0.0,5.0,4.5,5.0
4,5,0.0,0.0,0.5,2.7
5,6,0.0,0.0,3.7,4.9
6,7,0.0,0.0,0.7,2.1
7,8,0.0,0.0,1.6,3.2
8,9,4.1,0.0,1.3,3.5
9,10,0.0,0.0,1.3,3.5
10,11,0.0,1.1,2.8000000000000003,4.7
11,12,0.0,0.0,0.4,2.3
12,13,0.0,0.0,0.7,3.1999999999999997
13,14,0.0,0.0,1.7000000000000002,3.5999999999999996
14,15,0.0,0.0,1.0,2.6
15,16,0.0,0.0,2.4999999999999996,4.1000000000000005
16,17,0.0,0.0,0.7,2.6
17,18,0.0,0.0,1.2,3.5999999999999996
18,19,0.0,5.0,5.0,5.0
19,20,0.0,0.0,0.6000000000000001,1.6
20,21,0.0,5.0,5.0,5.0
21,22,0.0,0.0,1.5,3.3000000000000003
22,23,0.8999999999999999,0.0,0.5,2.0
23,24,0.0,0.0,0.7999999999999999,1.8000000000000003
24,25,0.0,0.0,1.4,3.8000000000000003
25,26,0.0,2.0,2.5,3.8000000000000003
26,27,0.0,0.0,0.5,1.8
27,28,0.0,0.0,0.7000000000000001,2.5
28,29,0.0,0.0,3.3999999999999995,4.9
29,30,0.0,5.0,5.0,5.0
30,31,0.0,0.0,0.4,1.7000000000000002
31,32,0.0,0.0,0.5,2.4
32,33,0.0,0.0,0.8,2.5
33,34,0.0,0.1,2.9,4.5
34,35,0.0,0.8999999999999999,1.6999999999999997,3.7
35,36,0.0,0.0,0.30000000000000004,2.0
36,37,0.0,0.4,3.0,4.7
37,38,0.0,0.0,0.1,2.3000000000000003
38,39,0.0,0.0,0.4,1.6
39,40,0.0,2.9,2.4,4.4
40,41,0.0,0.0,0.2,1.9
41,42,0.0,0.0,1.0,2.9
42,43,0.0,0.0,1.3,3.3000000000000003
43,44,0.0,0.0,1.6,3.2
44,45,0.0,0.0,1.7000000000000002,3.7
45,46,0.0,0.0,4.1000000000000005,4.9
46,47,0.0,0.0,0.9000000000000001,2.5
47,48,5.0,0.0,0.5,2.5
48,49,0.0,0.0,1.0,2.4000000000000004
49,50,0.0,0.0,0.30000000000000004,1.6
50,51,0.0,0.0,1.1,2.8
51,52,0.0,0.0,0.2,1.7000000000000002
52,53,0.0,0.0,0.3,1.7999999999999998
53,54,0.0,0.0,0.8999999999999999,2.5
54,55,5.0,5.0,2.5,4.5
55,56,0.0,0.0,1.2000000000000002,3.6
56,57,0.0,0.0,0.1,2.3
57,58,5.0,5.0,5.0,5.0
58,59,0.0,0.0,1.2,2.3
59,60,0.0,0.0,0.9,2.8000000000000003
60,61,0.0,0.0,0.4,2.0
61,62,0.0,0.0,0.4,2.5
62,63,0.0,0.0,2.5,4.6
