multivariate,CI 95%  lower,CI 95% upper,OR,p-value,meaning,univariate,CI 95%  lower,CI 95% upper,OR,p-value
All_Population_Count_2015,1.011114117,1.171726199,1.088461713,0.024205607,,,0.919724647,1.000608602,0.959314544,0.05340035
Annual_Precipitation_2015,0.705430899,0.909080052,0.800807816,0.000596438,,,0.661999353,0.72430277,0.692450695,9.72765E-58
Day_Land_Surface_Temp_2015,0.702265511,0.928265458,0.80739632,0.002648986,,,1.191254798,1.307544371,1.248045875,1.10879E-20
Diurnal_Temperature_Range_2015,0.937815516,1.088486843,1.010346401,0.786533839,,,0.96945822,1.060579662,1.013995893,0.544193961
Enhanced_Vegetation_Index_2015,0.722928702,0.906556984,0.809553003,0.000253267,,,0.754334031,0.824577395,0.788674071,1.43503E-25
Global_Human_Footprint,0.951946501,1.153729946,1.047992932,0.339161269,,,0.851174859,0.927820576,0.888671788,8.05134E-08
Gross_Cell_Production,0.880308649,1.030307149,0.95235933,0.223941581,,,0.785425137,0.867216705,0.825308305,3.02318E-14
Growing_Season_Length,1.087924515,1.454551134,1.257951444,0.001952291,,,0.708888801,0.776411967,0.74188257,7.25361E-38
Irrigation,0.984391315,1.136676252,1.057796876,0.125709579,,,1.034516046,1.154820089,1.093014141,0.001529132
ITN_Coverage_2015,1.117836429,1.33256178,1.220486011,8.78E-06,,,1.31E+00,1.414792749,1.359233537,5.80836E-51
Land_Surface_Temperature_2015,0.788998453,1.037301159,0.904670664,0.151203482,,,1.192540482,1.301632857,1.245893204,7.17274E-23
Malaria_Prevalence_2015,0.970663474,1.110770145,1.038356397,0.273826556,,,1.083388333,1.196517627,1.138548742,3.0391E-07
Mean_Temperature_2015,0.983964522,1.21664839,1.094138407,0.096626117,,,1.186527462,1.299351561,1.241658693,9.56569E-21
Nightlights_Composite,0.890753307,1.138681368,1.007116773,0.909868135,,,0.827251122,0.910904399,0.868070669,8.54638E-09
Proximity_to_Water,0.775170915,0.964899979,0.864848194,0.009330789,,,1.126319645,1.229954871,1.176997168,3.94437E-13
V025,0.804816407,1.359301763,1.045938985,0.736925579,,,1.192743945,1.513232142,1.3434651,1.15582E-06
ToiletNew,0.813842868,1.170963205,0.976206972,0.795282288,,,0.809300487,1.036228452,0.915762082,0.162841842
HIV,0.393939604,1.106745841,0.66029616,0.115237264,,,0.304234685,0.77313373,0.484988759,0.002354757
HouseholdAmenities,0.854511782,1.140565832,0.987231959,0.861512587,,,1.290091616,1.554691928,1.416225625,2.63622E-13
AnyTransportation,0.746998696,1.241837092,0.963146245,0.772130681,,,0.549535612,0.839424224,0.679185913,0.00034414
FloorNew,0.893162007,1.367022544,1.104976288,0.357904546,,,1.142781114,1.453256339,1.288702409,3.52261E-05
V151,0.858664364,1.136567518,0.987891707,0.864766011,,,1.071359716,1.345301582,1.200542344,0.001651548
V404,0.862122805,1.086220296,0.9677062,0.577594899,,,1.19771447,1.445168923,1.315636626,1.03114E-08
PotatoesBeansLentils,0.830134264,1.072127534,0.943403308,0.371983583,,,0.673688211,0.826771127,0.746314921,2.12296E-08
MeatorFishNew,0.713499275,1.223509562,0.934330341,0.621503786,,,0.706878011,1.114496545,0.887588362,0.304578326
AnyFruitNew,0.785681858,1.102096249,0.930535883,0.404324754,,,0.595102958,0.778693576,0.680736991,2.06329E-08
anyDairyNew,0.769561994,1.001797855,0.878035053,0.053203473,,,0.823399372,1.025171457,0.918763045,0.12968515
AnyVegetables,0.764499353,1.055646848,0.898354792,0.192875782,,,0.654165234,0.843392043,0.742777055,4.47976E-06
MaternalAnemia,1.301260067,1.632753483,1.457613428,7.58E-11,,,1.87E+00,2.275778271,2.061717649,9.78831E-47
B4,0.795630344,0.976818078,0.881581592,0.016035968,,,0.872709183,1.046348682,0.955593064,0.326474437
ChildIPdrugs,0.761017761,1.032656051,0.886492862,0.121794933,,,1.197015827,1.556405438,1.364932944,3.40214E-06
M45,0.855665522,1.067507074,0.955734795,0.422369512,,,0.779382778,0.933911983,0.853155856,0.000578056
ChildAgeGroups_1.0,1.461523297,2.63537528,1.962565252,7.36E-06,,,2.23E+00,3.093629718,2.625141553,1.05149E-30
ChildAgeGroups_2.0,1.545504878,2.359221666,1.909499566,2.04E-09,,,1.72E+00,2.171806605,1.934717732,4.5822E-29
ChildAgeGroups_3.0,1.191799964,1.673867491,1.412414676,6.75E-05,,,9.83E-01,1.226182682,1.098123703,0.096267265
ChildAgeGroups_4.0,1.035031735,1.417772767,1.211379299,0.016898257,,,0.635319425,0.790692129,0.708760939,6.92703E-10
ChildAgeGroups_5.0,0.06905725,3.605947689,0.499015863,0.490896974,,,0.165751932,5.943363606,0.99253413,0.993452237
V024_1.0,0.278858312,0.566240287,0.39736735,3.27E-07,,,6.25E-01,0.834840706,0.722406765,1.05377E-05
V024_2.0,0.494178456,1.056507368,0.722567077,0.093663239,,,1.822911517,2.578819615,2.16816973,2.23276E-18
V024_3.0,0.195096159,0.433605714,0.290851869,1.35E-09,,,3.86E-01,0.520399199,0.44803498,7.76111E-26
V024_4.0,0.411126562,0.88420801,0.602927358,0.009600441,,,1.085950639,1.400178433,1.233095562,0.001230279
V024_5.0,1.100568541,2.382511859,1.619295403,0.014431871,,,2.908816673,4.059874479,3.436485207,9.92137E-48
V024_6.0,0.276560415,0.676647486,0.432589771,0.000241347,,,0.390949961,0.540110214,0.459517211,4.06031E-21
V024_7.0,0.220922032,0.527900714,0.341503878,1.33E-06,,,5.61E-01,0.73211915,0.640597874,6.30272E-11
V024_8.0,0.429100405,1.116396732,0.6921317,0.131408457,,,0.781603259,1.12613334,0.938184144,0.493402295
V024_9.0,0.440945779,1.038149328,0.676585223,0.073684213,,,1.067616339,1.657511323,1.330257934,0.010990255
V024_10.0,0.342053604,1.065591337,0.60372954,0.081717513,,,0.473023904,0.748395552,0.594986543,9.15367E-06
V106_1.0,0.873545674,1.155291985,1.004589626,0.948802827,,,0.781987168,0.961866624,0.867275826,0.007015962
V106_2.0,0.691820737,1.173218388,0.900919979,0.438718007,,,0.584357811,0.844388162,0.702442039,0.000169108
V106_3.0,0.552122284,1.179969568,0.807147751,0.268806209,,,0.452321451,0.754783468,0.584298514,3.89443E-05
HusbandEducationNew_1.0,0.898938544,1.157913636,1.020241735,0.756338553,,,0.788566056,0.957805078,0.8690757,0.004667349
HusbandEducationNew_2.0,0.812105131,1.224223311,0.997094796,0.97783186,,,0.742429719,1.014773951,0.867985218,0.075733836
HusbandEducationNew_3.0,1.013811895,1.724130391,1.322098293,0.039281401,,,0.731458564,1.050357525,0.876523249,0.15337123
MaternalOccNew_1.0,0.95351239,1.345042847,1.132481796,0.156316913,,,0.593675925,0.739861671,0.662750376,2.38578E-13
MaternalOccNew_2.0,1.016660524,1.340672836,1.167479828,0.028229092,,,1.584056289,1.904431798,1.736872812,7.13086E-32
HusbandOccNew_1.0,0.824915159,1.080960616,0.944299104,0.405931402,,,0.844378072,1.012579638,0.924662123,0.090989086
HusbandOccNew_2.0,0.746026694,1.117419642,0.913030603,0.377354048,,,1.137386721,1.561432066,1.332648527,0.000381598
WaterSourceNew_1.0,0.759450866,1.574640714,1.09355487,0.630677358,,,0.632929435,0.827610841,0.723753592,2.29442E-06
WaterSourceNew_2.0,0.976985887,1.237988239,1.099771357,0.115373238,,,0.859906608,1.031336913,0.941728956,0.195454898
TimetoWaterNew_1.0,0.754833864,1.401542653,1.028558144,0.858437136,,,0.859392756,1.030413576,0.941026016,0.18922912
TimetoWaterNew_2.0,0.688840962,1.286434749,0.941354848,0.704485168,,,1.140015444,1.379829216,1.254203578,3.31107E-06
ReligionRecode_1.0,0.512195794,1.050322186,0.733464796,0.090651146,,,0.419574204,0.51089025,0.46298636,4.86796E-53
ReligionRecode_2.0,0.591807448,1.181926231,0.836344873,0.311174064,,,0.678118425,0.855395832,0.761616488,4.30163E-06
ReligionRecode_3.0,0.630800062,1.275324427,0.896925151,0.544687356,,,2.099256114,2.528814626,2.304046346,3.8514E-69
HouseholdNumGroup_1.0,0.873909439,1.169493851,1.010955842,0.883445819,,,0.929919807,1.127694919,1.024043867,0.629107293
HouseholdNumGroup_2.0,0.769274649,1.284009393,0.993859082,0.962406942,,,0.985731457,1.439829243,1.191337474,0.070097024
V158_1.0,0.765351681,1.08755257,0.91233776,0.306034593,,,0.679556658,0.897198077,0.780830921,0.000482181
V158_2.0,0.718513827,1.033684284,0.861809985,0.1089572,,,0.634603724,0.836607464,0.728638602,7.10659E-06
V159_1.0,0.869972911,1.314745861,1.069482718,0.523681834,,,0.742350216,1.034128393,0.876176601,0.118022658
V159_2.0,0.741399022,1.223699118,0.952496367,0.703407818,,,0.554134367,0.732574173,0.63713776,2.45633E-10
V157_1.0,0.824658446,1.378012977,1.066015966,0.625493003,,,0.531168406,0.795894057,0.650195184,3.00764E-05
V157_2.0,0.810790463,1.894182901,1.239268103,0.321679626,,,0.587520992,1.190866913,0.836456401,0.321783681
V190_1.0,1.151111568,2.096159289,1.553355467,0.003972674,,,1.797844602,2.186463837,1.982655342,8.88492E-43
V190_2.0,0.986649361,1.769071571,1.32115606,0.06152104,,,0.839142471,1.062828597,0.94438584,0.342527571
V190_3.0,0.836379906,1.482258183,1.113432063,0.461712287,,,0.62526218,0.80386634,0.708962072,8.05015E-08
V190_4.0,0.888401224,1.535627407,1.168012529,0.26597022,,,0.615906541,0.805788024,0.704478612,3.22457E-07
BirthSizeGrouped_1.0,0.90374886,1.152845154,1.020726454,0.74114676,,,0.815165628,0.979077107,0.893370027,0.015849904
BirthSizeGrouped_2.0,0.951884582,1.265227925,1.097429248,0.200303458,,,1.233383508,1.52271922,1.370436709,4.58012E-09
BirthSizeGrouped_3.0,0.439184616,1.297353925,0.75483633,0.308749192,,,0.39845706,1.028540791,0.640179147,0.065235838
HeightNew_1.0,1.610538026,2.887089254,2.156331845,2.46E-07,,,2.42E+00,3.115008838,2.743012274,1.56417E-54
