,Feature,Feature Selection,Probability
0,1,IG-80,0.64
1,2,IG-80,1.0
2,3,IG-80,1.0
3,4,IG-80,1.0
4,5,IG-80,1.0
5,6,IG-80,1.0
6,7,IG-80,1.0
7,8,IG-80,1.0
8,9,IG-80,1.0
9,10,IG-80,1.0
10,11,IG-80,1.0
11,12,IG-80,0.9800000000000001
12,13,IG-80,1.0
13,14,IG-80,0.9400000000000001
14,15,IG-80,1.0
15,16,IG-80,0.96
16,17,IG-80,0.9400000000000001
17,18,IG-80,0.9800000000000001
18,19,IG-80,1.0
19,20,IG-80,0.9
20,21,IG-80,0.8400000000000001
21,22,IG-80,0.7999999999999999
22,23,IG-80,0.8800000000000001
23,24,IG-80,0.76
24,25,IG-80,0.6399999999999999
25,26,IG-80,0.66
26,27,IG-80,0.5399999999999999
27,28,IG-80,0.6799999999999999
28,29,IG-80,1.0
29,30,IG-80,0.52
30,31,IG-80,0.6799999999999999
31,32,IG-80,0.7
32,33,IG-80,0.96
33,34,IG-80,0.9800000000000001
34,35,IG-80,0.58
35,36,IG-80,0.78
36,37,IG-80,0.6
37,38,IG-80,0.72
38,39,IG-80,0.9
39,40,IG-80,0.9800000000000001
40,41,IG-80,0.6599999999999999
41,42,IG-80,1.0
42,43,IG-80,0.9
43,44,IG-80,0.76
44,45,IG-80,0.72
45,46,IG-80,0.5399999999999999
46,47,IG-80,0.76
47,48,IG-80,0.74
48,49,IG-80,0.72
49,50,IG-80,0.7200000000000001
50,51,IG-80,0.68
51,52,IG-80,0.66
52,53,IG-80,0.6799999999999999
53,54,IG-80,0.8800000000000001
54,55,IG-80,0.9200000000000002
55,56,IG-80,0.78
56,57,IG-80,0.72
57,58,IG-80,0.72
58,59,IG-80,0.6799999999999999
59,60,IG-80,0.74
60,61,IG-80,0.76
61,62,IG-80,0.9800000000000001
62,63,IG-80,0.8200000000000001
63,64,IG-80,1.0
64,65,IG-80,0.68
65,66,IG-80,0.64
66,67,IG-80,0.8800000000000001
67,68,IG-80,0.8400000000000001
68,69,IG-80,0.96
69,70,IG-80,0.9800000000000001
70,71,IG-80,0.96
71,72,IG-80,0.96
72,73,IG-80,0.9800000000000001
73,74,IG-80,0.9199999999999999
74,75,IG-80,0.8799999999999999
75,76,IG-80,0.96
76,77,IG-80,0.9399999999999998
77,78,IG-80,0.9800000000000001
78,79,IG-80,0.96
79,80,IG-80,1.0
80,81,IG-80,0.9800000000000001
81,82,IG-80,1.0
82,83,IG-80,1.0
83,84,IG-80,1.0
84,85,IG-80,0.9800000000000001
85,86,IG-80,1.0
86,87,IG-80,1.0
87,88,IG-80,1.0
88,89,IG-80,1.0
89,90,IG-80,1.0
90,91,IG-80,1.0
91,92,IG-80,0.64
92,93,IG-80,0.8
93,1,MRMR,0.0
94,2,MRMR,0.0
95,3,MRMR,0.0
96,4,MRMR,0.0
97,5,MRMR,0.0
98,6,MRMR,0.0
99,7,MRMR,0.0
100,8,MRMR,0.0
101,9,MRMR,0.0
102,10,MRMR,1.0
103,11,MRMR,0.0
104,12,MRMR,0.0
105,13,MRMR,0.0
106,14,MRMR,0.0
107,15,MRMR,0.0
108,16,MRMR,0.0
109,17,MRMR,0.0
110,18,MRMR,0.4
111,19,MRMR,0.0
112,20,MRMR,0.0
113,21,MRMR,0.0
114,22,MRMR,0.0
115,23,MRMR,0.0
116,24,MRMR,0.0
117,25,MRMR,0.0
118,26,MRMR,0.0
119,27,MRMR,0.0
120,28,MRMR,0.0
121,29,MRMR,1.0
122,30,MRMR,0.0
123,31,MRMR,0.0
124,32,MRMR,0.0
125,33,MRMR,0.02
126,34,MRMR,0.0
127,35,MRMR,0.0
128,36,MRMR,0.0
129,37,MRMR,0.24
130,38,MRMR,0.0
131,39,MRMR,0.0
132,40,MRMR,0.0
133,41,MRMR,0.0
134,42,MRMR,0.0
135,43,MRMR,0.0
136,44,MRMR,0.0
137,45,MRMR,0.0
138,46,MRMR,0.0
139,47,MRMR,0.0
140,48,MRMR,0.0
141,49,MRMR,0.0
142,50,MRMR,0.0
143,51,MRMR,0.0
144,52,MRMR,0.0
145,53,MRMR,0.0
146,54,MRMR,0.0
147,55,MRMR,0.12000000000000002
148,56,MRMR,0.0
149,57,MRMR,0.0
150,58,MRMR,0.0
151,59,MRMR,0.0
152,60,MRMR,0.0
153,61,MRMR,0.0
154,62,MRMR,0.0
155,63,MRMR,0.0
156,64,MRMR,0.36
157,65,MRMR,0.0
158,66,MRMR,0.0
159,67,MRMR,0.0
160,68,MRMR,0.0
161,69,MRMR,0.0
162,70,MRMR,0.0
163,71,MRMR,0.0
164,72,MRMR,0.0
165,73,MRMR,0.4
166,74,MRMR,0.0
167,75,MRMR,0.0
168,76,MRMR,0.0
169,77,MRMR,0.0
170,78,MRMR,0.3
171,79,MRMR,0.04
172,80,MRMR,0.0
173,81,MRMR,0.0
174,82,MRMR,1.0
175,83,MRMR,0.0
176,84,MRMR,0.48
177,85,MRMR,0.42000000000000004
178,86,MRMR,0.0
179,87,MRMR,0.0
180,88,MRMR,0.12000000000000002
181,89,MRMR,0.0
182,90,MRMR,0.0
183,91,MRMR,0.0
184,92,MRMR,0.02
185,93,MRMR,0.86
186,1,CFS,0.0
187,2,CFS,1.0
188,3,CFS,0.0
189,4,CFS,0.0
190,5,CFS,0.0
191,6,CFS,0.0
192,7,CFS,0.0
193,8,CFS,0.0
194,9,CFS,0.02
195,10,CFS,1.0
196,11,CFS,0.02
197,12,CFS,0.0
198,13,CFS,0.0
199,14,CFS,0.02
200,15,CFS,0.0
201,16,CFS,0.0
202,17,CFS,0.0
203,18,CFS,0.0
204,19,CFS,0.2
205,20,CFS,0.0
206,21,CFS,0.0
207,22,CFS,0.0
208,23,CFS,0.0
209,24,CFS,0.0
210,25,CFS,0.0
211,26,CFS,0.0
212,27,CFS,0.0
213,28,CFS,0.0
214,29,CFS,1.0
215,30,CFS,0.0
216,31,CFS,0.0
217,32,CFS,0.0
218,33,CFS,1.0
219,34,CFS,1.0
220,35,CFS,0.0
221,36,CFS,0.0
222,37,CFS,0.0
223,38,CFS,0.0
224,39,CFS,0.38
225,40,CFS,1.0
226,41,CFS,0.0
227,42,CFS,1.0
228,43,CFS,1.0
229,44,CFS,0.0
230,45,CFS,0.0
231,46,CFS,0.0
232,47,CFS,0.0
233,48,CFS,0.0
