,IG-803,IG-802,MRMR4,IG-800,IG-801,MRMR3,IG-804,MRMR2,MRMR0,MRMR1,CFS1,CFS0,IG-934,CFS2,CFS3,IG-933,IG-932,IG-930,CFS4,IG-931,IG-201,IG-604,IG-200,IG-202,IG-404,IG-203,IG-401,IG-603,IG-602,IG-400,IG-204,IG-402,IG-600,IG-601,IG-403
0,0.6,0.7,0.0,0.5,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.8,0.1,0.1,0.6,0.0,0.3,0.5,0.6,0.2,0.1,0.2,0.4,0.6,0.2
1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.4,1.0,0.5,0.5,0.9,0.5,0.8,0.9,0.9,0.7,0.4,0.8,0.8,1.0,0.9
3,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3,0.8,0.3,0.1,0.3,0.0,0.5,0.2,0.8,0.5,0.1,0.4,0.5,0.8,0.2
4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3,0.8,0.3,0.3,0.7,0.4,0.8,0.9,1.0,0.7,0.2,0.8,0.9,0.9,0.8
5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.6,0.0,0.3,0.2,0.3,0.7,0.9,0.6,0.2,0.0,0.4,0.5,0.9,0.7
6,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3,1.0,0.2,0.4,0.8,0.1,0.5,1.0,0.7,0.4,0.3,0.6,0.6,0.9,0.5
7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.6,1.0,0.8,0.8,1.0,0.5,0.9,1.0,0.9,0.9,0.5,0.9,0.9,0.9,1.0
8,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.6,0.0,0.2,0.4,0.0,0.3,0.6,0.5,0.4,0.0,0.4,0.7,0.7,0.4
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9,0.9,0.8,0.9,0.9,0.7,0.9,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.9
