,0
0,6
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,9
17,10
18,10
19,9
20,7
21,10
22,10
23,5
24,4
25,7
26,6
27,3
28,10
29,2
30,7
31,8
32,9
33,9
34,9
35,9
36,9
37,8
38,9
39,10
40,8
41,10
42,9
43,7
44,6
45,6
46,7
47,6
48,8
49,4
50,6
51,7
52,7
53,7
54,10
55,10
56,5
57,5
58,7
59,8
60,9
61,10
62,9
63,10
64,9
65,8
66,9
67,9
68,10
69,10
70,10
71,10
72,9
73,9
74,9
75,10
76,9
77,10
78,9
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,6
92,8
