IG-80,MRMR,CFS,IG-20,IG-60,IG-40,Percentage,,,,Percentage
3.2,0,0,0.4,2.9,1.5,22.22222222,All_Population_Count_2015,,,9.5
5,0,5,4.8,5,4.9,68.61111111,Annual_Precipitation_2015,,,73.5
5,0,0,2.3,4.6,4.1,44.44444444,Day_Land_Surface_Temp_2015,,,32.0
5,0,0,0.8,3.1,1.9,30,Diurnal_Temperature_Range_2015,,,13.5
5,0,0,1.5,4.5,3.8,41.11111111,Enhanced_Vegetation_Index_2015,,,26.5
5,0,0,0.8,3.5,2.2,31.94444444,Global_Human_Footprint,,,15.0
5,0,0,1.3,4.2,2.8,36.94444444,Gross_Cell_Production,,,20.5
5,0,0,3.2,4.7,4.7,48.88888889,Growing_Season_Length,,,39.5
5,0,0.1,0.3,3.1,1.9,28.88888889,Irrigation,,,11.5
5,5,5,5,5,5,83.33333333,ITN_Coverage_2015,,,100.0
5,0,0.1,3.9,4.9,4.7,51.66666667,Land_Surface_Temperature_2015,,,43.5
4.9,0,0,1,4.3,3.5,38.05555556,Malaria_Prevalence_2015,,,22.5
5,0,0,2.7,4.5,4.1,45.27777778,Mean_Temperature_2015,,,34.0
4.7,0,0.1,0.8,3.1,1.7,28.88888889,Nightlights_Composite,,,13.0
5,0,0,1.6,4.3,3.2,39.16666667,Proximity_to_Water,,,24.0
4.8,0,0,0.6,3.3,1.8,29.16666667,V025,,,12.0
4.7,0,0,0.2,3,0.9,24.44444444,ToiletNew,,,5.5
4.9,2,0,0.2,2.7,1,30,HIV,,,16.0
5,0,1,0.4,4.1,2.4,35.83333333,HouseholdAmenities,,,19.0
4.5,0,0,0.6,2.9,1.8,27.22222222,AnyTransportation,,,12.0
4.2,0,0,0.2,2.3,1.4,22.5,FloorNew,,,8.0
4,0,0,0.4,2.5,1.6,23.61111111,V151,,,10.0
4.4,0,0,0.3,2.9,1.5,25.27777778,V404,,,9.0
3.8,0,0,0.2,2.3,1.1,20.55555556,PotatoesBeansLentils,,,6.5
3.2,0,0,0.4,2.1,1.2,19.16666667,MeatorFishNew,,,8.0
3.3,0,0,0.4,2.4,1.3,20.55555556,AnyFruitNew,,,8.5
2.7,0,0,0.2,2,0.8,15.83333333,anyDairyNew,,,5.0
3.4,0,0,0.4,2.5,1.4,21.38888889,AnyVegetables,,,9.0
5,5,5,3.6,5,4.6,78.33333333,MaternalAnemia,,,91.0
2.6,0,0,0.3,2.2,0.8,16.38888889,B4,,,5.5
3.4,0,0,0.3,2.9,1,21.11111111,ChildIPdrugs,,,6.5
3.5,0,0,0.2,3,1.6,23.05555556,M45,,,9.0
4.8,0.1,5,1.9,4.7,3.8,56.38888889,ChildAgeGroups_1.0,,,54.0
4.9,0,5,2.5,4.8,4.2,59.44444444,ChildAgeGroups_2.0,,,58.5
2.9,0,0,0.1,1.9,0.5,15,ChildAgeGroups_3.0,,,3.0
3.9,0,0,0.8,3.4,2.2,28.61111111,ChildAgeGroups_4.0,,,15.0
3,1.2,0,0,2.2,0.6,19.44444444,ChildAgeGroups_5.0,,,9.0
3.6,0,0,0.5,2.9,1.4,23.33333333,V024_1.0,,,9.5
4.5,0,1.9,1.1,4.1,2.3,38.61111111,V024_2.0,,,26.5
4.9,0,5,2,4.8,3.7,56.66666667,V024_3.0,,,53.5
3.3,0,0,0.4,2.4,1.3,20.55555556,V024_4.0,,,8.5
5,0,5,4.6,5,5,68.33333333,V024_5.0,,,73.0
4.5,0,5,1.1,4.2,3.5,50.83333333,V024_6.0,,,48.0
3.8,0,0,0.3,3.1,1.6,24.44444444,V024_7.0,,,9.5
3.6,0,0,0.3,1.9,1.1,19.16666667,V024_8.0,,,7.0
2.7,0,0,0.4,2.2,1.3,18.33333333,V024_9.0,,,8.5
3.8,0,0,0.3,2.8,1.8,24.16666667,V024_10.0,,,10.5
3.7,0,0,0.5,2.6,1.5,23.05555556,V106_1.0,,,10.0
3.6,0,0,0.3,2.6,1.6,22.5,V106_2.0,,,9.5
3.6,0,0.1,0.4,3.1,1.2,23.33333333,V106_3.0,,,8.5
3.4,0,0,0.1,2.5,1,19.44444444,HusbandEducationNew_1.0,,,5.5
3.3,0,0,0.3,2.8,1.4,21.66666667,HusbandEducationNew_2.0,,,8.5
3.4,0,0,0.1,1.9,1,17.77777778,HusbandEducationNew_3.0,,,5.5
4.4,0,0,0.8,3.7,2.6,31.94444444,MaternalOccNew_1.0,,,17.0
4.6,0.6,5,2.6,4.3,3.8,58.05555556,MaternalOccNew_2.0,,,60.0
3.9,0,0,0.3,2.7,1.1,22.22222222,HusbandOccNew_1.0,,,7.0
3.6,0,0,0.5,2.8,1.8,24.16666667,HusbandOccNew_2.0,,,11.5
3.6,0,0,0.3,2.9,1.3,22.5,WaterSourceNew_1.0,,,8.0
3.4,0,0,0.1,2.1,1.2,18.88888889,WaterSourceNew_2.0,,,6.5
3.7,0,0,0,3,1.3,22.22222222,TimetoWaterNew_1.0,,,6.5
3.8,0,0,0.7,2.8,2.1,26.11111111,TimetoWaterNew_2.0,,,14.0
4.9,0,5,4.5,4.9,4.9,67.22222222,ReligionRecode_1.0,,,72.0
4.1,0,0,0.4,2.9,1.2,23.88888889,ReligionRecode_2.0,,,8.0
5,1.8,5,4.8,5,5,73.88888889,ReligionRecode_3.0,,,83.0
3.4,0,0,0.2,2.3,1.5,20.55555556,HouseholdNumGroup_1.0,,,8.5
3.2,0,0,0.4,1.8,1.1,18.05555556,HouseholdNumGroup_2.0,,,7.5
4.4,0,0,0.3,2.2,1.1,22.22222222,V158_1.0,,,7.0
4.2,0,0,0.3,3.1,2,26.66666667,V158_2.0,,,11.5
4.8,0,0,0.3,3.2,1.5,27.22222222,V159_1.0,,,9.0
4.9,0,0.3,0.9,3.3,1.5,30.27777778,V159_2.0,,,13.5
4.8,0,0,0.8,3.5,2.1,31.11111111,V157_1.0,,,14.5
4.8,0,0,0.3,2.9,1.5,26.38888889,V157_2.0,,,9.0
4.9,2,5,3.2,4.9,4.7,68.61111111,V190_1.0,,,74.5
4.6,0,0,0.4,2.1,0.8,21.94444444,V190_2.0,,,6.0
4.4,0,0,0.4,2.9,1.2,24.72222222,V190_3.0,,,8.0
4.8,0,0,1,3.2,1.9,30.27777778,V190_4.0,,,14.5
4.7,0,0,0.1,2.2,0.8,21.66666667,BirthSizeGrouped_1.0,,,4.5
4.9,1.5,4.3,0.4,3,1.2,42.5,BirthSizeGrouped_2.0,,,37.0
4.8,0.2,0,0.1,2.7,1.2,25,BirthSizeGrouped_3.0,,,7.5
5,0,5,4.2,5,4.8,66.66666667,HeightNew_1.0,,,70.0
4.9,0,0,0.1,2.5,1.1,23.88888889,HeightNew_2.0,,,6.0
5,5,5,5,5,5,83.33333333,WeightGroupNew_1.0,,,100.0
5,0,0,2.6,4.8,4.3,46.38888889,WeightGroupNew_2.0,,,34.5
5,2.4,5,4.1,4.9,4.8,72.77777778,WeightGroupNew_3.0,,,81.5
4.9,2.1,0.4,0.4,2.2,1.4,31.66666667,WeightGroupNew_4.0,,,21.5
5,0,0,0.1,1.8,0.8,21.38888889,BirthOrderGrouped_1.0,,,4.5
5,0,0,0.2,2.5,1.4,25.27777778,BirthOrderGrouped_2.0,,,8.0
5,0.6,1.7,0.4,2.8,1.5,33.33333333,V013_1.0,,,21.0
5,0,0,0.2,2.5,1.2,24.72222222,V013_2.0,,,7.0
5,0,0,0.5,2.6,1.4,26.38888889,V013_3.0,,,9.5
5,0,0,0.2,2.6,1,24.44444444,V013_4.0,,,6.0
3.2,0.1,0,0.4,2,1.1,18.88888889,V013_5.0,,,8.0
4,4.3,0,0.2,2.7,1.6,35.55555556,V013_6.0,,,30.5
