,Unnamed: 0,filename,Accuracy,F1,Feature Selection,Classifier,Boost or Bag
0,0,knncfs_0bag_finalscore.csv,0.673,0.738,CFS,KNN,bag
1,1,svminfogain_60bag_finalscore.csv,0.687,0.755,IG-60,SVM,bag
2,2,knncfs_0_finalscore.csv,0.665,0.72,CFS,KNN,none
3,3,naive_bayesinfogain_80bag_finalscore.csv,0.655,0.695,IG-80,NB,bag
4,4,elasticnetinfogain_40_finalscore.csv,0.684,0.755,IG-40,LR,none
5,5,elasticnetinfogain_60bag_finalscore.csv,0.689,0.756,IG-60,LR,bag
6,6,rdforestcfs_0_finalscore.csv,0.687,0.754,CFS,RF,none
7,7,svmmrmr_0_finalscore.csv,0.67,0.738,MRMR,SVM,none
8,8,knninfogain_80_finalscore.csv,0.665,0.728,IG-80,KNN,none
9,9,svminfogain_93_finalscore.csv,0.69,0.756,IG-93,SVM,none
10,10,elasticnetinfogain_40boost_finalscore.csv,0.691,0.758,IG-40,LR,boost
11,11,naive_bayescfs_0boost_finalscore.csv,0.684,0.756,CFS,NB,boost
12,12,rdforestinfogain_20boost_finalscore.csv,0.687,0.755,IG-20,RF,boost
13,13,naive_bayesmrmr_0_finalscore.csv,0.663,0.732,MRMR,NB,none
14,14,xgboostmrmr_0bag_finalscore.csv,0.672,0.758,MRMR,XGB,bag
15,15,xgboostcfs_0_finalscore.csv,0.688,0.753,CFS,XGB,none
16,16,xgboostinfogain_60_finalscore.csv,0.692,0.758,IG-60,XGB,none
17,17,rdforestinfogain_20_finalscore.csv,0.687,0.755,IG-20,RF,none
18,18,xgboostinfogain_93bag_finalscore.csv,0.696,0.761,IG-93,XGB,bag
19,19,knninfogain_93_finalscore.csv,0.666,0.729,IG-93,KNN,none
20,20,naive_bayesinfogain_20_finalscore.csv,0.66,0.706,IG-20,NB,none
21,21,naive_bayesinfogain_60bag_finalscore.csv,0.657,0.698,IG-60,NB,bag
22,22,elasticnetinfogain_80bag_finalscore.csv,0.69,0.756,IG-80,LR,bag
23,23,rdforestinfogain_80boost_finalscore.csv,0.696,0.763,IG-80,RF,boost
24,24,svminfogain_80_finalscore.csv,0.689,0.756,IG-80,SVM,none
25,25,naive_bayescfs_0_finalscore.csv,0.679,0.727,CFS,NB,none
26,26,svminfogain_80bag_finalscore.csv,0.689,0.756,IG-80,SVM,bag
27,27,elasticnetcfs_0_finalscore.csv,0.682,0.753,CFS,LR,none
28,28,xgboostinfogain_20bag_finalscore.csv,0.688,0.76,IG-20,XGB,bag
29,29,rdforestinfogain_80bag_finalscore.csv,0.696,0.763,IG-80,RF,bag
30,30,naive_bayesmrmr_0bag_finalscore.csv,0.663,0.732,MRMR,NB,bag
31,31,knninfogain_60bag_finalscore.csv,0.671,0.74,IG-60,KNN,bag
32,32,xgboostinfogain_40bag_finalscore.csv,0.692,0.76,IG-40,XGB,bag
33,33,rdforestcfs_0boost_finalscore.csv,0.687,0.754,CFS,RF,boost
34,34,naive_bayescfs_0bag_finalscore.csv,0.68,0.727,CFS,NB,bag
35,35,svminfogain_60_finalscore.csv,0.688,0.756,IG-60,SVM,none
36,36,rdforestcfs_0bag_finalscore.csv,0.686,0.755,CFS,RF,bag
37,37,elasticnetinfogain_20_finalscore.csv,0.681,0.753,IG-20,LR,none
38,38,xgboostinfogain_80_finalscore.csv,0.694,0.759,IG-80,XGB,none
39,39,svmcfs_0_finalscore.csv,0.684,0.759,CFS,SVM,none
40,40,xgboostcfs_0bag_finalscore.csv,0.687,0.761,CFS,XGB,bag
41,41,naive_bayesinfogain_40boost_finalscore.csv,0.683,0.753,IG-40,NB,boost
42,42,knninfogain_60_finalscore.csv,0.67,0.731,IG-60,KNN,none
43,43,naive_bayesinfogain_40_finalscore.csv,0.659,0.701,IG-40,NB,none
44,44,knnmrmr_0bag_finalscore.csv,0.666,0.733,MRMR,KNN,bag
45,45,knninfogain_80bag_finalscore.csv,0.667,0.738,IG-80,KNN,bag
46,46,rdforestinfogain_40_finalscore.csv,0.691,0.758,IG-40,RF,none
47,47,rdforestinfogain_60bag_finalscore.csv,0.694,0.762,IG-60,RF,bag
48,48,rdforestinfogain_93boost_finalscore.csv,0.696,0.764,IG-93,RF,boost
49,49,rdforestinfogain_60boost_finalscore.csv,0.695,0.761,IG-60,RF,boost
50,50,xgboostinfogain_93_finalscore.csv,0.694,0.759,IG-93,XGB,none
51,51,svminfogain_40_finalscore.csv,0.687,0.755,IG-40,SVM,none
52,52,naive_bayesinfogain_80boost_finalscore.csv,0.687,0.757,IG-80,NB,boost
53,53,elasticnetcfs_0bag_finalscore.csv,0.685,0.753,CFS,LR,bag
54,54,naive_bayesinfogain_93bag_finalscore.csv,0.654,0.694,IG-93,NB,bag
55,55,svmmrmr_0bag_finalscore.csv,0.669,0.747,MRMR,SVM,bag
56,56,elasticnetinfogain_60boost_finalscore.csv,0.691,0.757,IG-60,LR,boost
57,57,elasticnetinfogain_93boost_finalscore.csv,0.691,0.759,IG-93,LR,boost
58,58,rdforestmrmr_0boost_finalscore.csv,0.67,0.737,MRMR,RF,boost
59,59,elasticnetmrmr_0bag_finalscore.csv,0.667,0.751,MRMR,LR,bag
60,60,rdforestmrmr_0_finalscore.csv,0.67,0.737,MRMR,RF,none
61,61,naive_bayesinfogain_20bag_finalscore.csv,0.66,0.706,IG-20,NB,bag
62,62,elasticnetinfogain_93_finalscore.csv,0.687,0.757,IG-93,LR,none
63,63,naive_bayesmrmr_0boost_finalscore.csv,0.665,0.754,MRMR,NB,boost
64,64,naive_bayesinfogain_20boost_finalscore.csv,0.68,0.751,IG-20,NB,boost
65,65,xgboostinfogain_60bag_finalscore.csv,0.695,0.761,IG-60,XGB,bag
66,66,knninfogain_40bag_finalscore.csv,0.675,0.742,IG-40,KNN,bag
67,67,naive_bayesinfogain_60_finalscore.csv,0.657,0.697,IG-60,NB,none
68,68,xgboostinfogain_80bag_finalscore.csv,0.696,0.761,IG-80,XGB,bag
69,69,svminfogain_20bag_finalscore.csv,0.682,0.755,IG-20,SVM,bag
70,70,rdforestmrmr_0bag_finalscore.csv,0.67,0.737,MRMR,RF,bag
71,71,elasticnetinfogain_20bag_finalscore.csv,0.683,0.752,IG-20,LR,bag
72,72,knninfogain_40_finalscore.csv,0.67,0.731,IG-40,KNN,none
73,73,rdforestinfogain_40bag_finalscore.csv,0.692,0.758,IG-40,RF,bag
74,74,elasticnetmrmr_0_finalscore.csv,0.666,0.748,MRMR,LR,none
75,75,svminfogain_93bag_finalscore.csv,0.691,0.756,IG-93,SVM,bag
