index,multivariate,CI 95%  lower,CI 95% upper,OR,p-value,meaning,univariate,CI 95%  lower,CI 95% upper,OR,p-value
1,All_Population_Count_2015,1.011,1.17,1.09,0.024,,,0.920,1.001,0.959,0.053
2,Annual_Precipitation_2015,0.705,0.91,0.80,0.001,,,0.662,0.724,0.692,<0.001
3,Day_Land_Surface_Temp_2015,0.702,0.93,0.81,0.003,,,1.191,1.308,1.248,<0.001
4,Diurnal_Temperature_Range_2015,0.938,1.09,1.01,0.787,,,0.969,1.061,1.014,0.544
5,Enhanced_Vegetation_Index_2015,0.723,0.91,0.81,<0.001,,,0.754,0.825,0.789,<0.001
6,Global_Human_Footprint,0.952,1.15,1.05,0.339,,,0.851,0.928,0.889,<0.001
7,Gross_Cell_Production,0.880,1.03,0.95,0.224,,,0.785,0.867,0.825,<0.001
8,Growing_Season_Length,1.088,1.45,1.26,0.002,,,0.709,0.776,0.742,<0.001
9,Irrigation,0.984,1.14,1.06,0.126,,,1.035,1.155,1.093,0.002
10,ITN_Coverage_2015,1.118,1.33,1.22,<0.001,,,1.306,1.415,1.359,<0.001
11,Land_Surface_Temperature_2015,0.789,1.04,0.90,0.151,,,1.193,1.302,1.246,<0.001
12,Malaria_Prevalence_2015,0.971,1.11,1.04,0.274,,,1.083,1.197,1.139,<0.001
13,Mean_Temperature_2015,0.984,1.22,1.09,0.097,,,1.187,1.299,1.242,<0.001
14,Nightlights_Composite,0.891,1.14,1.01,0.910,,,0.827,0.911,0.868,<0.001
15,Proximity_to_Water,0.775,0.96,0.86,0.009,,,1.126,1.230,1.177,<0.001
16,V025,0.805,1.36,1.05,0.737,,,1.193,1.513,1.343,<0.001
17,ToiletNew,0.814,1.17,0.98,0.795,,,0.809,1.036,0.916,0.163
18,HIV,0.394,1.11,0.66,0.115,,,0.304,0.773,0.485,0.002
19,HouseholdAmenities,0.855,1.14,0.99,0.862,,,1.290,1.555,1.416,<0.001
20,AnyTransportation,0.747,1.24,0.96,0.772,,,0.550,0.839,0.679,<0.001
21,FloorNew,0.893,1.37,1.10,0.358,,,1.143,1.453,1.289,<0.001
22,V151,0.859,1.14,0.99,0.865,,,1.071,1.345,1.201,0.002
23,V404,0.862,1.09,0.97,0.578,,,1.198,1.445,1.316,<0.001
24,PotatoesBeansLentils,0.830,1.07,0.94,0.372,,,0.674,0.827,0.746,<0.001
25,MeatorFishNew,0.713,1.22,0.93,0.622,,,0.707,1.114,0.888,0.305
26,AnyFruitNew,0.786,1.10,0.93,0.404,,,0.595,0.779,0.681,<0.001
27,anyDairyNew,0.770,1.00,0.88,0.053,,,0.823,1.025,0.919,0.130
28,AnyVegetables,0.764,1.06,0.90,0.193,,,0.654,0.843,0.743,<0.001
29,MaternalAnemia,1.301,1.63,1.46,<0.001,,,1.868,2.276,2.062,<0.001
30,B4,0.796,0.98,0.88,0.016,,,0.873,1.046,0.956,0.326
