,0
const,0.0596800841016173
All_Population_Count_2015,0.024205606910993323
Annual_Precipitation_2015,0.0005964381439962482
Day_Land_Surface_Temp_2015,0.002648986405680323
Diurnal_Temperature_Range_2015,0.7865338386078551
Enhanced_Vegetation_Index_2015,0.00025326690422003157
Global_Human_Footprint,0.33916126886834774
Gross_Cell_Production,0.22394158081833215
Growing_Season_Length,0.001952291334541115
Irrigation,0.12570957878013936
ITN_Coverage_2015,8.784665093276537e-06
Land_Surface_Temperature_2015,0.15120348152257088
Malaria_Prevalence_2015,0.27382655612666873
Mean_Temperature_2015,0.09662611735969265
Nightlights_Composite,0.9098681348671845
Proximity_to_Water,0.009330789095670342
V025,0.7369255787826765
ToiletNew,0.795282288115907
HIV,0.11523726412210263
HouseholdAmenities,0.8615125866110596
AnyTransportation,0.7721306809063186
FloorNew,0.357904545878173
V151,0.8647660106571968
V404,0.5775948989752904
PotatoesBeansLentils,0.3719835832767986
MeatorFishNew,0.6215037861645402
AnyFruitNew,0.40432475430524273
anyDairyNew,0.0532034728027129
AnyVegetables,0.1928757822159035
MaternalAnemia,7.584763992526424e-11
B4,0.016035967867781813
ChildIPdrugs,0.12179493254731175
M45,0.4223695124103771
ChildAgeGroups_1.0,7.355140480222898e-06
ChildAgeGroups_2.0,2.0408107281676633e-09
ChildAgeGroups_3.0,6.751279892859837e-05
ChildAgeGroups_4.0,0.016898256927948364
ChildAgeGroups_5.0,0.49089697431390045
V024_1.0,3.265440924266713e-07
V024_2.0,0.09366323930321568
V024_3.0,1.349571200117839e-09
V024_4.0,0.009600440620872005
V024_5.0,0.014431870786636767
V024_6.0,0.00024134696828399278
V024_7.0,1.3330307212213332e-06
V024_8.0,0.13140845722240097
V024_9.0,0.07368421281360323
V024_10.0,0.08171751270633322
V106_1.0,0.9488028268870741
V106_2.0,0.4387180065016264
V106_3.0,0.2688062086974591
HusbandEducationNew_1.0,0.7563385529869703
HusbandEducationNew_2.0,0.9778318604732594
HusbandEducationNew_3.0,0.03928140122254091
MaternalOccNew_1.0,0.15631691297929418
MaternalOccNew_2.0,0.028229091907315505
HusbandOccNew_1.0,0.4059314022015198
HusbandOccNew_2.0,0.3773540475983793
WaterSourceNew_1.0,0.6306773576642195
WaterSourceNew_2.0,0.11537323755456597
TimetoWaterNew_1.0,0.8584371362991493
TimetoWaterNew_2.0,0.7044851675546595
ReligionRecode_1.0,0.0906511462978143
ReligionRecode_2.0,0.31117406373404066
ReligionRecode_3.0,0.5446873564232639
HouseholdNumGroup_1.0,0.8834458189658013
HouseholdNumGroup_2.0,0.9624069419292545
V158_1.0,0.3060345934944404
V158_2.0,0.10895719971105805
V159_1.0,0.5236818341912569
V159_2.0,0.7034078179479397
V157_1.0,0.6254930028119869
V157_2.0,0.3216796263710512
V190_1.0,0.003972674220598445
V190_2.0,0.06152103950724471
V190_3.0,0.46171228711667267
V190_4.0,0.2659702196924536
BirthSizeGrouped_1.0,0.74114676006094
BirthSizeGrouped_2.0,0.20030345767119562
BirthSizeGrouped_3.0,0.3087491918615003
HeightNew_1.0,2.462395494924882e-07
HeightNew_2.0,3.945969712837013e-08
WeightGroupNew_1.0,0.026918963156792958
WeightGroupNew_2.0,0.3503313981064936
WeightGroupNew_3.0,0.6077265608724158
WeightGroupNew_4.0,0.05960796643868985
BirthOrderGrouped_1.0,0.11696093095094023
BirthOrderGrouped_2.0,0.03168113436308231
V013_1.0,0.03892311599360812
V013_2.0,0.036794309916565376
V013_3.0,0.021915156206278427
V013_4.0,0.042054432714892016
V013_5.0,0.11162940396654492
V013_6.0,0.4063014907983382
