,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[121, 189, 61, 409]","[126, 185, 73, 396]","[129, 182, 73, 396]","[124, 187, 62, 407]","[125, 186, 61, 408]","[127, 183, 75, 394]",[1264 1840  709 3982],[1269 1835  721 3970],[1260 1844  723 3968],[1253 1851  714 3977],[1253 1851  720 3971]
1,25,0.2,"[151, 159, 89, 381]","[144, 167, 81, 388]","[149, 162, 86, 383]","[141, 170, 72, 397]","[143, 168, 79, 390]","[147, 163, 90, 379]",[1470 1634  862 3829],[1455 1649  854 3837],[1464 1640  857 3834],[1458 1646  865 3826],[1466 1638  862 3829]
2,25,0.3,"[158, 152, 93, 377]","[154, 157, 88, 381]","[157, 154, 90, 379]","[153, 158, 77, 392]","[159, 152, 90, 379]","[151, 159, 96, 373]",[1555 1549  919 3772],[1539 1565  912 3779],[1553 1551  914 3777],[1540 1564  915 3776],[1544 1560  920 3771]
3,25,0.4,"[156, 154, 93, 377]","[155, 156, 88, 381]","[161, 150, 91, 378]","[163, 148, 85, 384]","[159, 152, 92, 377]","[155, 155, 99, 370]",[1588 1516  944 3747],[1574 1530  949 3742],[1589 1515  940 3751],[1582 1522  946 3745],[1591 1513  948 3743]
4,25,0.5,"[156, 154, 94, 376]","[156, 155, 93, 376]","[165, 146, 94, 375]","[164, 147, 86, 383]","[160, 151, 93, 376]","[156, 154, 100, 369]",[1599 1505  959 3732],[1595 1509  964 3727],[1593 1511  950 3741],[1597 1507  966 3725],[1604 1500  960 3731]
5,50,0.1,"[150, 160, 87, 383]","[144, 167, 81, 388]","[149, 162, 86, 383]","[141, 170, 72, 397]","[143, 168, 79, 390]","[147, 163, 90, 379]",[1466 1638  859 3832],[1452 1652  853 3838],[1457 1647  855 3836],[1455 1649  862 3829],[1461 1643  857 3834]
6,50,0.2,"[156, 154, 93, 377]","[155, 156, 88, 381]","[161, 150, 91, 378]","[163, 148, 85, 384]","[159, 152, 92, 377]","[155, 155, 99, 370]",[1585 1519  941 3750],[1574 1530  948 3743],[1589 1515  938 3753],[1577 1527  940 3751],[1584 1520  945 3746]
7,50,0.3,"[156, 154, 94, 376]","[156, 155, 93, 376]","[165, 146, 93, 376]","[164, 147, 87, 382]","[161, 150, 94, 375]","[159, 151, 103, 366]",[1607 1497  963 3728],[1594 1510  968 3723],[1598 1506  958 3733],[1606 1498  971 3720],[1611 1493  967 3724]
8,50,0.4,"[160, 150, 94, 376]","[157, 154, 92, 377]","[165, 146, 96, 373]","[162, 149, 86, 383]","[158, 153, 93, 376]","[158, 152, 103, 366]",[1601 1503  962 3729],[1592 1512  970 3721],[1607 1497  961 3730],[1606 1498  965 3726],[1606 1498  973 3718]
9,50,0.5,"[160, 150, 92, 378]","[154, 157, 91, 378]","[164, 147, 96, 373]","[161, 150, 87, 382]","[161, 150, 92, 377]","[156, 154, 103, 366]",[1593 1511  959 3732],[1597 1507  974 3717],[1604 1500  961 3730],[1595 1509  966 3725],[1604 1500  971 3720]
10,75,0.1,"[158, 152, 93, 377]","[154, 157, 88, 381]","[157, 154, 90, 379]","[148, 163, 74, 395]","[157, 154, 89, 380]","[151, 159, 96, 373]",[1548 1556  912 3779],[1529 1575  907 3784],[1550 1554  913 3778],[1536 1568  911 3780],[1538 1566  915 3776]
11,75,0.2,"[156, 154, 94, 376]","[156, 155, 93, 376]","[165, 146, 93, 376]","[164, 147, 87, 382]","[161, 150, 94, 375]","[159, 151, 103, 366]",[1607 1497  963 3728],[1594 1510  967 3724],[1598 1506  958 3733],[1606 1498  971 3720],[1611 1493  967 3724]
12,75,0.3,"[160, 150, 94, 376]","[154, 157, 91, 378]","[164, 147, 96, 373]","[161, 150, 86, 383]","[158, 153, 92, 377]","[157, 153, 103, 366]",[1596 1508  961 3730],[1593 1511  974 3717],[1604 1500  960 3731],[1600 1504  965 3726],[1606 1498  974 3717]
13,75,0.4,"[161, 149, 92, 378]","[156, 155, 93, 376]","[164, 147, 96, 373]","[159, 152, 88, 381]","[161, 150, 90, 379]","[156, 154, 104, 365]",[1595 1509  963 3728],[1591 1513  966 3725],[1601 1503  956 3735],[1601 1503  963 3728],[1599 1505  962 3729]
14,75,0.5,"[160, 150, 89, 381]","[157, 154, 95, 374]","[164, 147, 96, 373]","[160, 151, 89, 380]","[161, 150, 89, 380]","[156, 154, 102, 367]",[1595 1509  960 3731],[1596 1508  969 3722],[1602 1502  950 3741],[1595 1509  960 3731],[1598 1506  956 3735]
