,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[121, 189, 61, 409]",0.6713790891597177,0.683007868989486,0.8470688552547431,0.7562423502411433
1,25,0.2,"[151, 159, 89, 381]",0.6791019884541374,0.700059113872215,0.8166702195693881,0.7538815637260525
2,25,0.3,"[158, 152, 93, 377]",0.6826427196921104,0.7078843973237244,0.8047324664250691,0.7532075420945732
3,25,0.4,"[156, 154, 93, 377]",0.6838229634381013,0.7114427452666351,0.7984651460243019,0.7524460227270054
4,25,0.5,"[156, 154, 94, 376]",0.6836177036561899,0.7123874971773627,0.7953954380729055,0.751606161268576
5,50,0.1,"[150, 160, 87, 383]",0.6788967286722258,0.699650136903925,0.8172671072266041,0.7538985218986195
6,50,0.2,"[156, 154, 93, 377]",0.6838229634381013,0.7112017817047623,0.799104668514176,0.7525950398010628
7,50,0.3,"[156, 154, 94, 376]",0.6836177036561899,0.7128434005298352,0.7942016627584737,0.7513259591238237
8,50,0.4,"[160, 150, 94, 376]",0.6834124438742784,0.7126899016917235,0.7940311234278405,0.7511646263030528
9,50,0.5,"[160, 150, 92, 378]",0.6829249518922386,0.7121719054400637,0.7940311234278405,0.7508766306531569
10,75,0.1,"[158, 152, 93, 377]",0.6824374599101989,0.7073305630718159,0.8056704327435515,0.7533040081895125
11,75,0.2,"[156, 154, 94, 376]",0.6836433611289288,0.7128544266441281,0.7942442975911319,0.7513511419490638
12,75,0.3,"[160, 150, 94, 376]",0.6830019243104554,0.7123022239026915,0.7939032189298657,0.7508919063312925
13,75,0.4,"[161, 149, 92, 378]",0.6833098139833227,0.7122394198956529,0.7949264549136644,0.7513146737862352
14,75,0.5,"[160, 150, 89, 381]",0.6836690186016677,0.7123764662658308,0.7955659774035386,0.7516764001352795
