,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[119, 191, 69, 401]",0.6611930724823605,0.6731955517282822,0.8493285013856321,0.7510696824498378
1,25,0.2,"[151, 159, 96, 374]",0.6725080179602309,0.6953272023176705,0.811340865487103,0.7488628348929165
2,25,0.3,"[157, 153, 99, 371]",0.6751250801796023,0.7013987877267637,0.8013216798124067,0.7480298228171878
3,25,0.4,"[161, 149, 101, 369]",0.6755099422706864,0.7036319808166226,0.7961628650607546,0.7470321554417478
4,25,0.5,"[166, 144, 102, 368]",0.677228992944195,0.7056636775542975,0.7954807077382221,0.7478739733780533
5,50,0.1,"[150, 160, 96, 374]",0.672456703014753,0.6950185819099719,0.8121082924749521,0.7490106165660574
6,50,0.2,"[161, 149, 101, 369]",0.6757152020525977,0.7036886091965264,0.7965892133873373,0.7472530882163688
7,50,0.3,"[164, 146, 102, 368]",0.6779987171263631,0.7063871977192229,0.7956938819015136,0.7483745656065175
8,50,0.4,"[163, 147, 102, 368]",0.6791276459268761,0.7077817815146685,0.7950969942442976,0.7488935006114498
9,50,0.5,"[163, 147, 100, 370]",0.6795638229634381,0.7083606531775221,0.7947559155830313,0.7490685756025022
10,75,0.1,"[157, 153, 99, 371]",0.6749967928159075,0.7009992964156077,0.8020891068002559,0.7481362516324083
11,75,0.2,"[164, 146, 102, 368]",0.6779474021808852,0.7063022515691799,0.7957791515668301,0.7483647825870307
12,75,0.3,"[162, 148, 102, 368]",0.6798460551635663,0.7084842055827675,0.7952248987422725,0.7493458309796559
13,75,0.4,"[162, 148, 98, 372]",0.6793585631815265,0.7082733894244562,0.7944148369217651,0.7488673808723345
14,75,0.5,"[166, 144, 97, 373]",0.6796664528543939,0.7085063782256812,0.7946706459177146,0.7491101162868314
