,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[136, 174, 77, 393]","[126, 185, 79, 390]","[136, 175, 83, 386]","[124, 187, 68, 401]","[134, 177, 76, 393]","[131, 179, 77, 392]",[1325 1779  802 3889],[1322 1782  798 3893],[1333 1771  794 3897],[1342 1762  789 3902],[1334 1770  797 3894]
1,25,0.2,"[159, 151, 91, 379]","[144, 167, 89, 380]","[147, 164, 95, 374]","[150, 161, 74, 395]","[152, 159, 89, 380]","[144, 166, 93, 376]",[1516 1588  910 3781],[1522 1582  917 3774],[1526 1578  910 3781],[1528 1576  914 3777],[1524 1580  921 3770]
2,25,0.3,"[158, 152, 93, 377]","[150, 161, 93, 376]","[153, 158, 97, 372]","[152, 159, 80, 389]","[161, 150, 94, 375]","[152, 158, 93, 376]",[1562 1542  935 3756],[1564 1540  929 3762],[1573 1531  927 3764],[1574 1530  934 3757],[1578 1526  939 3752]
3,25,0.4,"[6, 304, 3, 467]","[21, 290, 10, 459]","[6, 305, 2, 467]","[2, 309, 0, 469]","[11, 300, 2, 467]","[20, 290, 4, 465]",[  92 3012   28 4663],[ 120 2984   46 4645],[  91 3013   27 4664],[  79 3025   33 4658],[  87 3017   31 4660]
4,25,0.5,"[0, 310, 2, 468]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   1 3103    2 4689],[   2 3102    0 4691],[   3 3101    0 4691],[   3 3101    0 4691],[   3 3101    0 4691]
5,50,0.1,"[158, 152, 91, 379]","[144, 167, 89, 380]","[147, 164, 95, 374]","[150, 161, 74, 395]","[152, 159, 89, 380]","[143, 167, 92, 377]",[1515 1589  909 3782],[1519 1585  916 3775],[1521 1583  907 3784],[1525 1579  914 3777],[1522 1582  919 3772]
6,50,0.2,"[158, 152, 91, 379]","[152, 159, 95, 374]","[156, 155, 98, 371]","[154, 157, 80, 389]","[162, 149, 93, 376]","[154, 156, 96, 373]",[1579 1525  939 3752],[1575 1529  945 3746],[1586 1518  930 3761],[1593 1511  943 3748],[1590 1514  952 3739]
7,50,0.3,"[159, 151, 93, 377]","[155, 156, 99, 370]","[158, 153, 100, 369]","[157, 154, 83, 386]","[163, 148, 93, 376]","[153, 157, 100, 369]",[1594 1510  945 3746],[1590 1514  955 3736],[1596 1508  945 3746],[1605 1499  950 3741],[1605 1499  949 3742]
8,50,0.4,"[297, 13, 356, 114]","[259, 52, 254, 215]","[284, 27, 330, 139]","[299, 12, 322, 147]","[293, 18, 345, 124]","[262, 48, 290, 179]",[2861  243 3307 1384],[2849  255 3221 1470],[2892  212 3395 1296],[2891  213 3372 1319],[2859  245 3237 1454]
9,50,0.5,"[309, 1, 462, 8]","[306, 5, 451, 18]","[310, 1, 464, 5]","[309, 2, 456, 13]","[309, 2, 464, 5]","[309, 1, 457, 12]",[3087   17 4595   96],[3089   15 4587  104],[3092   12 4617   74],[3091   13 4608   83],[3087   17 4583  108]
10,75,0.1,"[158, 152, 93, 377]","[150, 161, 93, 376]","[152, 159, 97, 372]","[152, 159, 80, 389]","[160, 151, 94, 375]","[152, 158, 93, 376]",[1559 1545  934 3757],[1563 1541  930 3761],[1570 1534  924 3767],[1572 1532  931 3760],[1574 1530  939 3752]
11,75,0.2,"[159, 151, 93, 377]","[155, 156, 99, 370]","[158, 153, 100, 369]","[157, 154, 83, 386]","[163, 148, 93, 376]","[153, 157, 100, 369]",[1594 1510  945 3746],[1590 1514  955 3736],[1596 1508  946 3745],[1605 1499  951 3740],[1605 1499  948 3743]
12,75,0.3,"[164, 146, 95, 375]","[156, 155, 99, 370]","[165, 146, 96, 373]","[156, 155, 86, 383]","[165, 146, 93, 376]","[157, 153, 100, 369]",[1609 1495  939 3752],[1599 1505  956 3735],[1621 1483  942 3749],[1607 1497  961 3730],[1617 1487  949 3742]
13,75,0.4,"[16, 294, 5, 465]","[31, 280, 11, 458]","[10, 301, 2, 467]","[5, 306, 2, 467]","[18, 293, 6, 463]","[35, 275, 8, 461]",[ 171 2933   50 4641],[ 202 2902   69 4622],[ 165 2939   39 4652],[ 161 2943   53 4638],[ 168 2936   50 4641]
14,75,0.5,"[0, 310, 2, 468]","[4, 307, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[1, 310, 0, 469]","[1, 309, 1, 468]",[   7 3097    3 4688],[   7 3097    0 4691],[   5 3099    1 4690],[   6 3098    1 4690],[   7 3097    0 4691]
