,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[0, 310, 0, 470]","[82, 229, 50, 419]","[11, 300, 4, 465]","[7, 304, 7, 462]","[78, 233, 38, 431]","[105, 205, 59, 410]",[ 338 2766  197 4494],[ 578 2526  306 4385],[ 463 2641  247 4444],[ 375 2729  195 4496],[ 275 2829  130 4561]
1,25,0.2,"[144, 166, 97, 373]","[97, 214, 62, 407]","[152, 159, 106, 363]","[137, 174, 82, 387]","[141, 170, 81, 388]","[113, 197, 72, 397]",[1367 1737  909 3782],[1251 1853  788 3903],[1190 1914  775 3916],[1182 1922  784 3907],[1286 1818  868 3823]
2,25,0.3,"[144, 166, 97, 373]","[117, 194, 75, 394]","[152, 159, 106, 363]","[137, 174, 82, 387]","[147, 164, 85, 384]","[138, 172, 98, 371]",[1418 1686  952 3739],[1383 1721  912 3779],[1418 1686  954 3737],[1430 1674  955 3736],[1482 1622  995 3696]
3,25,0.4,"[144, 166, 97, 373]","[147, 164, 101, 368]","[152, 159, 106, 363]","[137, 174, 82, 387]","[147, 164, 86, 383]","[140, 170, 100, 369]",[1451 1653  982 3709],[1448 1656  954 3737],[1503 1601 1010 3681],[1470 1634  981 3710],[1488 1616 1007 3684]
4,25,0.5,"[144, 166, 97, 373]","[152, 159, 104, 365]","[152, 159, 106, 363]","[137, 174, 82, 387]","[149, 162, 87, 382]","[149, 161, 107, 362]",[1467 1637  993 3698],[1472 1632  971 3720],[1520 1584 1014 3677],[1490 1614  990 3701],[1489 1615 1013 3678]
5,50,0.1,"[144, 166, 97, 373]","[96, 215, 59, 410]","[152, 159, 106, 363]","[137, 174, 82, 387]","[141, 170, 81, 388]","[112, 198, 70, 399]",[1365 1739  904 3787],[1251 1853  788 3903],[1189 1915  774 3917],[1182 1922  784 3907],[1286 1818  868 3823]
6,50,0.2,"[144, 166, 97, 373]","[147, 164, 101, 368]","[152, 159, 106, 363]","[137, 174, 82, 387]","[147, 164, 86, 383]","[138, 172, 98, 371]",[1449 1655  980 3711],[1448 1656  954 3737],[1487 1617  998 3693],[1470 1634  981 3710],[1487 1617 1002 3689]
7,50,0.3,"[144, 166, 97, 373]","[152, 159, 104, 365]","[152, 159, 106, 363]","[137, 174, 82, 387]","[152, 159, 91, 378]","[149, 161, 107, 362]",[1470 1634  997 3694],[1495 1609  985 3706],[1523 1581 1015 3676],[1497 1607  995 3696],[1490 1614 1014 3677]
8,50,0.4,"[144, 166, 97, 373]","[152, 159, 104, 365]","[152, 159, 106, 363]","[137, 174, 82, 387]","[153, 158, 91, 378]","[150, 160, 107, 362]",[1472 1632 1000 3691],[1505 1599  994 3697],[1527 1577 1015 3676],[1507 1597 1023 3668],[1497 1607 1020 3671]
9,50,0.5,"[144, 166, 97, 373]","[152, 159, 104, 365]","[152, 159, 106, 363]","[137, 174, 82, 387]","[154, 157, 92, 377]","[150, 160, 107, 362]",[1473 1631 1001 3690],[1493 1611  985 3706],[1530 1574 1016 3675],[1509 1595 1024 3667],[1499 1605 1021 3670]
10,75,0.1,"[144, 166, 97, 373]","[117, 194, 75, 394]","[152, 159, 106, 363]","[137, 174, 82, 387]","[147, 164, 85, 384]","[138, 172, 98, 371]",[1418 1686  952 3739],[1373 1731  908 3783],[1409 1695  946 3745],[1430 1674  955 3736],[1482 1622  995 3696]
11,75,0.2,"[144, 166, 97, 373]","[152, 159, 104, 365]","[152, 159, 106, 363]","[137, 174, 82, 387]","[151, 160, 90, 379]","[149, 161, 107, 362]",[1469 1635  996 3695],[1495 1609  985 3706],[1523 1581 1015 3676],[1497 1607  995 3696],[1490 1614 1014 3677]
12,75,0.3,"[144, 166, 97, 373]","[152, 159, 104, 365]","[152, 159, 106, 363]","[137, 174, 82, 387]","[153, 158, 91, 378]","[150, 160, 107, 362]",[1472 1632 1000 3691],[1506 1598  994 3697],[1526 1578 1014 3677],[1509 1595 1024 3667],[1499 1605 1021 3670]
13,75,0.4,"[144, 166, 97, 373]","[152, 159, 104, 365]","[152, 159, 106, 363]","[137, 174, 82, 387]","[154, 157, 92, 377]","[151, 159, 104, 365]",[1475 1629  998 3693],[1493 1611  985 3706],[1530 1574 1016 3675],[1511 1593 1024 3667],[1501 1603 1023 3668]
14,75,0.5,"[144, 166, 97, 373]","[152, 159, 104, 365]","[152, 159, 106, 363]","[137, 174, 82, 387]","[154, 157, 92, 377]","[152, 158, 104, 365]",[1476 1628  998 3693],[1493 1611  988 3703],[1530 1574 1016 3675],[1511 1593 1024 3667],[1501 1603 1023 3668]
