,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[0, 310, 0, 470]",0.6262732520846697,0.6240427535689899,0.954167554892347,0.7544832266036477
1,25,0.2,"[144, 166, 97, 373]",0.657010904425914,0.6766056591290991,0.8241739501172457,0.7430530063591141
2,25,0.3,"[144, 166, 97, 373]",0.6624246311738293,0.6901961209126253,0.7967171178853123,0.7396199002237178
3,25,0.4,"[144, 166, 97, 373]",0.6640410519563822,0.6941761552368371,0.7896397356640376,0.738826444225114
4,25,0.5,"[144, 166, 97, 373]",0.6648364336112892,0.6956706753764162,0.7876358985290983,0.7387956924388484
5,50,0.1,"[144, 166, 97, 373]",0.6570878768441308,0.6766012341556441,0.8244297591131954,0.743156958744738
6,50,0.2,"[144, 166, 97, 373]",0.6640410519563822,0.6938958584827055,0.7904497974845448,0.7390254372517603
7,50,0.3,"[144, 166, 97, 373]",0.6651443232841565,0.6963531999996013,0.7865700277126413,0.7387134811339777
8,50,0.4,"[144, 166, 97, 373]",0.6648107761385503,0.6966950721432383,0.7846088254103603,0.7380391889279002
9,50,0.5,"[144, 166, 97, 373]",0.6648364336112893,0.6966479063037412,0.7848219995736516,0.738105393290059
10,75,0.1,"[144, 166, 97, 373]",0.6622450288646567,0.689855731446849,0.7972287358772117,0.7396410591570056
11,75,0.2,"[144, 166, 97, 373]",0.6651443232841565,0.6963386920582642,0.7866126625452996,0.7387239631640342
12,75,0.3,"[144, 166, 97, 373]",0.6648877485567672,0.6967888595408673,0.7845661905777019,0.7380729336187233
13,75,0.4,"[144, 166, 97, 373]",0.6650160359204619,0.6968172873695611,0.7848646344063099,0.7382189739109637
14,75,0.5,"[144, 166, 97, 373]",0.6649647209749839,0.6968091589528566,0.7847367299083351,0.7381581832638615
