,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[158, 152, 94, 376]",0.6844644002565747,0.7095070184270826,0.8054572585802602,0.7544411714318205
1,200,7,"[165, 145, 103, 367]",0.6869788325849904,0.7162862923739131,0.7945853762523982,0.7534064058757515
2,200,10,"[171, 139, 111, 359]",0.6837973059653624,0.7189871347467829,0.7790662971647835,0.7478206389389431
3,300,5,"[158, 152, 95, 375]",0.6841565105837075,0.7093295028926301,0.8050735450863356,0.7541733979252355
4,300,7,"[166, 144, 104, 366]",0.687158434894163,0.7163948572664147,0.7947985504156896,0.7535624130450531
5,300,10,"[170, 140, 111, 359]",0.6852341244387427,0.7203488532011297,0.7796205499893413,0.7488122198718093
6,400,5,"[159, 151, 96, 374]",0.6842591404746633,0.7092320638491384,0.8056277979108932,0.7543611157164178
7,400,7,"[165, 145, 104, 366]",0.6873893521488134,0.7162768586309798,0.7957365167341718,0.7539178332190952
8,400,10,"[171, 139, 111, 359]",0.6845926876202695,0.7198133698317808,0.7791942016627584,0.7483257287340623
9,500,5,"[158, 152, 96, 374]",0.683976908274535,0.7092381181730673,0.8048177360903859,0.7540086236213097
10,500,7,"[165, 145, 105, 365]",0.6870301475304683,0.7161574220499117,0.7950543594116394,0.753545731832589
11,500,10,"[171, 139, 109, 361]",0.6847979474021809,0.719883772064947,0.779577915156683,0.7485398794414571
