,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[158, 152, 94, 376]","[145, 166, 84, 385]","[157, 154, 90, 379]","[156, 155, 79, 390]","[163, 148, 95, 374]","[150, 160, 89, 380]",[1560 1544  923 3768],[1546 1558  902 3789],[1554 1550  909 3782],[1571 1533  929 3762],[1554 1550  900 3791]
1,200,7,"[165, 145, 103, 367]","[151, 160, 88, 381]","[167, 144, 97, 372]","[166, 145, 85, 384]","[167, 144, 102, 367]","[154, 156, 92, 377]",[1631 1473  962 3729],[1627 1477  966 3725],[1642 1462  964 3727],[1613 1491  968 3723],[1625 1479  958 3733]
2,200,10,"[171, 139, 111, 359]","[158, 153, 96, 373]","[174, 137, 104, 365]","[176, 135, 95, 374]","[167, 144, 104, 365]","[154, 156, 104, 365]",[1686 1418 1048 3643],[1669 1435 1025 3666],[1665 1439 1039 3652],[1668 1436 1041 3650],[1690 1414 1029 3662]
3,300,5,"[158, 152, 95, 375]","[148, 163, 85, 384]","[159, 152, 91, 378]","[149, 162, 76, 393]","[164, 147, 95, 374]","[149, 161, 85, 384]",[1559 1545  915 3776],[1541 1563  904 3787],[1553 1551  918 3773],[1568 1536  925 3766],[1561 1543  910 3781]
4,300,7,"[166, 144, 104, 366]","[153, 158, 87, 382]","[163, 148, 97, 372]","[167, 144, 87, 382]","[166, 145, 101, 368]","[153, 157, 93, 376]",[1627 1477  961 3730],[1625 1479  959 3732],[1642 1462  963 3728],[1620 1484  972 3719],[1626 1478  958 3733]
5,300,10,"[170, 140, 111, 359]","[162, 149, 96, 373]","[176, 135, 102, 367]","[176, 135, 96, 373]","[168, 143, 104, 365]","[157, 153, 101, 368]",[1690 1414 1037 3654],[1671 1433 1025 3666],[1678 1426 1029 3662],[1682 1422 1049 3642],[1700 1404 1029 3662]
6,400,5,"[159, 151, 96, 374]","[150, 161, 85, 384]","[157, 154, 92, 377]","[149, 162, 74, 395]","[162, 149, 92, 377]","[149, 161, 84, 385]",[1557 1547  909 3782],[1536 1568  900 3791],[1555 1549  919 3772],[1564 1540  922 3769],[1561 1543  909 3782]
7,400,7,"[165, 145, 104, 366]","[154, 157, 85, 384]","[164, 147, 97, 372]","[163, 148, 86, 383]","[169, 142, 100, 369]","[154, 156, 90, 379]",[1625 1479  952 3739],[1620 1484  949 3742],[1639 1465  964 3727],[1621 1483  969 3722],[1622 1482  957 3734]
8,400,10,"[171, 139, 111, 359]","[161, 150, 98, 371]","[173, 138, 104, 365]","[170, 141, 93, 376]","[166, 145, 104, 365]","[157, 153, 102, 367]",[1678 1426 1037 3654],[1668 1436 1020 3671],[1678 1426 1039 3652],[1682 1422 1051 3640],[1700 1404 1032 3659]
9,500,5,"[158, 152, 96, 374]","[147, 164, 88, 381]","[157, 154, 93, 376]","[148, 163, 75, 394]","[161, 150, 92, 377]","[152, 158, 85, 384]",[1555 1549  914 3777],[1537 1567  900 3791],[1560 1544  920 3771],[1566 1538  928 3763],[1563 1541  916 3775]
10,500,7,"[165, 145, 105, 365]","[153, 158, 88, 381]","[164, 147, 97, 372]","[166, 145, 88, 381]","[171, 140, 101, 368]","[154, 156, 90, 379]",[1636 1468  961 3730],[1620 1484  952 3739],[1631 1473  966 3725],[1620 1484  969 3722],[1622 1482  959 3732]
11,500,10,"[171, 139, 109, 361]","[161, 150, 98, 371]","[177, 134, 104, 365]","[170, 141, 92, 377]","[169, 142, 108, 361]","[157, 153, 102, 367]",[1687 1417 1038 3653],[1666 1438 1014 3677],[1674 1430 1036 3655],[1683 1421 1054 3637],[1695 1409 1028 3663]
