,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[153, 157, 88, 382]","[142, 169, 81, 388]","[158, 153, 88, 381]","[147, 164, 76, 393]","[159, 152, 84, 385]","[144, 166, 73, 396]",[1506 1598  844 3847],[1478 1626  823 3868],[1488 1616  846 3845],[1486 1618  856 3835],[1472 1632  851 3840]
1,200,7,"[162, 148, 95, 375]","[151, 160, 84, 385]","[170, 141, 92, 377]","[156, 155, 83, 386]","[170, 141, 92, 377]","[159, 151, 80, 389]",[1608 1496  906 3785],[1589 1515  900 3791],[1592 1512  910 3781],[1599 1505  925 3766],[1602 1502  918 3773]
2,200,10,"[167, 143, 100, 370]","[158, 153, 83, 386]","[176, 135, 98, 371]","[171, 140, 88, 381]","[177, 134, 97, 372]","[163, 147, 82, 387]",[1668 1436  941 3750],[1623 1481  945 3746],[1626 1478  934 3757],[1644 1460  956 3735],[1648 1456  958 3733]
3,300,5,"[151, 159, 87, 383]","[144, 167, 84, 385]","[157, 154, 89, 380]","[147, 164, 75, 394]","[157, 154, 81, 388]","[145, 165, 72, 397]",[1504 1600  845 3846],[1478 1626  825 3866],[1497 1607  858 3833],[1490 1614  863 3828],[1479 1625  858 3833]
4,300,7,"[163, 147, 100, 370]","[149, 162, 88, 381]","[170, 141, 92, 377]","[157, 154, 85, 384]","[171, 140, 93, 376]","[160, 150, 78, 391]",[1610 1494  917 3774],[1584 1520  895 3796],[1590 1514  909 3782],[1593 1511  919 3772],[1607 1497  910 3781]
5,300,10,"[164, 146, 99, 371]","[159, 152, 86, 383]","[174, 137, 97, 372]","[171, 140, 87, 382]","[174, 137, 92, 377]","[166, 144, 85, 384]",[1668 1436  939 3752],[1628 1476  948 3743],[1634 1470  938 3753],[1649 1455  958 3733],[1647 1457  949 3742]
6,400,5,"[154, 156, 89, 381]","[143, 168, 81, 388]","[155, 156, 85, 384]","[146, 165, 72, 397]","[156, 155, 84, 385]","[145, 165, 73, 396]",[1502 1602  837 3854],[1482 1622  832 3859],[1497 1607  859 3832],[1496 1608  857 3834],[1487 1617  851 3840]
7,400,7,"[165, 145, 100, 370]","[150, 161, 86, 383]","[169, 142, 92, 377]","[156, 155, 84, 385]","[169, 142, 93, 376]","[160, 150, 78, 391]",[1609 1495  911 3780],[1580 1524  897 3794],[1600 1504  901 3790],[1591 1513  924 3767],[1617 1487  911 3780]
8,400,10,"[165, 145, 98, 372]","[159, 152, 89, 380]","[175, 136, 97, 372]","[171, 140, 88, 381]","[174, 137, 93, 376]","[166, 144, 83, 386]",[1668 1436  938 3753],[1621 1483  950 3741],[1634 1470  926 3765],[1651 1453  958 3733],[1648 1456  959 3732]
9,500,5,"[157, 153, 90, 380]","[143, 168, 83, 386]","[155, 156, 87, 382]","[146, 165, 72, 397]","[154, 157, 83, 386]","[145, 165, 72, 397]",[1505 1599  840 3851],[1476 1628  832 3859],[1495 1609  859 3832],[1502 1602  867 3824],[1488 1616  859 3832]
10,500,7,"[166, 144, 100, 370]","[150, 161, 88, 381]","[171, 140, 92, 377]","[153, 158, 83, 386]","[169, 142, 92, 377]","[159, 151, 78, 391]",[1610 1494  912 3779],[1588 1516  895 3796],[1597 1507  903 3788],[1590 1514  922 3769],[1611 1493  923 3768]
11,500,10,"[164, 146, 100, 370]","[159, 152, 88, 381]","[179, 132, 99, 370]","[172, 139, 88, 381]","[175, 136, 92, 377]","[161, 149, 80, 389]",[1667 1437  937 3754],[1620 1484  955 3736],[1629 1475  928 3763],[1652 1452  953 3738],[1649 1455  962 3729]
