,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[153, 157, 88, 382]",0.6841565105837075,0.7039361997050586,0.8200810061820507,0.7575810976942688
1,200,7,"[162, 148, 95, 375]",0.6898268120590123,0.7150540574688715,0.8056277979108932,0.757642481881677
2,200,10,"[167, 143, 100, 370]",0.6909557408595253,0.7191601282749485,0.798166702195694,0.7566035884895509
3,300,5,"[151, 159, 87, 383]",0.6838742783835792,0.704084945447729,0.8188445960349604,0.757138604469057
4,300,7,"[163, 147, 100, 370]",0.6899037844772289,0.7149907218813191,0.8060115114048176,0.7577758029738788
5,300,10,"[164, 146, 99, 371]",0.6914432328415651,0.7196492122410959,0.7982519718610105,0.7569138534211279
6,400,5,"[154, 156, 89, 381]",0.6846183450930083,0.7046383830238365,0.8193988488595181,0.7576964690646412
7,400,7,"[165, 145, 100, 370]",0.6903912764592688,0.715408328358737,0.8062673204007673,0.7581230755842998
8,400,10,"[165, 145, 98, 372]",0.6913662604233484,0.7195502639617637,0.7982946066936687,0.7568768320815737
9,500,5,"[157, 153, 90, 380]",0.6841308531109686,0.7044637563512675,0.8185035173736942,0.7572114243096388
10,500,7,"[166, 144, 100, 370]",0.6900833867864016,0.715260838591461,0.8057983372415263,0.7578329723005428
11,500,10,"[164, 146, 100, 370]",0.6911353431686978,0.7193694852609563,0.7981240673630355,0.7567001571448098
