,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[136, 174, 84, 386]",0.6837716484926235,0.6954586256535229,0.8442123214666383,0.7626487215104618
1,200,7,"[156, 154, 93, 377]",0.6924695317511226,0.7130912668293612,0.818162438712428,0.7620217114166886
2,200,10,"[155, 155, 97, 373]",0.6947530468248877,0.7191337038927251,0.8085696013643145,0.7612335745888228
3,300,5,"[141, 169, 82, 388]",0.6842591404746633,0.6963627162137209,0.8428480068215732,0.7626341261763199
4,300,7,"[160, 150, 92, 378]",0.692649134060295,0.7132141213124562,0.8183329780430612,0.7621655794715618
5,300,10,"[159, 151, 96, 374]",0.694650416933932,0.7191933682896664,0.8081432530377318,0.7610769264183042
6,400,5,"[142, 168, 83, 387]",0.6842334830019243,0.6962967033238708,0.8429759113195481,0.7626472787032078
7,400,7,"[158, 152, 93, 377]",0.6928543938422067,0.7132827985818253,0.8187166915369858,0.7623713176349582
8,400,10,"[158, 152, 96, 374]",0.6957536882617061,0.7199831946106785,0.8091238541888723,0.7619542153079515
9,500,5,"[139, 171, 81, 389]",0.6845670301475305,0.6965738840799359,0.8431038158175228,0.7628656484061532
10,500,7,"[157, 153, 92, 378]",0.6931879409878128,0.7137228590818209,0.818460882541036,0.7625117762206387
11,500,10,"[157, 153, 95, 375]",0.6955997434252726,0.7196027905054873,0.80967810701343,0.7619868524899349
