,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[136, 174, 84, 386]","[133, 178, 67, 402]","[141, 170, 73, 396]","[124, 187, 65, 404]","[144, 167, 70, 399]","[130, 180, 70, 399]",[1357 1747  731 3960],[1373 1731  728 3963],[1355 1749  731 3960],[1373 1731  736 3955],[1391 1713  728 3963]
1,200,7,"[156, 154, 93, 377]","[145, 166, 79, 390]","[168, 143, 92, 377]","[150, 161, 78, 391]","[159, 152, 84, 385]","[151, 159, 82, 387]",[1553 1551  864 3827],[1561 1543  844 3847],[1560 1544  859 3832],[1555 1549  850 3841],[1570 1534  848 3843]
2,200,10,"[155, 155, 97, 373]","[159, 152, 83, 386]","[169, 142, 91, 378]","[163, 148, 84, 385]","[168, 143, 93, 376]","[157, 153, 85, 384]",[1623 1481  906 3785],[1618 1486  897 3794],[1619 1485  904 3787],[1625 1479  892 3799],[1628 1476  891 3800]
3,300,5,"[141, 169, 82, 388]","[134, 177, 68, 401]","[137, 174, 73, 396]","[122, 189, 65, 404]","[142, 169, 71, 398]","[137, 173, 70, 399]",[1368 1736  737 3954],[1380 1724  726 3965],[1370 1734  747 3944],[1393 1711  744 3947],[1389 1715  732 3959]
4,300,7,"[160, 150, 92, 378]","[149, 162, 80, 389]","[162, 149, 88, 381]","[146, 165, 77, 392]","[159, 152, 82, 387]","[155, 155, 79, 390]",[1552 1552  853 3838],[1572 1532  855 3836],[1554 1550  864 3827],[1557 1547  846 3845],[1567 1537  843 3848]
5,300,10,"[159, 151, 96, 374]","[159, 152, 86, 383]","[171, 140, 90, 379]","[165, 146, 83, 386]","[170, 141, 93, 376]","[156, 154, 87, 382]",[1637 1467  909 3782],[1617 1487  898 3793],[1609 1495  898 3793],[1633 1471  888 3803],[1623 1481  907 3784]
6,400,5,"[142, 168, 83, 387]","[134, 177, 70, 399]","[141, 170, 72, 397]","[121, 190, 65, 404]","[141, 170, 72, 397]","[140, 170, 69, 400]",[1377 1727  742 3949],[1373 1731  731 3960],[1367 1737  741 3950],[1385 1719  738 3953],[1394 1710  731 3960]
7,400,7,"[158, 152, 93, 377]","[150, 161, 80, 389]","[164, 147, 88, 381]","[148, 163, 78, 391]","[159, 152, 84, 385]","[153, 157, 83, 386]",[1556 1548  861 3830],[1570 1534  850 3841],[1558 1546  854 3837],[1557 1547  848 3843],[1560 1544  839 3852]
8,400,10,"[158, 152, 96, 374]","[158, 153, 88, 381]","[171, 140, 91, 378]","[167, 144, 84, 385]","[170, 141, 91, 378]","[158, 152, 83, 386]",[1635 1469  909 3782],[1631 1473  891 3800],[1612 1492  895 3796],[1629 1475  887 3804],[1632 1472  895 3796]
9,500,5,"[139, 171, 81, 389]","[137, 174, 69, 400]","[142, 169, 72, 397]","[124, 187, 65, 404]","[142, 169, 72, 397]","[135, 175, 71, 398]",[1380 1724  742 3949],[1371 1733  731 3960],[1377 1727  748 3943],[1378 1726  730 3961],[1400 1704  729 3962]
10,500,7,"[157, 153, 92, 378]","[151, 160, 78, 391]","[164, 147, 85, 384]","[150, 161, 78, 391]","[159, 152, 86, 383]","[153, 157, 81, 388]",[1561 1543  856 3835],[1562 1542  853 3838],[1568 1536  857 3834],[1559 1545  848 3843],[1570 1534  844 3847]
11,500,10,"[157, 153, 95, 375]","[158, 153, 88, 381]","[170, 141, 91, 378]","[166, 145, 84, 385]","[169, 142, 90, 379]","[156, 154, 83, 386]",[1628 1476  904 3787],[1631 1473  894 3797],[1609 1495  890 3801],[1622 1482  892 3799],[1630 1474  884 3807]
