,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[168, 142, 118, 352]",0.6695317511225145,0.7073155892000718,0.7691750159880623,0.7369214265787628
1,200,7,"[168, 142, 118, 352]",0.6694034637588198,0.7102198330304381,0.7612449371136217,0.7348387226441933
2,200,10,"[167, 143, 118, 352]",0.6665298268120591,0.7087413451224053,0.7569388190151353,0.7320387141396678
3,300,5,"[168, 142, 118, 352]",0.6693008338678641,0.7071526776057253,0.7689618418247709,0.7367331014687432
4,300,7,"[168, 142, 118, 352]",0.6695317511225145,0.7105965802068201,0.7606480494564059,0.7347610168242932
5,300,10,"[167, 143, 118, 352]",0.6666067992302758,0.7088775905264378,0.7568109145171604,0.732051647430565
6,400,5,"[168, 142, 118, 352]",0.669275176395125,0.7071740009424691,0.7688339373267961,0.7366844904573733
7,400,7,"[168, 142, 118, 352]",0.669326491340603,0.7103898601131435,0.7606054146237476,0.7346298268471056
8,400,10,"[167, 143, 118, 352]",0.6666067992302758,0.7087752226652344,0.7570667235131101,0.7321179080063209
9,500,5,"[168, 142, 118, 352]",0.6692238614496473,0.7072308840680036,0.7685354934981881,0.7365785407745757
10,500,7,"[168, 142, 118, 352]",0.6698396407953817,0.7107014880027415,0.761244937113622,0.7350964855681787
11,500,10,"[167, 143, 118, 352]",0.6665554842847978,0.7087857543361711,0.756896184182477,0.732042654044347
