,N_Estimators,Max_Depth,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,50,"[168, 142, 118, 352]","[150, 161, 95, 374]","[174, 137, 121, 348]","[152, 159, 96, 373]","[152, 159, 86, 383]","[160, 150, 103, 366]",[1621 1483 1087 3604],[1572 1532 1020 3671],[1623 1481 1102 3589],[1636 1468 1099 3592],[1627 1477 1106 3585]
1,300,5,100,"[168, 142, 118, 352]","[150, 161, 95, 374]","[174, 137, 121, 348]","[152, 159, 96, 373]","[146, 165, 81, 388]","[160, 150, 103, 366]",[1619 1485 1089 3602],[1563 1541 1015 3676],[1622 1482 1102 3589],[1586 1518 1061 3630],[1629 1475 1112 3579]
2,300,5,150,"[168, 142, 118, 352]","[150, 161, 98, 371]","[174, 137, 121, 348]","[152, 159, 96, 373]","[145, 166, 80, 389]","[160, 150, 103, 366]",[1618 1486 1091 3600],[1563 1541 1015 3676],[1622 1482 1102 3589],[1637 1467 1098 3593],[1626 1478 1108 3583]
3,300,10,50,"[167, 143, 118, 352]","[153, 158, 108, 361]","[173, 138, 123, 346]","[151, 160, 96, 373]","[167, 144, 102, 367]","[158, 152, 106, 363]",[1641 1463 1139 3552],[1627 1477 1085 3606],[1649 1455 1138 3553],[1658 1446 1155 3536],[1656 1448 1181 3510]
4,300,10,100,"[167, 143, 118, 352]","[153, 158, 104, 365]","[173, 138, 123, 346]","[151, 160, 96, 373]","[163, 148, 100, 369]","[161, 149, 105, 364]",[1640 1464 1133 3558],[1632 1472 1092 3599],[1649 1455 1138 3553],[1661 1443 1151 3540],[1658 1446 1181 3510]
5,300,10,150,"[167, 143, 118, 352]","[153, 158, 106, 363]","[175, 136, 124, 345]","[151, 160, 96, 373]","[164, 147, 101, 368]","[160, 150, 107, 362]",[1642 1462 1139 3552],[1628 1476 1091 3600],[1646 1458 1135 3556],[1661 1443 1152 3539],[1657 1447 1179 3512]
6,300,15,50,"[167, 143, 118, 352]","[152, 159, 108, 361]","[173, 138, 123, 346]","[151, 160, 96, 373]","[156, 155, 99, 370]","[150, 160, 107, 362]",[1622 1482 1138 3553],[1612 1492 1096 3595],[1643 1461 1134 3557],[1649 1455 1151 3540],[1640 1464 1187 3504]
7,300,15,100,"[167, 143, 118, 352]","[152, 159, 105, 364]","[173, 138, 123, 346]","[151, 160, 96, 373]","[157, 154, 98, 371]","[152, 158, 105, 364]",[1625 1479 1133 3558],[1611 1493 1101 3590],[1644 1460 1137 3554],[1649 1455 1146 3545],[1637 1467 1186 3505]
8,300,15,150,"[167, 143, 118, 352]","[152, 159, 107, 362]","[175, 136, 124, 345]","[151, 160, 96, 373]","[157, 154, 100, 369]","[152, 158, 106, 363]",[1627 1477 1139 3552],[1607 1497 1099 3592],[1641 1463 1134 3557],[1648 1456 1148 3543],[1637 1467 1185 3506]
9,500,5,50,"[168, 142, 118, 352]","[150, 161, 95, 374]","[174, 137, 121, 348]","[152, 159, 96, 373]","[152, 159, 86, 383]","[160, 150, 103, 366]",[1621 1483 1087 3604],[1574 1530 1020 3671],[1624 1480 1105 3586],[1635 1469 1100 3591],[1627 1477 1107 3584]
