,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[168, 142, 118, 352]","[152, 159, 96, 373]","[174, 137, 121, 348]","[152, 159, 96, 373]","[151, 160, 85, 384]","[161, 149, 102, 367]",[1627 1477 1093 3598],[1559 1545 1010 3681],[1610 1494 1096 3595],[1634 1470 1105 3586],[1624 1480 1110 3581]
1,200,7,"[168, 142, 118, 352]","[155, 156, 104, 365]","[176, 135, 124, 345]","[152, 159, 96, 373]","[171, 140, 98, 371]","[162, 148, 103, 366]",[1658 1446 1128 3563],[1631 1473 1068 3623],[1646 1458 1122 3569],[1651 1453 1134 3557],[1649 1455 1148 3543]
2,200,10,"[167, 143, 118, 352]","[152, 159, 106, 363]","[175, 136, 124, 345]","[151, 160, 97, 372]","[162, 149, 99, 370]","[162, 148, 107, 362]",[1642 1462 1140 3551],[1627 1477 1095 3596],[1648 1456 1138 3553],[1660 1444 1153 3538],[1647 1457 1175 3516]
3,300,5,"[168, 142, 118, 352]","[150, 161, 99, 370]","[174, 137, 121, 348]","[152, 159, 96, 373]","[153, 158, 87, 382]","[161, 149, 104, 365]",[1627 1477 1101 3590],[1554 1550 1011 3680],[1606 1498 1096 3595],[1636 1468 1100 3591],[1627 1477 1111 3580]
4,300,7,"[168, 142, 118, 352]","[155, 156, 107, 362]","[174, 137, 123, 346]","[152, 159, 96, 373]","[168, 143, 97, 372]","[162, 148, 103, 366]",[1654 1450 1129 3562],[1634 1470 1070 3621],[1648 1456 1124 3567],[1667 1437 1138 3553],[1651 1453 1153 3538]
5,300,10,"[167, 143, 118, 352]","[152, 159, 109, 360]","[173, 138, 123, 346]","[151, 160, 96, 373]","[162, 149, 100, 369]","[162, 148, 108, 361]",[1640 1464 1141 3550],[1628 1476 1099 3592],[1649 1455 1134 3557],[1663 1441 1155 3536],[1650 1454 1175 3516]
6,400,5,"[168, 142, 118, 352]","[150, 161, 99, 370]","[174, 137, 121, 348]","[152, 159, 96, 373]","[158, 153, 91, 378]","[161, 149, 104, 365]",[1632 1472 1105 3586],[1554 1550 1009 3682],[1606 1498 1096 3595],[1637 1467 1101 3590],[1623 1481 1111 3580]
7,400,7,"[168, 142, 118, 352]","[155, 156, 105, 364]","[176, 135, 124, 345]","[152, 159, 96, 373]","[168, 143, 97, 372]","[162, 148, 103, 366]",[1656 1448 1128 3563],[1627 1477 1072 3619],[1648 1456 1125 3566],[1665 1439 1138 3553],[1651 1453 1152 3539]
8,400,10,"[167, 143, 118, 352]","[153, 158, 109, 360]","[175, 136, 124, 345]","[151, 160, 96, 373]","[162, 149, 98, 371]","[161, 149, 107, 362]",[1642 1462 1139 3552],[1630 1474 1099 3592],[1647 1457 1133 3558],[1656 1448 1152 3539],[1649 1455 1175 3516]
9,500,5,"[168, 142, 118, 352]","[150, 161, 99, 370]","[174, 137, 121, 348]","[152, 159, 96, 373]","[155, 156, 89, 380]","[160, 150, 103, 366]",[1628 1476 1102 3589],[1557 1547 1010 3681],[1606 1498 1096 3595],[1642 1462 1107 3584],[1624 1480 1114 3577]
10,500,7,"[168, 142, 118, 352]","[154, 157, 102, 367]","[176, 135, 124, 345]","[152, 159, 96, 373]","[168, 143, 97, 372]","[162, 148, 103, 366]",[1655 1449 1124 3567],[1634 1470 1070 3621],[1648 1456 1122 3569],[1666 1438 1134 3557],[1649 1455 1150 3541]
11,500,10,"[167, 143, 118, 352]","[153, 158, 109, 360]","[175, 136, 124, 345]","[151, 160, 96, 373]","[161, 150, 99, 370]","[162, 148, 107, 362]",[1642 1462 1139 3552],[1629 1475 1097 3594],[1647 1457 1134 3557],[1660 1444 1156 3535],[1648 1456 1176 3515]
