,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[164, 146, 90, 380]","[151, 160, 92, 377]","[169, 142, 92, 377]","[155, 156, 85, 384]","[160, 151, 95, 374]","[157, 153, 105, 364]",[1594 1510  940 3751],[1582 1522  942 3749],[1587 1517  941 3750],[1586 1518  947 3744],[1579 1525  944 3747]
1,rbf,0.1,1.0,,"[79, 231, 39, 431]","[85, 226, 48, 421]","[93, 218, 56, 413]","[88, 223, 41, 428]","[91, 220, 47, 422]","[46, 264, 25, 444]",[ 873 2231  460 4231],[ 963 2141  518 4173],[ 951 2153  491 4200],[ 959 2145  521 4170],[ 932 2172  489 4202]
2,poly,0.1,1.0,2.0,"[170, 140, 103, 367]","[146, 165, 96, 373]","[152, 159, 86, 383]","[142, 169, 92, 377]","[153, 158, 96, 373]","[161, 149, 109, 360]",[1541 1563  979 3712],[1533 1571  984 3707],[1522 1582  969 3722],[1550 1554 1014 3677],[1541 1563  985 3706]
3,poly,0.1,1.0,3.0,"[53, 257, 46, 424]","[109, 202, 68, 401]","[130, 181, 83, 386]","[156, 155, 90, 379]","[110, 201, 66, 403]","[84, 226, 144, 325]",[ 929 2175  691 4000],[1107 1997  748 3943],[1006 2098  685 4006],[1071 2033  762 3929],[ 874 2230  609 4082]
4,rbf,0.1,10.0,,"[10, 300, 1, 469]","[14, 297, 8, 461]","[30, 281, 21, 448]","[21, 290, 6, 463]","[17, 294, 6, 463]","[3, 307, 3, 466]",[ 167 2937   89 4602],[ 192 2912  111 4580],[ 175 2929  104 4587],[ 164 2940   92 4599],[ 183 2921   93 4598]
5,poly,0.1,10.0,2.0,"[67, 243, 140, 330]","[47, 264, 91, 378]","[66, 245, 66, 403]","[156, 155, 217, 252]","[58, 253, 60, 409]","[48, 262, 133, 336]",[ 664 2440 1194 3497],[ 560 2544 1088 3603],[ 564 2540 1066 3625],[ 537 2567  846 3845],[ 551 2553 1130 3561]
6,poly,0.1,10.0,3.0,"[57, 253, 117, 353]","[29, 282, 42, 427]","[25, 286, 64, 405]","[37, 274, 56, 413]","[90, 221, 124, 345]","[69, 241, 159, 310]",[ 498 2606  804 3887],[ 459 2645  819 3872],[ 611 2493 1076 3615],[ 432 2672  781 3910],[ 427 2677  770 3921]
7,linear,1.0,,,"[163, 147, 90, 380]","[151, 160, 92, 377]","[169, 142, 92, 377]","[155, 156, 88, 381]","[160, 151, 95, 374]","[157, 153, 105, 364]",[1592 1512  942 3749],[1584 1520  945 3746],[1588 1516  943 3748],[1585 1519  948 3743],[1579 1525  942 3749]
8,rbf,1.0,1.0,,"[158, 152, 111, 359]","[144, 167, 96, 373]","[153, 158, 99, 370]","[165, 146, 99, 370]","[158, 153, 97, 372]","[141, 169, 106, 363]",[1558 1546 1031 3660],[1554 1550 1037 3654],[1568 1536 1024 3667],[1575 1529 1015 3676],[1550 1554 1023 3668]
9,poly,1.0,1.0,2.0,"[116, 194, 98, 372]","[110, 201, 74, 395]","[124, 187, 75, 394]","[120, 191, 73, 396]","[103, 208, 50, 419]","[75, 235, 123, 346]",[1101 2003  776 3915],[1115 1989  736 3955],[ 994 2110  620 4071],[1250 1854  889 3802],[1175 1929  781 3910]
10,poly,1.0,1.0,3.0,"[48, 262, 67, 403]","[36, 275, 64, 405]","[64, 247, 122, 347]","[27, 284, 89, 380]","[38, 273, 77, 392]","[54, 256, 133, 336]",[ 479 2625  956 3735],[ 402 2702  688 4003],[ 346 2758  582 4109],[ 511 2593  939 3752],[ 384 2720  610 4081]
11,rbf,1.0,10.0,,"[115, 195, 99, 371]","[114, 197, 79, 390]","[120, 191, 89, 380]","[134, 177, 84, 385]","[116, 195, 83, 386]","[91, 219, 70, 399]",[1213 1891  882 3809],[1244 1860  907 3784],[1254 1850  898 3793],[1232 1872  892 3799],[1221 1883  871 3820]
12,poly,1.0,10.0,2.0,"[45, 265, 129, 341]","[44, 267, 123, 346]","[44, 267, 98, 371]","[43, 268, 115, 354]","[73, 238, 84, 385]","[71, 239, 173, 296]",[ 593 2511 1224 3467],[ 516 2588  983 3708],[ 563 2541  982 3709],[ 673 2431 1128 3563],[ 661 2443 1369 3322]
13,poly,1.0,10.0,3.0,"[53, 257, 112, 358]","[24, 287, 29, 440]","[44, 267, 50, 419]","[159, 152, 321, 148]","[79, 232, 122, 347]","[68, 242, 162, 307]",[ 657 2447 1260 3431],[ 956 2148 1730 2961],[ 491 2613  839 3852],[ 645 2459 1058 3633],[ 516 2588  828 3863]
14,linear,10.0,,,"[163, 147, 90, 380]","[151, 160, 92, 377]","[169, 142, 92, 377]","[155, 156, 87, 382]","[160, 151, 95, 374]","[157, 153, 105, 364]",[1592 1512  941 3750],[1584 1520  945 3746],[1587 1517  945 3746],[1585 1519  945 3746],[1578 1526  940 3751]
15,rbf,10.0,1.0,,"[170, 140, 137, 333]","[151, 160, 119, 350]","[159, 152, 121, 348]","[177, 134, 118, 351]","[165, 146, 123, 346]","[153, 157, 138, 331]",[1626 1478 1271 3420],[1613 1491 1250 3441],[1640 1464 1268 3423],[1584 1520 1257 3434],[1599 1505 1263 3428]
16,poly,10.0,1.0,2.0,"[42, 268, 106, 364]","[54, 257, 117, 352]","[35, 276, 88, 381]","[56, 255, 130, 339]","[47, 264, 52, 417]","[73, 237, 136, 333]",[ 549 2555 1057 3634],[ 601 2503 1083 3608],[ 574 2530 1164 3527],[ 508 2596  926 3765],[ 564 2540 1103 3588]
17,poly,10.0,1.0,3.0,"[71, 239, 85, 385]","[29, 282, 68, 401]","[40, 271, 60, 409]","[46, 265, 140, 329]","[84, 227, 184, 285]","[65, 245, 130, 339]",[ 516 2588  985 3706],[ 452 2652  847 3844],[ 462 2642  854 3837],[ 451 2653  845 3846],[ 501 2603  912 3779]
18,rbf,10.0,10.0,,"[115, 195, 99, 371]","[114, 197, 79, 390]","[120, 191, 89, 380]","[134, 177, 84, 385]","[116, 195, 83, 386]","[91, 219, 70, 399]",[1213 1891  882 3809],[1244 1860  907 3784],[1254 1850  898 3793],[1232 1872  892 3799],[1221 1883  871 3820]
19,poly,10.0,10.0,2.0,"[70, 240, 215, 255]","[41, 270, 49, 420]","[53, 258, 94, 375]","[48, 263, 133, 336]","[52, 259, 112, 357]","[83, 227, 154, 315]",[ 561 2543 1103 3588],[ 619 2485 1241 3450],[ 630 2474 1086 3605],[ 647 2457 1312 3379],[ 746 2358 1340 3351]
20,poly,10.0,10.0,3.0,"[294, 16, 459, 11]","[83, 228, 125, 344]","[64, 247, 66, 403]","[292, 19, 454, 15]","[70, 241, 70, 399]","[92, 218, 195, 274]",[1065 2039 1702 2989],[ 848 2256 1449 3242],[1132 1972 1808 2883],[ 916 2188 1611 3080],[1081 2023 1927 2764]
