,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[164, 146, 90, 380]",0.6842591404746632,0.7116930623063682,0.7990193988488595,0.7528321557349422
1,rbf,0.1,1.0,,"[79, 231, 39, 431]",0.658216805644644,0.6592682612283218,0.8943082498401195,0.7589953265372419
2,poly,0.1,1.0,2.0,"[170, 140, 103, 367]",0.672508017960231,0.702812947873598,0.7897676401620124,0.7437537129836
3,poly,0.1,1.0,3.0,"[53, 257, 46, 424]",0.6400769724182168,0.6547161368005736,0.850991259859305,0.7399683739766988
4,rbf,0.1,10.0,,"[10, 300, 1, 469]",0.6118537524053881,0.610717580190211,0.9791515668301001,0.7522434367439517
5,poly,0.1,10.0,2.0,"[67, 243, 140, 330]",0.5389865298268119,0.589049002129044,0.7730121509273076,0.6685068359992813
6,poly,0.1,10.0,3.0,"[57, 253, 117, 353]",0.5550224502886465,0.5945890429006577,0.8188019612023023,0.6887786073810728
7,linear,1.0,,,"[163, 147, 90, 380]",0.6841051956382296,0.7116272527039975,0.79876358985291,0.7526817742470577
8,rbf,1.0,1.0,,"[158, 152, 111, 359]",0.6704297626683772,0.7037259431264292,0.7812833084630143,0.7404789975696324
9,poly,1.0,1.0,2.0,"[116, 194, 98, 372]",0.6488261706221937,0.665478183816815,0.8379023662332126,0.7416516986968976
10,poly,1.0,1.0,3.0,"[48, 262, 67, 403]",0.5593842206542655,0.5948081771410761,0.8390535067149862,0.6959393018945186
11,rbf,1.0,10.0,,"[115, 195, 99, 371]",0.6457729313662603,0.6701149386430244,0.810274994670646,0.7335561356571761
12,poly,1.0,10.0,2.0,"[45, 265, 129, 341]",0.533033996151379,0.5866017764708005,0.7575783415050096,0.6610481816535186
13,poly,1.0,10.0,3.0,"[53, 257, 112, 358]",0.5389352148813341,0.5908537685324974,0.7563419313579194,0.662272767215366
14,linear,10.0,,,"[163, 147, 90, 380]",0.6841565105837075,0.7116171050593593,0.7989341291835428,0.752751751984669
15,rbf,10.0,1.0,,"[170, 140, 137, 333]",0.6467735728030789,0.6968903012283414,0.7310168407589,0.7135412866121985
16,poly,10.0,1.0,2.0,"[42, 268, 106, 364]",0.5367030147530468,0.5874560394579819,0.7726284374333832,0.6673899021039894
17,poly,10.0,1.0,3.0,"[71, 239, 85, 385]",0.54891597177678,0.5913404025908011,0.8105734384992539,0.6837887946499065
18,rbf,10.0,10.0,,"[115, 195, 99, 371]",0.6457729313662603,0.6701149386430244,0.810274994670646,0.7335561356571761
19,poly,10.0,10.0,2.0,"[70, 240, 215, 255]",0.527928159076331,0.5851011203947335,0.7406949477723299,0.653657575669118
20,poly,10.0,10.0,3.0,"[294, 16, 459, 11]",0.5131494547787042,0.5880039928980212,0.6377318269025795,0.6114520900596393
21,linear,100.0,,,"[164, 146, 91, 379]",0.6840538806927519,0.7114946946077231,0.7989767640162013,0.752701764028621
22,rbf,100.0,1.0,,"[170, 140, 137, 333]",0.6467992302758179,0.6969025586051222,0.7310594755915584,0.7135681210834682
23,poly,100.0,1.0,2.0,"[54, 256, 80, 390]",0.5274663245670302,0.5838931855710803,0.7474738861649968,0.6555486149271338
24,poly,100.0,1.0,3.0,"[54, 256, 113, 357]",0.522771007055805,0.5820389007219309,0.7274781496482625,0.6452934486762381
25,rbf,100.0,10.0,,"[115, 195, 99, 371]",0.6457729313662603,0.6701149386430244,0.810274994670646,0.7335561356571761
26,poly,100.0,10.0,2.0,"[73, 237, 168, 302]",0.5261834509300833,0.584555488948684,0.7343849925389043,0.6507757004981456
27,poly,100.0,10.0,3.0,"[60, 250, 123, 347]",0.5345734445157151,0.5906804623784734,0.7379663184822001,0.6558585154312222
28,linear,1000.0,,,"[145, 165, 101, 369]",0.6403078896728672,0.6825784058438211,0.7532295885738648,0.7157055611630156
29,rbf,1000.0,1.0,,"[170, 140, 137, 333]",0.6467992302758179,0.6969025586051222,0.7310594755915584,0.7135681210834682
30,poly,1000.0,1.0,2.0,"[78, 232, 186, 284]",0.5330083386786402,0.5861958246000765,0.7594969089746323,0.66150581107705
31,poly,1000.0,1.0,3.0,"[24, 286, 56, 414]",0.5236177036561899,0.5878357860197255,0.6874866766147943,0.6297260855433912
32,rbf,1000.0,10.0,,"[115, 195, 99, 371]",0.6457729313662603,0.6701149386430244,0.810274994670646,0.7335561356571761
33,poly,1000.0,10.0,2.0,"[43, 267, 71, 399]",0.548094932649134,0.5933231869536097,0.7905350671498614,0.6776892587120609
34,poly,1000.0,10.0,3.0,"[256, 54, 422, 48]",0.515253367543297,0.5853254952055422,0.6682157322532509,0.622184899905765
