,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[162, 148, 91, 379]","[151, 160, 92, 377]","[171, 140, 94, 375]","[157, 154, 87, 382]","[160, 151, 96, 373]","[155, 155, 104, 365]",[1591 1513  941 3750],[1584 1520  938 3753],[1587 1517  940 3751],[1593 1511  945 3746],[1587 1517  944 3747]
1,rbf,0.1,1.0,,50,"[86, 224, 45, 425]","[90, 221, 49, 420]","[98, 213, 56, 413]","[96, 215, 45, 424]","[95, 216, 50, 419]","[48, 262, 26, 443]",[ 926 2178  480 4211],[ 987 2117  534 4157],[ 970 2134  502 4189],[ 981 2123  535 4156],[ 976 2128  530 4161]
2,poly,0.1,1.0,2.0,50,"[171, 139, 105, 365]","[154, 157, 98, 371]","[164, 147, 96, 373]","[151, 160, 94, 375]","[172, 139, 111, 358]","[160, 150, 115, 354]",[1626 1478 1038 3653],[1610 1494 1021 3670],[1621 1483 1029 3662],[1606 1498 1023 3668],[1639 1465 1048 3643]
3,poly,0.1,1.0,3.0,50,"[86, 224, 63, 407]","[109, 202, 74, 395]","[117, 194, 66, 403]","[109, 202, 65, 404]","[120, 191, 71, 398]","[62, 248, 91, 378]",[1050 2054  707 3984],[1079 2025  693 3998],[1062 2042  675 4016],[1049 2055  692 3999],[1085 2019  698 3993]
4,rbf,0.1,10.0,,50,"[10, 300, 1, 469]","[14, 297, 9, 460]","[31, 280, 22, 447]","[24, 287, 8, 461]","[24, 287, 12, 457]","[3, 307, 5, 464]",[ 187 2917  108 4583],[ 229 2875  132 4559],[ 198 2906  115 4576],[ 201 2903  113 4578],[ 219 2885  118 4573]
5,poly,0.1,10.0,2.0,50,"[58, 252, 100, 370]","[39, 272, 77, 392]","[36, 275, 74, 395]","[42, 269, 117, 352]","[49, 262, 76, 393]","[71, 239, 152, 317]",[ 468 2636  905 3786],[ 428 2676  906 3785],[ 428 2676  809 3882],[ 441 2663  849 3842],[ 436 2668  859 3832]
6,poly,0.1,10.0,3.0,50,"[57, 253, 110, 360]","[43, 268, 82, 387]","[39, 272, 58, 411]","[46, 265, 97, 372]","[48, 263, 63, 406]","[66, 244, 132, 337]",[ 454 2650  805 3886],[ 447 2657  749 3942],[ 438 2666  783 3908],[ 448 2656  769 3922],[ 456 2648  823 3868]
7,linear,1.0,,,50,"[162, 148, 91, 379]","[151, 160, 92, 377]","[171, 140, 94, 375]","[157, 154, 87, 382]","[160, 151, 96, 373]","[155, 155, 104, 365]",[1592 1512  941 3750],[1582 1522  938 3753],[1587 1517  942 3749],[1591 1513  946 3745],[1589 1515  947 3744]
8,rbf,1.0,1.0,,50,"[162, 148, 118, 352]","[146, 165, 103, 366]","[159, 152, 110, 359]","[167, 144, 101, 368]","[159, 152, 102, 367]","[145, 165, 110, 359]",[1575 1529 1072 3619],[1577 1527 1081 3610],[1591 1513 1093 3598],[1599 1505 1105 3586],[1577 1527 1095 3596]
9,poly,1.0,1.0,2.0,50,"[83, 227, 56, 414]","[119, 192, 80, 389]","[117, 194, 63, 406]","[118, 193, 78, 391]","[121, 190, 61, 408]","[48, 262, 93, 376]",[1082 2022  702 3989],[1183 1921  715 3976],[1140 1964  669 4022],[1101 2003  677 4014],[1154 1950  705 3986]
