,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[162, 148, 91, 379]",0.684772289929442,0.7121370344305109,0.7992752078448092,0.7531940194502411
1,rbf,0.1,1.0,,50,"[86, 224, 45, 425]",0.6597562540089801,0.6615399045539204,0.8899594969089748,0.7589267201962107
2,poly,0.1,1.0,2.0,50,"[171, 139, 105, 365]",0.6773059653624118,0.7115234909594099,0.7800468983159241,0.7442079026284043
3,poly,0.1,1.0,3.0,50,"[86, 224, 63, 407]",0.6495189223861451,0.66225233236113,0.8522703048390534,0.7453395527568506
4,rbf,0.1,10.0,,50,"[10, 300, 1, 469]",0.6132905708787685,0.6122097140438835,0.9750159880622468,0.7521462628397582
5,poly,0.1,10.0,2.0,50,"[58, 252, 100, 370]",0.5472225785760103,0.5894936845172515,0.8154764442549564,0.6843026862490997
6,poly,0.1,10.0,3.0,50,"[57, 253, 110, 360]",0.5585375240538808,0.5952450177786888,0.8324877424856106,0.6941517988953527
7,linear,1.0,,,50,"[162, 148, 91, 379]",0.6845926876202695,0.7120443921513283,0.7990193988488595,0.7530285502744487
8,rbf,1.0,1.0,,50,"[162, 148, 118, 352]",0.6652469531751122,0.7032041623036867,0.7678107013429972,0.7340859079373354
9,poly,1.0,1.0,2.0,50,"[83, 227, 56, 414]",0.6580372033354714,0.6696729514259684,0.8521424003410786,0.7499573415488511
10,poly,1.0,1.0,3.0,50,"[49, 261, 78, 392]",0.5750352790250159,0.6012357081298164,0.8724365806864208,0.7118724647008982
11,rbf,1.0,10.0,,50,"[112, 198, 101, 369]",0.645926876202694,0.6703254108354746,0.8100191856746962,0.7335793123756147
12,poly,1.0,10.0,2.0,50,"[51, 259, 114, 356]",0.5478127004490058,0.5906101220205285,0.8101470901726711,0.6831693461970246
13,poly,1.0,10.0,3.0,50,"[57, 253, 114, 356]",0.551635663887107,0.5934320441906562,0.8095928373481133,0.6848573880531094
14,linear,10.0,,,50,"[162, 148, 91, 379]",0.6845413726747915,0.7119741385733012,0.7990620336815178,0.753008143365585
15,rbf,10.0,1.0,,50,"[168, 142, 134, 336]",0.6516741500962155,0.7001209056765003,0.7367725431677681,0.7179771067063404
16,poly,10.0,1.0,2.0,50,"[54, 256, 136, 334]",0.5494804361770365,0.590749946633701,0.818034534214453,0.6860401171700327
17,poly,10.0,1.0,3.0,50,"[57, 253, 106, 364]",0.565567671584349,0.5979362496042582,0.8488595182263909,0.7016302601739883
18,rbf,10.0,10.0,,50,"[112, 198, 101, 369]",0.645926876202694,0.6703254108354746,0.8100191856746962,0.7335793123756147
19,poly,10.0,10.0,2.0,50,"[55, 255, 120, 350]",0.5437331622835151,0.5886756498066841,0.8026007247921552,0.6791811783269922
20,poly,10.0,10.0,3.0,50,"[63, 247, 138, 332]",0.5479666452854394,0.5914148494911663,0.8048177360903856,0.681778885007105
21,linear,100.0,,,50,"[163, 147, 93, 377]",0.6849262347658757,0.7126232933111863,0.7984225111916435,0.7530863160907346
22,rbf,100.0,1.0,,50,"[169, 141, 135, 335]",0.6516228351507377,0.7000797903465669,0.7367299083351098,0.7179355039547826
23,poly,100.0,1.0,2.0,50,"[49, 261, 107, 363]",0.5428094932649132,0.5880065691235391,0.8026859944574717,0.6787680081359848
24,poly,100.0,1.0,3.0,50,"[59, 251, 98, 372]",0.558819756254009,0.5956495173174101,0.8309102536772542,0.6938650716938233
25,rbf,100.0,10.0,,50,"[112, 198, 101, 369]",0.645926876202694,0.6703254108354746,0.8100191856746962,0.7335793123756147
26,poly,100.0,10.0,2.0,50,"[56, 254, 145, 325]",0.5439127645926878,0.5887855489988267,0.8025154551268386,0.6792143941306168
27,poly,100.0,10.0,3.0,50,"[67, 243, 133, 337]",0.5469916613213598,0.5910245244795983,0.8025580899594968,0.680728643188394
28,linear,1000.0,,,50,"[172, 138, 100, 370]",0.6774085952533675,0.7092141318693517,0.7866126625452995,0.7458460966510957
29,rbf,1000.0,1.0,,50,"[169, 141, 135, 335]",0.6516228351507377,0.7000797903465669,0.7367299083351098,0.7179355039547826
30,poly,1000.0,1.0,2.0,50,"[57, 253, 96, 374]",0.5439897370109044,0.5890299745229823,0.8013643146450651,0.6789822882697438
31,poly,1000.0,1.0,3.0,50,"[58, 252, 110, 360]",0.5468377164849262,0.5914769864431497,0.7984651460243019,0.6795534079434965
32,rbf,1000.0,10.0,,50,"[112, 198, 101, 369]",0.645926876202694,0.6703254108354746,0.8100191856746962,0.7335793123756147
33,poly,1000.0,10.0,2.0,50,"[51, 259, 110, 360]",0.5418601667735727,0.5874410647166012,0.8016201236410148,0.6779989078575934
34,poly,1000.0,10.0,3.0,50,"[63, 247, 140, 330]",0.5492238614496472,0.5924894637529199,0.8036665956086122,0.6820857180155938
