,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[166, 144, 99, 371]","[144, 167, 99, 370]","[173, 138, 89, 380]","[150, 161, 79, 390]","[163, 148, 93, 376]","[159, 151, 105, 364]",[1594 1510  941 3750],[1585 1519  938 3753],[1585 1519  932 3759],[1588 1516  929 3762],[1611 1493  938 3753]
1,rbf,0.1,1.0,,50,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
2,poly,0.1,1.0,2.0,50,"[133, 177, 89, 381]","[112, 199, 99, 370]","[147, 164, 87, 382]","[138, 173, 99, 370]","[159, 152, 98, 371]","[152, 158, 104, 365]",[1395 1709  956 3735],[1343 1761  911 3780],[1322 1782  943 3748],[1314 1790  971 3720],[1316 1788  915 3776]
3,poly,0.1,1.0,3.0,50,"[117, 193, 118, 352]","[123, 188, 116, 353]","[122, 189, 133, 336]","[110, 201, 137, 332]","[104, 207, 113, 356]","[126, 184, 152, 317]",[1188 1916 1251 3440],[1264 1840 1232 3459],[1207 1897 1238 3453],[1208 1896 1259 3432],[1191 1913 1198 3493]
4,rbf,0.1,10.0,,50,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
5,poly,0.1,10.0,2.0,50,"[59, 251, 123, 347]","[76, 235, 145, 324]","[90, 221, 128, 341]","[85, 226, 153, 316]","[62, 249, 117, 352]","[106, 204, 160, 309]",[ 777 2327 1324 3367],[ 811 2293 1272 3419],[ 770 2334 1252 3439],[ 814 2290 1324 3367],[ 766 2338 1305 3386]
6,poly,0.1,10.0,3.0,50,"[112, 198, 120, 350]","[117, 194, 120, 349]","[125, 186, 126, 343]","[114, 197, 136, 333]","[102, 209, 122, 347]","[129, 181, 143, 326]",[1183 1921 1250 3441],[1253 1851 1240 3451],[1198 1906 1227 3464],[1232 1872 1238 3453],[1171 1933 1226 3465]
7,linear,1.0,,,50,"[166, 144, 98, 372]","[144, 167, 99, 370]","[174, 137, 89, 380]","[152, 159, 79, 390]","[165, 146, 95, 374]","[159, 151, 105, 364]",[1598 1506  944 3747],[1584 1520  941 3750],[1579 1525  937 3754],[1588 1516  925 3766],[1611 1493  941 3750]
8,rbf,1.0,1.0,,50,"[56, 254, 35, 435]","[49, 262, 41, 428]","[64, 247, 47, 422]","[94, 217, 54, 415]","[85, 226, 61, 408]","[54, 256, 46, 423]",[ 613 2491  425 4266],[ 477 2627  336 4355],[ 500 2604  358 4333],[ 445 2659  315 4376],[ 614 2490  437 4254]
9,poly,1.0,1.0,2.0,50,"[62, 248, 109, 361]","[70, 241, 136, 333]","[84, 227, 126, 343]","[82, 229, 147, 322]","[64, 247, 118, 351]","[93, 217, 159, 310]",[ 742 2362 1272 3419],[ 792 2312 1239 3452],[ 772 2332 1242 3449],[ 771 2333 1309 3382],[ 741 2363 1276 3415]
10,poly,1.0,1.0,3.0,50,"[118, 192, 116, 354]","[115, 196, 119, 350]","[121, 190, 122, 347]","[114, 197, 142, 327]","[105, 206, 114, 355]","[132, 178, 147, 322]",[1189 1915 1245 3446],[1259 1845 1246 3445],[1215 1889 1222 3469],[1211 1893 1257 3434],[1191 1913 1194 3497]
11,rbf,1.0,10.0,,50,"[3, 307, 4, 466]","[15, 296, 12, 457]","[12, 299, 12, 457]","[16, 295, 13, 456]","[31, 280, 19, 450]","[8, 302, 14, 455]",[ 141 2963  114 4577],[  97 3007   92 4599],[ 108 2996  116 4575],[ 106 2998   97 4594],[ 158 2946  138 4553]
12,poly,1.0,10.0,2.0,50,"[61, 249, 116, 354]","[73, 238, 128, 341]","[92, 219, 129, 340]","[87, 224, 133, 336]","[76, 235, 130, 339]","[103, 207, 155, 314]",[ 801 2303 1298 3393],[ 831 2273 1274 3417],[ 810 2294 1254 3437],[ 836 2268 1340 3351],[ 775 2329 1296 3395]
13,poly,1.0,10.0,3.0,50,"[111, 199, 116, 354]","[116, 195, 116, 353]","[130, 181, 129, 340]","[113, 198, 134, 335]","[106, 205, 124, 345]","[128, 182, 146, 323]",[1191 1913 1244 3447],[1258 1846 1246 3445],[1230 1874 1215 3476],[1212 1892 1224 3467],[1170 1934 1217 3474]
14,linear,10.0,,,50,"[166, 144, 99, 371]","[145, 166, 100, 369]","[174, 137, 90, 379]","[153, 158, 80, 389]","[162, 149, 94, 375]","[159, 151, 105, 364]",[1597 1507  944 3747],[1588 1516  943 3748],[1582 1522  936 3755],[1586 1518  932 3759],[1611 1493  940 3751]
15,rbf,10.0,1.0,,50,"[73, 237, 50, 420]","[60, 251, 53, 416]","[77, 234, 61, 408]","[106, 205, 70, 399]","[97, 214, 70, 399]","[64, 246, 61, 408]",[ 746 2358  539 4152],[ 602 2502  441 4250],[ 617 2487  444 4247],[ 568 2536  436 4255],[ 738 2366  554 4137]
16,poly,10.0,1.0,2.0,50,"[63, 247, 110, 360]","[79, 232, 141, 328]","[86, 225, 125, 344]","[84, 227, 141, 328]","[77, 234, 115, 354]","[97, 213, 160, 309]",[ 801 2303 1285 3406],[ 835 2269 1285 3406],[ 804 2300 1285 3406],[ 822 2282 1309 3382],[ 768 2336 1361 3330]
17,poly,10.0,1.0,3.0,50,"[108, 202, 120, 350]","[122, 189, 118, 351]","[123, 188, 126, 343]","[120, 191, 145, 324]","[106, 205, 120, 349]","[130, 180, 152, 317]",[1182 1922 1268 3423],[1248 1856 1256 3435],[1224 1880 1223 3468],[1214 1890 1254 3437],[1170 1934 1203 3488]
18,rbf,10.0,10.0,,50,"[3, 307, 4, 466]","[15, 296, 12, 457]","[12, 299, 12, 457]","[16, 295, 13, 456]","[31, 280, 19, 450]","[8, 302, 14, 455]",[ 141 2963  114 4577],[  97 3007   92 4599],[ 108 2996  116 4575],[ 106 2998   97 4594],[ 158 2946  138 4553]
19,poly,10.0,10.0,2.0,50,"[65, 245, 120, 350]","[75, 236, 128, 341]","[90, 221, 126, 343]","[88, 223, 148, 321]","[69, 242, 115, 354]","[102, 208, 177, 292]",[ 805 2299 1326 3365],[ 839 2265 1279 3412],[ 809 2295 1296 3395],[ 820 2284 1329 3362],[ 784 2320 1347 3344]
20,poly,10.0,10.0,3.0,50,"[112, 198, 118, 352]","[111, 200, 119, 350]","[123, 188, 129, 340]","[110, 201, 137, 332]","[99, 212, 118, 351]","[125, 185, 148, 321]",[1165 1939 1246 3445],[1259 1845 1231 3460],[1200 1904 1219 3472],[1234 1870 1254 3437],[1182 1922 1194 3497]
21,linear,100.0,,,50,"[171, 139, 105, 365]","[154, 157, 106, 363]","[173, 138, 94, 375]","[148, 163, 82, 387]","[165, 146, 98, 371]","[155, 155, 103, 366]",[1626 1478  978 3713],[1632 1472  990 3701],[1605 1499  969 3722],[1584 1520  932 3759],[1625 1479  954 3737]
22,rbf,100.0,1.0,,50,"[73, 237, 50, 420]","[60, 251, 53, 416]","[77, 234, 61, 408]","[106, 205, 70, 399]","[97, 214, 70, 399]","[64, 246, 61, 408]",[ 746 2358  539 4152],[ 602 2502  441 4250],[ 617 2487  444 4247],[ 568 2536  436 4255],[ 738 2366  554 4137]
23,poly,100.0,1.0,2.0,50,"[65, 245, 118, 352]","[73, 238, 127, 342]","[87, 224, 121, 348]","[85, 226, 152, 317]","[69, 242, 124, 345]","[102, 208, 156, 313]",[ 794 2310 1319 3372],[ 813 2291 1276 3415],[ 793 2311 1263 3428],[ 820 2284 1312 3379],[ 764 2340 1329 3362]
24,poly,100.0,1.0,3.0,50,"[113, 197, 119, 351]","[114, 197, 119, 350]","[119, 192, 123, 346]","[120, 191, 138, 331]","[106, 205, 121, 348]","[127, 183, 144, 325]",[1189 1915 1254 3437],[1257 1847 1255 3436],[1211 1893 1221 3470],[1220 1884 1241 3450],[1173 1931 1206 3485]
25,rbf,100.0,10.0,,50,"[3, 307, 4, 466]","[15, 296, 12, 457]","[12, 299, 12, 457]","[16, 295, 13, 456]","[31, 280, 19, 450]","[8, 302, 14, 455]",[ 141 2963  114 4577],[  97 3007   92 4599],[ 108 2996  116 4575],[ 106 2998   97 4594],[ 158 2946  138 4553]
26,poly,100.0,10.0,2.0,50,"[70, 240, 126, 344]","[74, 237, 140, 329]","[90, 221, 121, 348]","[80, 231, 148, 321]","[65, 246, 118, 351]","[101, 209, 160, 309]",[ 785 2319 1324 3367],[ 840 2264 1282 3409],[ 787 2317 1292 3399],[ 815 2289 1330 3361],[ 767 2337 1331 3360]
27,poly,100.0,10.0,3.0,50,"[116, 194, 115, 355]","[113, 198, 120, 349]","[122, 189, 125, 344]","[118, 193, 136, 333]","[95, 216, 118, 351]","[126, 184, 149, 320]",[1180 1924 1251 3440],[1261 1843 1258 3433],[1197 1907 1205 3486],[1186 1918 1207 3484],[1174 1930 1208 3483]
28,linear,1000.0,,,50,"[189, 121, 137, 333]","[143, 168, 91, 378]","[199, 112, 122, 347]","[175, 136, 99, 370]","[167, 144, 106, 363]","[150, 160, 100, 369]",[1640 1464 1057 3634],[1622 1482 1040 3651],[1598 1506 1007 3684],[1723 1381 1133 3558],[1697 1407 1111 3580]
29,rbf,1000.0,1.0,,50,"[73, 237, 50, 420]","[60, 251, 53, 416]","[77, 234, 61, 408]","[106, 205, 70, 399]","[97, 214, 70, 399]","[64, 246, 61, 408]",[ 746 2358  539 4152],[ 602 2502  441 4250],[ 617 2487  444 4247],[ 568 2536  436 4255],[ 738 2366  554 4137]
30,poly,1000.0,1.0,2.0,50,"[66, 244, 117, 353]","[76, 235, 140, 329]","[90, 221, 127, 342]","[88, 223, 133, 336]","[69, 242, 129, 340]","[85, 225, 157, 312]",[ 772 2332 1303 3388],[ 816 2288 1248 3443],[ 790 2314 1256 3435],[ 819 2285 1330 3361],[ 776 2328 1343 3348]
31,poly,1000.0,1.0,3.0,50,"[115, 195, 121, 349]","[119, 192, 120, 349]","[118, 193, 119, 350]","[115, 196, 144, 325]","[102, 209, 120, 349]","[122, 188, 140, 329]",[1176 1928 1251 3440],[1231 1873 1250 3441],[1213 1891 1213 3478],[1218 1886 1249 3442],[1158 1946 1218 3473]
32,rbf,1000.0,10.0,,50,"[3, 307, 4, 466]","[15, 296, 12, 457]","[12, 299, 12, 457]","[16, 295, 13, 456]","[31, 280, 19, 450]","[8, 302, 14, 455]",[ 141 2963  114 4577],[  97 3007   92 4599],[ 108 2996  116 4575],[ 106 2998   97 4594],[ 158 2946  138 4553]
33,poly,1000.0,10.0,2.0,50,"[63, 247, 106, 364]","[71, 240, 146, 323]","[88, 223, 134, 335]","[86, 225, 138, 331]","[71, 240, 132, 337]","[99, 211, 156, 313]",[ 787 2317 1325 3366],[ 802 2302 1268 3423],[ 780 2324 1276 3415],[ 815 2289 1355 3336],[ 774 2330 1332 3359]
34,poly,1000.0,10.0,3.0,50,"[117, 193, 114, 356]","[117, 194, 124, 345]","[66, 245, 97, 372]","[124, 187, 142, 327]","[105, 206, 120, 349]","[123, 187, 151, 318]",[1080 2024 1189 3502],[1258 1846 1239 3452],[1159 1945 1218 3473],[1109 1995 1156 3535],[1157 1947 1204 3487]
