,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[169, 141, 103, 367]","[150, 161, 100, 369]","[181, 130, 97, 372]","[164, 147, 79, 390]","[160, 151, 97, 372]","[154, 156, 99, 370]",[1626 1478  939 3752],[1610 1494  922 3769],[1595 1509  935 3756],[1607 1497  936 3755],[1600 1504  938 3753]
1,rbf,0.1,1.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
2,poly,0.1,1.0,2.0,"[103, 207, 136, 334]","[82, 229, 131, 338]","[77, 234, 111, 358]","[92, 219, 102, 367]","[88, 223, 105, 364]","[99, 211, 116, 353]",[ 938 2166 1232 3459],[ 907 2197 1137 3554],[ 980 2124 1263 3428],[1003 2101 1242 3449],[ 938 2166 1221 3470]
3,poly,0.1,1.0,3.0,"[138, 172, 150, 320]","[141, 170, 144, 325]","[145, 166, 145, 324]","[128, 183, 150, 319]","[133, 178, 142, 327]","[141, 169, 152, 317]",[1363 1741 1425 3266],[1355 1749 1428 3263],[1360 1744 1447 3244],[1311 1793 1345 3346],[1349 1755 1389 3302]
4,rbf,0.1,10.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
5,poly,0.1,10.0,2.0,"[110, 200, 144, 326]","[93, 218, 166, 303]","[127, 184, 131, 338]","[89, 222, 151, 318]","[83, 228, 147, 322]","[118, 192, 168, 301]",[ 986 2118 1447 3244],[ 904 2200 1488 3203],[1014 2090 1451 3240],[ 955 2149 1604 3087],[ 983 2121 1566 3125]
6,poly,0.1,10.0,3.0,"[140, 170, 138, 332]","[140, 171, 131, 338]","[141, 170, 150, 319]","[117, 194, 145, 324]","[133, 178, 142, 327]","[124, 186, 138, 331]",[1331 1773 1371 3320],[1361 1743 1410 3281],[1348 1756 1389 3302],[1332 1772 1418 3273],[1344 1760 1386 3305]
7,linear,1.0,,,"[170, 140, 103, 367]","[150, 161, 100, 369]","[180, 131, 98, 371]","[163, 148, 78, 391]","[161, 150, 98, 371]","[155, 155, 99, 370]",[1626 1478  940 3751],[1615 1489  926 3765],[1596 1508  939 3752],[1614 1490  938 3753],[1600 1504  941 3750]
8,rbf,1.0,1.0,,"[3, 307, 5, 465]","[4, 307, 2, 467]","[3, 308, 8, 461]","[11, 300, 10, 459]","[5, 306, 2, 467]","[2, 308, 4, 465]",[  60 3044   54 4637],[  96 3008   83 4608],[  85 3019   70 4621],[ 101 3003   67 4624],[  80 3024   57 4634]
9,poly,1.0,1.0,2.0,"[75, 235, 135, 335]","[109, 202, 144, 325]","[108, 203, 170, 299]","[84, 227, 148, 321]","[74, 237, 129, 340]","[99, 211, 131, 338]",[ 897 2207 1469 3222],[ 988 2116 1440 3251],[1072 2032 1561 3130],[ 969 2135 1454 3237],[ 997 2107 1462 3229]
10,poly,1.0,1.0,3.0,"[138, 172, 131, 339]","[135, 176, 140, 329]","[138, 173, 144, 325]","[121, 190, 150, 319]","[134, 177, 137, 332]","[141, 169, 152, 317]",[1347 1757 1426 3265],[1370 1734 1423 3268],[1321 1783 1366 3325],[1343 1761 1366 3325],[1336 1768 1412 3279]
11,rbf,1.0,10.0,,"[0, 310, 1, 469]","[0, 311, 1, 468]","[0, 311, 1, 468]","[2, 309, 5, 464]","[0, 311, 1, 468]","[1, 309, 2, 467]",[  11 3093   19 4672],[  22 3082   20 4671],[  17 3087   24 4667],[  16 3088   15 4676],[  17 3087   19 4672]
