,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[166, 144, 103, 367]",0.6894676074406672,0.7166267192863753,0.8005542528245577,0.7562674532055953
1,rbf,0.1,1.0,,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
2,poly,0.1,1.0,2.0,"[91, 219, 130, 340]",0.5634381013470173,0.6202562950774233,0.7082924749520358,0.6613159033459849
3,poly,0.1,1.0,3.0,"[148, 162, 154, 316]",0.6118280949326491,0.6709069562364265,0.6967810701342997,0.6835882957708882
4,rbf,0.1,10.0,,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
5,poly,0.1,10.0,2.0,"[114, 196, 133, 337]",0.5496087235407312,0.6124368203094612,0.6856960136431465,0.6469489713756118
6,poly,0.1,10.0,3.0,"[140, 170, 152, 318]",0.6104425914047467,0.6701133307957393,0.6946493285013856,0.6821538151040579
7,linear,1.0,,,"[167, 143, 105, 365]",0.6888005131494548,0.7162168930478543,0.7997868258367086,0.7556953965542054
8,rbf,1.0,1.0,,"[1, 309, 2, 468]",0.6017190506735087,0.6023801664994712,0.9948838200810062,0.750405892820549
9,poly,1.0,1.0,2.0,"[94, 216, 147, 323]",0.552892880051315,0.6154026091352688,0.6850991259859305,0.6483518680361108
10,poly,1.0,1.0,3.0,"[149, 161, 149, 321]",0.6103656189865299,0.6698685365956116,0.6951609464932851,0.6822732087345337
11,rbf,1.0,10.0,,"[0, 310, 1, 469]",0.6010006414368185,0.6015729055174808,0.9979108931997441,0.7506373523347722
12,poly,1.0,10.0,2.0,"[90, 220, 130, 340]",0.5543040410519564,0.6163069806429122,0.6876145811127692,0.6499507385800662
13,poly,1.0,10.0,3.0,"[149, 161, 159, 311]",0.6124951892238615,0.6716397912977116,0.6967384353016414,0.6839502598313925
14,linear,10.0,,,"[166, 144, 104, 366]",0.6888005131494548,0.7162477849285924,0.7997015561713919,0.7556753429676131
15,rbf,10.0,1.0,,"[2, 308, 2, 468]",0.6014624759461193,0.6023197273956337,0.9941163930931571,0.7501406174040796
16,poly,10.0,1.0,2.0,"[94, 216, 147, 323]",0.5527389352148813,0.6158680062128941,0.6825410360264336,0.647467394024074
17,poly,10.0,1.0,3.0,"[152, 158, 157, 313]",0.6103912764592687,0.6699000589389883,0.695160946493285,0.682287345289571
18,rbf,10.0,10.0,,"[0, 310, 1, 469]",0.6010006414368185,0.6015729055174808,0.9979108931997441,0.7506373523347722
19,poly,10.0,10.0,2.0,"[97, 213, 143, 327]",0.5543296985246953,0.6151135161828638,0.6932423790236624,0.6518368970820736
20,poly,10.0,10.0,3.0,"[149, 161, 159, 311]",0.6108274534958307,0.6699962932734544,0.6962694521424003,0.6828736973154543
21,linear,100.0,,,"[178, 132, 122, 348]",0.6766645285439384,0.706849866836227,0.7908335109784694,0.7464319498743913
22,rbf,100.0,1.0,,"[2, 308, 2, 468]",0.6014624759461193,0.6023197273956337,0.9941163930931571,0.7501406174040796
23,poly,100.0,1.0,2.0,"[108, 202, 152, 318]",0.5566645285439383,0.6172756208062804,0.6929865700277126,0.6529248518783897
24,poly,100.0,1.0,3.0,"[149, 161, 149, 321]",0.6108787684413086,0.6695294226424124,0.697889575783415,0.6834099584345527
25,rbf,100.0,10.0,,"[0, 310, 1, 469]",0.6010006414368185,0.6015729055174808,0.9979108931997441,0.7506373523347722
26,poly,100.0,10.0,2.0,"[97, 213, 143, 327]",0.5514817190506734,0.6140391832772064,0.6857386484758047,0.6479053595505049
27,poly,100.0,10.0,3.0,"[149, 161, 159, 311]",0.6123925593329057,0.6707838294544224,0.6989554465998721,0.6845742312551691
28,linear,1000.0,,,"[275, 35, 343, 127]",0.592867222578576,0.6775398250506791,0.6187166915369857,0.6463229270226056
29,rbf,1000.0,1.0,,"[2, 308, 2, 468]",0.6014624759461193,0.6023197273956337,0.9941163930931571,0.7501406174040796
30,poly,1000.0,1.0,2.0,"[108, 202, 152, 318]",0.556844130853111,0.6184887868870422,0.6880409294393519,0.6513807276927691
31,poly,1000.0,1.0,3.0,"[148, 162, 154, 316]",0.6124438742783835,0.6719791786303428,0.6955446599872095,0.6835510947495669
32,rbf,1000.0,10.0,,"[0, 310, 1, 469]",0.6010006414368185,0.6015729055174808,0.9979108931997441,0.7506373523347722
33,poly,1000.0,10.0,2.0,"[94, 216, 137, 333]",0.5544836433611289,0.6160425280530494,0.6892347047537839,0.6505574065014306
34,poly,1000.0,10.0,3.0,"[149, 161, 159, 311]",0.602334830019243,0.660562738413385,0.6980174802813899,0.6787390130956352
