,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[160, 150, 108, 362]",0.6904682488774856,0.7189029374356,0.7974845448731613,0.756156199091873
1,rbf,0.1,1.0,,50,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
2,poly,0.1,1.0,2.0,50,"[140, 170, 130, 340]",0.6195509942270686,0.6667343629557629,0.735408228522703,0.6993769009524938
3,poly,0.1,1.0,3.0,50,"[168, 142, 134, 336]",0.6423348300192431,0.6990367949936404,0.7123854188872307,0.7056460497411654
4,rbf,0.1,10.0,,50,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
5,poly,0.1,10.0,2.0,50,"[136, 174, 126, 344]",0.6147530468248877,0.662299543041223,0.7342144532082712,0.6963946379759889
6,poly,0.1,10.0,3.0,50,"[168, 142, 133, 337]",0.6424374599101987,0.6987711669143652,0.7133660200383714,0.7059922478177836
7,linear,1.0,,,50,"[162, 148, 108, 362]",0.6905708787684414,0.7193337246840521,0.796674483052654,0.7560298314410752
8,rbf,1.0,1.0,,50,"[0, 310, 1, 469]",0.6004361770365618,0.6013579731815868,0.9968876572159455,0.7501804725979575
9,poly,1.0,1.0,2.0,50,"[135, 175, 122, 348]",0.6141885824246311,0.661768143028541,0.7340865487102962,0.6960453085409483
10,poly,1.0,1.0,3.0,50,"[168, 142, 133, 337]",0.6422065426555484,0.6986722115335233,0.7129396717117886,0.7057318465768762
11,rbf,1.0,10.0,,50,"[0, 310, 0, 470]",0.6012315586914688,0.6015711094715294,0.9990620336815178,0.750961397244869
12,poly,1.0,10.0,2.0,50,"[135, 175, 124, 346]",0.6146760744066709,0.6620388114459692,0.7348539756981454,0.6965392065246991
13,poly,1.0,10.0,3.0,50,"[169, 141, 135, 335]",0.6421552277100706,0.6986161903545305,0.7129396717117885,0.7057043782291293
14,linear,10.0,,,50,"[159, 151, 110, 360]",0.6896985246953174,0.7186278640138444,0.7960775953954381,0.7553708742098854
15,rbf,10.0,1.0,,50,"[0, 310, 1, 469]",0.6004361770365618,0.6013579731815868,0.9968876572159455,0.7501804725979575
16,poly,10.0,1.0,2.0,50,"[126, 184, 118, 352]",0.6135984605516357,0.6613185995830001,0.7336602003837135,0.6955996874550257
17,poly,10.0,1.0,3.0,50,"[170, 140, 132, 338]",0.6425914047466325,0.6990443117963061,0.7131102110424216,0.7060047479185108
18,rbf,10.0,10.0,,50,"[0, 310, 0, 470]",0.6012315586914688,0.6015711094715294,0.9990620336815178,0.750961397244869
19,poly,10.0,10.0,2.0,50,"[131, 179, 123, 347]",0.6136241180243747,0.6611922904815437,0.7341291835429546,0.695742704048633
20,poly,10.0,10.0,3.0,50,"[168, 142, 135, 335]",0.6429249518922386,0.6992261603737109,0.7136218290343209,0.706349768997807
21,linear,100.0,,,50,"[161, 149, 105, 365]",0.6879538165490698,0.7180323632445702,0.7928799829460671,0.75358302374248
22,rbf,100.0,1.0,,50,"[0, 310, 1, 469]",0.6004361770365618,0.6013579731815868,0.9968876572159455,0.7501804725979575
23,poly,100.0,1.0,2.0,50,"[132, 178, 128, 342]",0.6148556767158435,0.6620949923583168,0.73523768919207,0.6967463155347381
24,poly,100.0,1.0,3.0,50,"[168, 142, 134, 336]",0.6426170622193714,0.6990409627727494,0.7131954807077382,0.7060458197568977
25,rbf,100.0,10.0,,50,"[0, 310, 0, 470]",0.6012315586914688,0.6015711094715294,0.9990620336815178,0.750961397244869
26,poly,100.0,10.0,2.0,50,"[136, 174, 127, 343]",0.6130083386786401,0.6607941417594964,0.7334896610530803,0.6952332101154237
27,poly,100.0,10.0,3.0,50,"[169, 141, 134, 336]",0.6425914047466325,0.6986944492716137,0.7140055425282457,0.7062664360431691
28,linear,1000.0,,,50,"[152, 158, 95, 375]",0.680410519563823,0.7161874502156919,0.7771903645278193,0.7453467573966257
29,rbf,1000.0,1.0,,50,"[0, 310, 1, 469]",0.6004361770365618,0.6013579731815868,0.9968876572159455,0.7501804725979575
30,poly,1000.0,1.0,2.0,50,"[131, 179, 126, 344]",0.6128800513149455,0.6604764215330337,0.7340865487102963,0.6953286745999055
31,poly,1000.0,1.0,3.0,50,"[167, 143, 134, 336]",0.6422322001282874,0.6988355427382953,0.7125985930505222,0.705648674275355
32,rbf,1000.0,10.0,,50,"[0, 310, 0, 470]",0.6012315586914688,0.6015711094715294,0.9990620336815178,0.750961397244869
33,poly,1000.0,10.0,2.0,50,"[140, 170, 127, 343]",0.6138293778062861,0.6612705714876455,0.7345981667021957,0.6959989038253706
34,poly,1000.0,10.0,3.0,50,"[168, 142, 136, 334]",0.6403848620910841,0.6899217340350233,0.7310594755915584,0.709852440387879
