,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[145, 165, 100, 370]","[147, 164, 100, 369]","[152, 159, 110, 359]","[147, 164, 91, 378]","[158, 153, 97, 372]","[153, 157, 108, 361]",[1532 1572 1054 3637],[1524 1580 1013 3678],[1520 1584  992 3699],[1477 1627  991 3700],[1473 1631 1008 3683]
1,rbf,0.1,1.0,,"[164, 146, 118, 352]","[153, 158, 106, 363]","[174, 137, 121, 348]","[150, 161, 95, 374]","[159, 152, 86, 383]","[156, 154, 100, 369]",[1617 1487 1092 3599],[1568 1536 1011 3680],[1625 1479 1084 3607],[1639 1465 1106 3585],[1620 1484 1123 3568]
2,poly,0.1,1.0,2.0,"[177, 133, 144, 326]","[161, 150, 127, 342]","[181, 130, 142, 327]","[179, 132, 134, 335]","[181, 130, 122, 347]","[175, 135, 133, 336]",[1786 1318 1405 3286],[1767 1337 1341 3350],[1817 1287 1419 3272],[1828 1276 1415 3276],[1829 1275 1483 3208]
3,poly,0.1,1.0,3.0,"[178, 132, 144, 326]","[70, 241, 49, 420]","[180, 131, 145, 324]","[182, 129, 136, 333]","[151, 160, 88, 381]","[150, 160, 105, 364]",[1610 1494 1233 3458],[1040 2064  743 3948],[1152 1952  859 3832],[1666 1438 1364 3327],[1211 1893  936 3755]
4,rbf,0.1,10.0,,"[161, 149, 112, 358]","[112, 199, 73, 396]","[172, 139, 119, 350]","[143, 168, 92, 377]","[78, 233, 44, 425]","[94, 216, 57, 412]",[1391 1713  939 3752],[1244 1860  814 3877],[1377 1727  955 3736],[1432 1672  968 3723],[1407 1697  991 3700]
5,poly,0.1,10.0,2.0,"[299, 11, 464, 6]","[49, 262, 36, 433]","[309, 2, 463, 6]","[302, 9, 460, 9]","[10, 301, 21, 448]","[24, 286, 32, 437]",[1621 1483 2400 2291],[ 557 2547  748 3943],[ 979 2125 1282 3409],[ 649 2455  647 4044],[1160 1944 1604 3087]
6,poly,0.1,10.0,3.0,"[272, 38, 372, 98]","[303, 8, 464, 5]","[310, 1, 467, 2]","[302, 9, 462, 7]","[12, 299, 17, 452]","[293, 17, 441, 28]",[1545 1559 2264 2427],[1382 1722 2044 2647],[1463 1641 2126 2565],[1266 1838 1899 2792],[ 881 2223 1174 3517]
7,linear,1.0,,,"[145, 165, 100, 370]","[147, 164, 100, 369]","[152, 159, 111, 358]","[147, 164, 91, 378]","[158, 153, 97, 372]","[153, 157, 108, 361]",[1532 1572 1055 3636],[1526 1578 1014 3677],[1523 1581  994 3697],[1476 1628  992 3699],[1473 1631 1009 3682]
8,rbf,1.0,1.0,,"[166, 144, 118, 352]","[153, 158, 108, 361]","[174, 137, 123, 346]","[152, 159, 96, 373]","[165, 146, 103, 366]","[148, 162, 105, 364]",[1630 1474 1138 3553],[1618 1486 1086 3605],[1647 1457 1133 3558],[1656 1448 1142 3549],[1648 1456 1179 3512]
9,poly,1.0,1.0,2.0,"[177, 133, 144, 326]","[162, 149, 127, 342]","[180, 131, 142, 327]","[179, 132, 134, 335]","[160, 151, 95, 374]","[172, 138, 132, 337]",[1731 1373 1352 3339],[1733 1371 1300 3391],[1804 1300 1408 3283],[1800 1304 1381 3310],[1640 1464 1312 3379]
