,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[156, 154, 109, 361]","[147, 164, 100, 369]","[152, 159, 110, 359]","[146, 165, 90, 379]","[159, 152, 99, 370]","[155, 155, 107, 362]",[1548 1556 1061 3630],[1531 1573 1012 3679],[1508 1596  986 3705],[1470 1634  989 3702],[1482 1622 1016 3675]
1,rbf,0.1,1.0,,50,"[164, 146, 118, 352]","[152, 159, 103, 366]","[174, 137, 121, 348]","[149, 162, 94, 375]","[160, 151, 86, 383]","[154, 156, 100, 369]",[1614 1490 1088 3603],[1572 1532 1024 3667],[1624 1480 1088 3603],[1630 1474 1103 3588],[1615 1489 1116 3575]
2,poly,0.1,1.0,2.0,50,"[177, 133, 144, 326]","[161, 150, 127, 342]","[181, 130, 142, 327]","[179, 132, 134, 335]","[181, 130, 122, 347]","[175, 135, 133, 336]",[1794 1310 1423 3268],[1767 1337 1339 3352],[1808 1296 1416 3275],[1820 1284 1408 3283],[1821 1283 1462 3229]
3,poly,0.1,1.0,3.0,50,"[178, 132, 144, 326]","[135, 176, 98, 371]","[180, 131, 144, 325]","[184, 127, 136, 333]","[155, 156, 90, 379]","[150, 160, 110, 359]",[1695 1409 1302 3389],[1569 1535 1122 3569],[1713 1391 1294 3397],[1711 1393 1242 3449],[1704 1400 1332 3359]
4,rbf,0.1,10.0,,50,"[161, 149, 112, 358]","[112, 199, 76, 393]","[172, 139, 119, 350]","[143, 168, 92, 377]","[87, 224, 46, 423]","[100, 210, 62, 407]",[1405 1699  948 3743],[1267 1837  821 3870],[1403 1701  959 3732],[1432 1672  974 3717],[1412 1692 1005 3686]
5,poly,0.1,10.0,2.0,50,"[10, 300, 6, 464]","[44, 267, 31, 438]","[12, 299, 9, 460]","[16, 295, 13, 456]","[16, 295, 16, 453]","[18, 292, 18, 451]",[ 381 2723  296 4395],[ 216 2888  166 4525],[ 527 2577  424 4267],[ 216 2888  167 4524],[ 420 2684  321 4370]
6,poly,0.1,10.0,3.0,50,"[3, 307, 2, 468]","[107, 204, 146, 323]","[0, 311, 2, 467]","[15, 296, 10, 459]","[34, 277, 29, 440]","[52, 258, 70, 399]",[ 570 2534  772 3919],[ 416 2688  527 4164],[ 506 2598  533 4158],[ 525 2579  670 4021],[ 300 2804  376 4315]
7,linear,1.0,,,50,"[155, 155, 109, 361]","[149, 162, 100, 369]","[152, 159, 110, 359]","[146, 165, 90, 379]","[160, 151, 100, 369]","[155, 155, 107, 362]",[1550 1554 1062 3629],[1533 1571 1018 3673],[1508 1596  986 3705],[1470 1634  990 3701],[1482 1622 1016 3675]
8,rbf,1.0,1.0,,50,"[168, 142, 118, 352]","[153, 158, 106, 363]","[173, 138, 123, 346]","[152, 159, 96, 373]","[166, 145, 104, 365]","[151, 159, 106, 363]",[1636 1468 1134 3557],[1611 1493 1083 3608],[1646 1458 1134 3557],[1660 1444 1145 3546],[1632 1472 1179 3512]
9,poly,1.0,1.0,2.0,50,"[177, 133, 144, 326]","[162, 149, 128, 341]","[181, 130, 142, 327]","[179, 132, 134, 335]","[162, 149, 99, 370]","[160, 150, 113, 356]",[1732 1372 1346 3345],[1712 1392 1278 3413],[1790 1314 1390 3301],[1802 1302 1385 3306],[1771 1333 1404 3287]
10,poly,1.0,1.0,3.0,50,"[158, 152, 131, 339]","[46, 265, 32, 437]","[8, 303, 6, 463]","[172, 139, 131, 338]","[38, 273, 22, 447]","[73, 237, 49, 420]",[ 731 2373  575 4116],[ 241 2863  177 4514],[1136 1968  880 3811],[ 565 2539  451 4240],[ 834 2270  675 4016]
11,rbf,1.0,10.0,,50,"[167, 143, 118, 352]","[146, 165, 103, 366]","[173, 138, 123, 346]","[150, 161, 95, 374]","[147, 164, 87, 382]","[140, 170, 100, 369]",[1580 1524 1096 3595],[1538 1566 1042 3649],[1609 1495 1106 3585],[1615 1489 1127 3564],[1602 1502 1156 3535]
12,poly,1.0,10.0,2.0,50,"[1, 309, 0, 470]","[13, 298, 18, 451]","[14, 297, 9, 460]","[6, 305, 4, 465]","[19, 292, 41, 428]","[20, 290, 24, 445]",[  98 3006  120 4571],[ 121 2983  165 4526],[ 176 2928  156 4535],[ 103 3001  119 4572],[ 145 2959  144 4547]
13,poly,1.0,10.0,3.0,50,"[7, 303, 2, 468]","[157, 154, 279, 190]","[4, 307, 3, 466]","[197, 114, 181, 288]","[51, 260, 70, 399]","[50, 260, 71, 398]",[ 573 2531  743 3948],[ 538 2566  833 3858],[ 254 2850  327 4364],[ 654 2450  885 3806],[ 176 2928  218 4473]
14,linear,10.0,,,50,"[145, 165, 100, 370]","[149, 162, 100, 369]","[152, 159, 110, 359]","[146, 165, 90, 379]","[158, 153, 98, 371]","[153, 157, 107, 362]",[1531 1573 1049 3642],[1526 1578 1016 3675],[1502 1602  983 3708],[1463 1641  986 3705],[1471 1633 1011 3680]
15,rbf,10.0,1.0,,50,"[168, 142, 118, 352]","[151, 160, 107, 362]","[173, 138, 123, 346]","[151, 160, 96, 373]","[158, 153, 103, 366]","[152, 158, 107, 362]",[1625 1479 1139 3552],[1612 1492 1105 3586],[1647 1457 1140 3551],[1646 1458 1156 3535],[1640 1464 1190 3501]
16,poly,10.0,1.0,2.0,50,"[8, 302, 8, 462]","[18, 293, 13, 456]","[19, 292, 13, 456]","[20, 291, 15, 454]","[18, 293, 16, 453]","[20, 290, 18, 451]",[ 240 2864  201 4490],[ 222 2882  183 4508],[ 407 2697  298 4393],[ 445 2659  337 4354],[ 417 2687  309 4382]
17,poly,10.0,1.0,3.0,50,"[2, 308, 2, 468]","[32, 279, 28, 441]","[0, 311, 2, 467]","[12, 299, 10, 459]","[13, 298, 17, 452]","[22, 288, 30, 439]",[ 109 2995  106 4585],[ 136 2968  173 4518],[ 106 2998  109 4582],[ 145 2959  130 4561],[ 165 2939  182 4509]
18,rbf,10.0,10.0,,50,"[167, 143, 118, 352]","[146, 165, 103, 366]","[173, 138, 123, 346]","[150, 161, 95, 374]","[147, 164, 87, 382]","[140, 170, 100, 369]",[1580 1524 1096 3595],[1538 1566 1042 3649],[1609 1495 1106 3585],[1615 1489 1127 3564],[1602 1502 1156 3535]
19,poly,10.0,10.0,2.0,50,"[1, 309, 0, 470]","[10, 301, 18, 451]","[20, 291, 23, 446]","[9, 302, 7, 462]","[21, 290, 35, 434]","[21, 289, 20, 449]",[ 111 2993  129 4562],[ 136 2968  228 4463],[  95 3009  138 4553],[ 119 2985  132 4559],[  95 3009   97 4594]
20,poly,10.0,10.0,3.0,50,"[17, 293, 22, 448]","[7, 304, 6, 463]","[1, 310, 2, 467]","[10, 301, 6, 463]","[35, 276, 35, 434]","[31, 279, 46, 423]",[ 176 2928  186 4505],[ 259 2845  460 4231],[1030 2074 1485 3206],[ 427 2677  592 4099],[ 673 2431  929 3762]
21,linear,100.0,,,50,"[156, 154, 109, 361]","[149, 162, 101, 368]","[160, 151, 114, 355]","[151, 160, 93, 376]","[160, 151, 97, 372]","[156, 154, 108, 361]",[1576 1528 1079 3612],[1546 1558 1023 3668],[1523 1581 1000 3691],[1494 1610 1009 3682],[1484 1620 1013 3678]
