,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[156, 154, 109, 361]",0.66529826812059,0.6973896526796404,0.7840972074184609,0.7381883489629943
1,rbf,0.1,1.0,,50,"[164, 146, 118, 352]",0.6694291212315587,0.7072754624246369,0.7689618418247708,0.7368117807390381
2,poly,0.1,1.0,2.0,50,"[177, 133, 144, 326]",0.6521359846055164,0.7159373279910368,0.6995096994244298,0.7076002326614421
3,poly,0.1,1.0,3.0,50,"[178, 132, 144, 326]",0.6556767158434894,0.7066406022838398,0.7317416329140908,0.7188546798417026
4,rbf,0.1,10.0,,50,"[161, 149, 112, 358]",0.6585503527902502,0.6855899528980149,0.7993178426774675,0.7380108796424688
5,poly,0.1,10.0,2.0,50,"[10, 300, 6, 464]",0.6116998075689545,0.6162393814109518,0.9414197399275208,0.7447198439434911
6,poly,0.1,10.0,3.0,50,"[3, 307, 2, 468]",0.5874021808851827,0.6091680034770508,0.8772969516094647,0.7188556498695493
7,linear,1.0,,,50,"[155, 155, 109, 361]",0.6651956382296345,0.6974055104560746,0.7837561287571947,0.738044944676927
8,rbf,1.0,1.0,,50,"[168, 142, 118, 352]",0.6661962796664529,0.7079442619651347,0.7580473246642506,0.7321269792571716
9,poly,1.0,1.0,2.0,50,"[177, 133, 144, 326]",0.6532135984605516,0.7127269967206521,0.7099552334257087,0.7112903004998254
10,poly,1.0,1.0,3.0,50,"[158, 152, 131, 339]",0.621013470173188,0.6340007501992082,0.8824131315284587,0.7366850851022877
11,rbf,1.0,10.0,,50,"[167, 143, 118, 352]",0.6638101347017319,0.7029673666660577,0.7643572798976763,0.7323500206187261
12,poly,1.0,10.0,2.0,50,"[1, 309, 0, 470]",0.6002309172546504,0.6046373424815001,0.9699850778085697,0.7449208754576574
13,poly,1.0,10.0,3.0,50,"[7, 303, 2, 468]",0.580987812700449,0.6055204577073958,0.8718396930292048,0.713881228532899
14,linear,10.0,,,50,"[145, 165, 100, 370]",0.6646055163566389,0.6963915236983511,0.7849072692389683,0.7379902167179312
15,rbf,10.0,1.0,,50,"[168, 142, 118, 352]",0.6644002565747273,0.7068797661737161,0.7557024088680453,0.7304657126320919
16,poly,10.0,1.0,2.0,50,"[8, 302, 8, 462]",0.6121359846055163,0.6161814694761008,0.9433809422298017,0.7453735473210216
17,poly,10.0,1.0,3.0,50,"[2, 308, 2, 468]",0.600795381654907,0.6049613434291634,0.9701556171392027,0.745214524275535
18,rbf,10.0,10.0,,50,"[167, 143, 118, 352]",0.6638101347017319,0.7029673666660577,0.7643572798976763,0.7323500206187261
19,poly,10.0,10.0,2.0,50,"[1, 309, 0, 470]",0.5974855676715844,0.6030153022548994,0.9691323811554039,0.7434334380431948
20,poly,10.0,10.0,3.0,50,"[17, 293, 22, 448]",0.5739063502245029,0.6047207689082463,0.8442975911319548,0.7023119554466076
21,linear,100.0,,,50,"[156, 154, 109, 361]",0.6659140474663245,0.6989408429452462,0.781539117458964,0.7379127637070015
22,rbf,100.0,1.0,,50,"[168, 142, 118, 352]",0.6644002565747273,0.7068797661737161,0.7557024088680453,0.7304657126320919
23,poly,100.0,1.0,2.0,50,"[0, 310, 1, 469]",0.5973059653624119,0.6033921305847973,0.9654231507141334,0.7426238450957494
24,poly,100.0,1.0,3.0,50,"[3, 307, 2, 468]",0.5905837075048108,0.6064079002105148,0.9100831379236837,0.7263143139026127
25,rbf,100.0,10.0,,50,"[167, 143, 118, 352]",0.6638101347017319,0.7029673666660577,0.7643572798976763,0.7323500206187261
26,poly,100.0,10.0,2.0,50,"[2, 308, 0, 470]",0.6008210391276461,0.603652408585065,0.9803879769771904,0.747216857047541
27,poly,100.0,10.0,3.0,50,"[14, 296, 11, 459]",0.5558178319435536,0.6041428231966843,0.7627797910893199,0.6672598049145406
28,linear,1000.0,,,50,"[156, 154, 110, 360]",0.6655548428479794,0.7049576675072278,0.7641441057343851,0.7333273448984895
29,rbf,1000.0,1.0,,50,"[168, 142, 118, 352]",0.6644002565747273,0.7068797661737161,0.7557024088680453,0.7304657126320919
30,poly,1000.0,1.0,2.0,50,"[2, 308, 1, 469]",0.5972033354714561,0.6030130452397227,0.9678533361756555,0.7430598401292263
31,poly,1000.0,1.0,3.0,50,"[13, 297, 12, 458]",0.5738293778062861,0.6049688613709285,0.8404178213600512,0.7026625998195586
32,rbf,1000.0,10.0,,50,"[167, 143, 118, 352]",0.6638101347017319,0.7029673666660577,0.7643572798976763,0.7323500206187261
33,poly,1000.0,10.0,2.0,50,"[2, 308, 0, 470]",0.5997177677998717,0.6033680561752421,0.9772329993604775,0.7460805191360207
34,poly,1000.0,10.0,3.0,50,"[2, 308, 2, 468]",0.5592046183450929,0.6017033456359074,0.7914730334683437,0.682549725611566
