,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[167, 143, 101, 369]","[149, 162, 94, 375]","[160, 151, 90, 379]","[144, 167, 77, 392]","[169, 142, 97, 372]","[163, 147, 102, 367]",[1604 1500  958 3733],[1576 1528  947 3744],[1594 1510  941 3750],[1611 1493  960 3731],[1606 1498  945 3746]
1,3,75,"[169, 141, 102, 368]","[149, 162, 95, 374]","[164, 147, 91, 378]","[153, 158, 79, 390]","[170, 141, 97, 372]","[161, 149, 99, 370]",[1625 1479  970 3721],[1618 1486  973 3718],[1612 1492  959 3732],[1629 1475  977 3714],[1634 1470  970 3721]
2,3,100,"[170, 140, 105, 365]","[159, 152, 95, 374]","[170, 141, 94, 375]","[164, 147, 86, 383]","[168, 143, 97, 372]","[162, 148, 103, 366]",[1657 1447  993 3698],[1640 1464  992 3699],[1644 1460  983 3708],[1663 1441  994 3697],[1651 1453  990 3701]
3,3,125,"[170, 140, 105, 365]","[162, 149, 95, 374]","[179, 132, 98, 371]","[165, 146, 87, 382]","[166, 145, 101, 368]","[166, 144, 102, 367]",[1681 1423 1001 3690],[1660 1444  998 3693],[1656 1448  996 3695],[1679 1425 1002 3689],[1665 1439  997 3694]
4,3,150,"[170, 140, 105, 365]","[161, 150, 95, 374]","[179, 132, 101, 368]","[165, 146, 87, 382]","[169, 142, 100, 369]","[167, 143, 100, 369]",[1686 1418 1008 3683],[1664 1440 1010 3681],[1668 1436 1011 3680],[1688 1416 1011 3680],[1672 1432 1002 3689]
5,4,50,"[166, 144, 105, 365]","[151, 160, 93, 376]","[166, 145, 90, 379]","[161, 150, 84, 385]","[171, 140, 102, 367]","[162, 148, 109, 360]",[1633 1471  998 3693],[1607 1497  979 3712],[1635 1469  988 3703],[1619 1485  976 3715],[1641 1463  990 3701]
6,4,75,"[169, 141, 107, 363]","[150, 161, 91, 378]","[174, 137, 97, 372]","[162, 149, 86, 383]","[171, 140, 102, 367]","[163, 147, 108, 361]",[1645 1459 1003 3688],[1633 1471 1006 3685],[1645 1459 1003 3688],[1648 1456  990 3701],[1649 1455 1002 3689]
7,4,100,"[169, 141, 106, 364]","[154, 157, 94, 375]","[173, 138, 95, 374]","[164, 147, 88, 381]","[165, 146, 103, 366]","[168, 142, 113, 356]",[1651 1453 1013 3678],[1651 1453 1020 3671],[1651 1453 1018 3673],[1673 1431 1004 3687],[1653 1451 1010 3681]
8,4,125,"[169, 141, 106, 364]","[157, 154, 96, 373]","[176, 135, 98, 371]","[165, 146, 89, 380]","[167, 144, 102, 367]","[167, 143, 109, 360]",[1659 1445 1016 3675],[1652 1452 1031 3660],[1656 1448 1032 3659],[1676 1428 1019 3672],[1650 1454 1017 3674]
9,4,150,"[169, 141, 105, 365]","[158, 153, 96, 373]","[174, 137, 99, 370]","[166, 145, 92, 377]","[171, 140, 105, 364]","[167, 143, 107, 362]",[1663 1441 1022 3669],[1653 1451 1040 3651],[1656 1448 1028 3663],[1667 1437 1014 3677],[1659 1445 1021 3670]
