,Max_depth,N_estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,3,50,"[167, 143, 101, 369]",0.6849262347658756,0.7129992177184588,0.7974419100405031,0.7528580590224576
1,3,75,"[169, 141, 102, 368]",0.6856703014753046,0.7153969718205134,0.7932636964399915,0.7523197792883052
2,3,100,"[170, 140, 105, 365]",0.6865426555484284,0.7180631962944982,0.7888723086761884,0.7518032680339525
3,3,125,"[170, 140, 105, 365]",0.6876715843489416,0.7200108854485907,0.7870816457045406,0.7520527528729875
4,3,150,"[170, 140, 105, 365]",0.6873893521488134,0.7205268596301884,0.785035173736943,0.7513982430891982
5,4,50,"[166, 144, 105, 365]",0.6840025657472738,0.7149684519361951,0.7897676401620124,0.7505064369776037
6,4,75,"[169, 141, 107, 363]",0.6843104554201411,0.7165161248730001,0.7866552973779578,0.749949140579578
7,4,100,"[169, 141, 106, 364]",0.6842591404746632,0.7174915478611277,0.7840545725858026,0.7492975185504351
8,4,125,"[169, 141, 106, 364]",0.6833354714560615,0.7173324261320013,0.7819228309528886,0.7482356127966643
9,4,150,"[169, 141, 105, 365]",0.6832071840923669,0.7173598673162646,0.7814964826263057,0.7480558100203977
10,5,50,"[168, 142, 109, 361]",0.6832584990378447,0.7155146255611238,0.7863142187166915,0.7492430926485305
11,5,75,"[167, 143, 108, 362]",0.6842591404746632,0.7172407472471523,0.7846940950756769,0.7494493251903604
12,5,100,"[166, 144, 106, 364]",0.6836433611289288,0.7173308891700565,0.7827755276060542,0.7486239653230051
13,5,125,"[165, 145, 110, 360]",0.6831302116741501,0.717515286857597,0.7808995949690898,0.7478662235156398
14,5,150,"[166, 144, 109, 361]",0.6832841565105838,0.7180244035247677,0.7800468983159241,0.7477513822626568
15,6,50,"[169, 141, 109, 361]",0.6823348300192431,0.7174653465609433,0.7788531230014921,0.7468983764034629
16,6,75,"[166, 144, 110, 360]",0.6827196921103271,0.718039843867976,0.7784694095075676,0.7470341038617778
17,6,100,"[164, 146, 107, 363]",0.6823604874919821,0.717900934582251,0.7778298870176934,0.7466640430956998
18,6,125,"[161, 149, 107, 363]",0.6810262989095575,0.7169154413740255,0.7766361117032614,0.7455800925156909
19,6,150,"[162, 148, 106, 364]",0.6809493264913407,0.7172050536225137,0.7756981453847794,0.7453037315328861
20,7,50,"[177, 133, 113, 357]",0.6825144323284157,0.7195612109250547,0.7741632914090812,0.7458607288613891
21,7,75,"[176, 134, 116, 354]",0.6828992944194997,0.7199693178710154,0.7742059262417396,0.7461005803547395
22,7,100,"[172, 138, 113, 357]",0.6819499679281591,0.7191908477340829,0.773523768919207,0.7453672425733595
23,7,125,"[174, 136, 114, 356]",0.6806670942912123,0.7182877852125638,0.7722447239394585,0.7442859056326826
24,7,150,"[172, 138, 114, 356]",0.679563822963438,0.7174088913317556,0.771392027286293,0.7434197961369428
