,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[82, 228, 40, 430]","[78, 233, 47, 422]","[87, 224, 41, 428]","[63, 248, 32, 437]","[87, 224, 32, 437]","[85, 225, 44, 425]",[ 835 2269  417 4274],[ 823 2281  429 4262],[ 836 2268  419 4272],[ 851 2253  416 4275],[ 835 2269  417 4274]
1,1,"[50, 100, 150]",100,"[82, 228, 40, 430]","[78, 233, 50, 419]","[89, 222, 41, 428]","[64, 247, 32, 437]","[87, 224, 32, 437]","[83, 227, 43, 426]",[ 850 2254  431 4260],[ 845 2259  441 4250],[ 836 2268  421 4270],[ 850 2254  422 4269],[ 845 2259  425 4266]
2,1,"[50, 100, 150]",150,"[84, 226, 40, 430]","[78, 233, 48, 421]","[87, 224, 41, 428]","[64, 247, 32, 437]","[88, 223, 32, 437]","[83, 227, 43, 426]",[ 853 2251  431 4260],[ 846 2258  439 4252],[ 838 2266  421 4270],[ 862 2242  430 4261],[ 852 2252  427 4264]
3,1,"[50, 100, 150]",50,"[142, 168, 76, 394]","[122, 189, 71, 398]","[138, 173, 74, 395]","[115, 196, 57, 412]","[138, 173, 64, 405]","[133, 177, 72, 397]",[1322 1782  719 3972],[1330 1774  740 3951],[1310 1794  731 3960],[1310 1794  742 3949],[1319 1785  723 3968]
4,1,"[50, 100, 150]",100,"[143, 167, 78, 392]","[121, 190, 73, 396]","[139, 172, 74, 395]","[111, 200, 57, 412]","[141, 170, 69, 400]","[135, 175, 73, 396]",[1332 1772  736 3955],[1331 1773  742 3949],[1314 1790  738 3953],[1316 1788  739 3952],[1321 1783  718 3973]
5,1,"[50, 100, 150]",150,"[142, 168, 76, 394]","[123, 188, 73, 396]","[138, 173, 74, 395]","[111, 200, 58, 411]","[143, 168, 69, 400]","[135, 175, 73, 396]",[1334 1770  735 3956],[1335 1769  744 3947],[1310 1794  737 3954],[1321 1783  746 3945],[1315 1789  722 3969]
6,1,"[50, 100, 150]",50,"[150, 160, 89, 381]","[130, 181, 82, 387]","[152, 159, 83, 386]","[127, 184, 64, 405]","[146, 165, 80, 389]","[142, 168, 77, 392]",[1426 1678  810 3881],[1429 1675  812 3879],[1424 1680  814 3877],[1437 1667  806 3885],[1437 1667  809 3882]
7,1,"[50, 100, 150]",100,"[149, 161, 90, 380]","[130, 181, 82, 387]","[151, 160, 83, 386]","[127, 184, 63, 406]","[146, 165, 78, 391]","[142, 168, 77, 392]",[1425 1679  811 3880],[1425 1679  813 3878],[1425 1679  814 3877],[1433 1671  801 3890],[1439 1665  811 3880]
8,1,"[50, 100, 150]",150,"[150, 160, 88, 382]","[130, 181, 82, 387]","[150, 161, 83, 386]","[128, 183, 63, 406]","[146, 165, 77, 392]","[142, 168, 76, 393]",[1428 1676  807 3884],[1428 1676  817 3874],[1426 1678  809 3882],[1442 1662  811 3880],[1441 1663  799 3892]
9,2,"[50, 100, 150]",50,"[154, 156, 94, 376]","[137, 174, 82, 387]","[153, 158, 84, 385]","[136, 175, 68, 401]","[155, 156, 83, 386]","[145, 165, 80, 389]",[1474 1630  842 3849],[1473 1631  855 3836],[1461 1643  841 3850],[1469 1635  850 3841],[1477 1627  852 3839]
