,Max_depth,N_estimators,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,"[50, 100, 150]",50,"[82, 228, 40, 430]",0.6552148813341886,0.6531799695210291,0.9105521210829247,0.760685664137581
1,1,"[50, 100, 150]",100,"[82, 228, 40, 430]",0.6553175112251444,0.6536539265216705,0.9087614581112768,0.760380578098144
2,1,"[50, 100, 150]",150,"[84, 226, 40, 430]",0.6557536882617062,0.6540712785145931,0.9084203794500108,0.7605432637448178
3,1,"[50, 100, 150]",50,"[142, 168, 76, 394]",0.6771263630532393,0.6891994210304491,0.8441696866339801,0.7588527883384291
4,1,"[50, 100, 150]",100,"[143, 167, 78, 392]",0.6772546504169339,0.6895571951292971,0.8434022596461309,0.7587590873880947
5,1,"[50, 100, 150]",150,"[142, 168, 76, 394]",0.6769980756895446,0.6894633763084883,0.84293327648689,0.7585119457944509
6,1,"[50, 100, 150]",50,"[150, 160, 89, 381]",0.6813855035279025,0.6987149316412393,0.8272862929013003,0.757584224528856
7,1,"[50, 100, 150]",100,"[149, 161, 90, 380]",0.6812572161642079,0.6985747909153894,0.8273289277339586,0.7575196011183892
8,1,"[50, 100, 150]",150,"[150, 160, 88, 382]",0.6818986529826813,0.6991037870233876,0.8276273715625667,0.7579555980679696
9,2,"[50, 100, 150]",50,"[154, 156, 94, 376]",0.6816933932007697,0.7017646359444771,0.819228309528885,0.7559601146379461
10,2,"[50, 100, 150]",100,"[152, 158, 93, 377]",0.681975625400898,0.7017367770742735,0.8201236410147091,0.7563250981916283
11,2,"[50, 100, 150]",150,"[153, 157, 92, 378]",0.6822322001282874,0.7019045461348974,0.8203794500106586,0.7565314447819529
12,2,"[50, 100, 150]",50,"[163, 147, 100, 370]",0.6849518922386146,0.7108685765110879,0.8031549776167128,0.7541986350226862
13,2,"[50, 100, 150]",100,"[162, 148, 101, 369]",0.6850545221295702,0.7109119396090579,0.803325516947346,0.7542985018663952
14,2,"[50, 100, 150]",150,"[162, 148, 101, 369]",0.685157152020526,0.7109073798954931,0.8036239607759541,0.754427523053845
15,2,"[50, 100, 150]",50,"[167, 143, 105, 365]",0.6861064785118665,0.7156152073503497,0.7939032189298657,0.7527287657536197
16,2,"[50, 100, 150]",100,"[166, 144, 105, 365]",0.6865169980756896,0.7161375348893475,0.7936900447665742,0.7529213842825777
17,2,"[50, 100, 150]",150,"[170, 140, 104, 366]",0.6863887107119948,0.7160833498485217,0.7934768706032829,0.7527951728461699
18,3,"[50, 100, 150]",50,"[162, 148, 102, 368]",0.6856446440025656,0.7120276050786887,0.8020038371349394,0.7543411102954145
19,3,"[50, 100, 150]",100,"[162, 148, 102, 368]",0.6851828094932649,0.7116865216836196,0.8016201236410148,0.7539797731911145
20,3,"[50, 100, 150]",150,"[162, 148, 101, 369]",0.6852341244387427,0.7118218990066827,0.8014069494777234,0.7539605744553634
21,3,"[50, 100, 150]",50,"[166, 144, 104, 366]",0.6867992302758179,0.7173457293447534,0.7913877638030271,0.7525489795531118
22,3,"[50, 100, 150]",100,"[167, 143, 104, 366]",0.6862091084028223,0.7170269085795675,0.7905777019825198,0.7520072616197426
23,3,"[50, 100, 150]",150,"[169, 141, 104, 366]",0.686696600384862,0.7173698526103449,0.7910466851417608,0.7524079569741984
24,3,"[50, 100, 150]",50,"[166, 144, 104, 366]",0.6865683130211674,0.7189401946403793,0.7867405670432743,0.7513134422314096
25,3,"[50, 100, 150]",100,"[167, 143, 104, 366]",0.6868505452212956,0.7190435185488477,0.7872521850351737,0.7516030068245536
26,3,"[50, 100, 150]",150,"[167, 143, 104, 366]",0.6869788325849904,0.7191165306601972,0.787422724365807,0.7517196472425027
27,4,"[50, 100, 150]",50,"[165, 145, 104, 366]",0.6855420141116101,0.7157414595433184,0.7920272862929012,0.7519527549107201
28,4,"[50, 100, 150]",100,"[165, 145, 103, 367]",0.6860038486209109,0.716304645983983,0.791856746962268,0.7521876999986559
29,4,"[50, 100, 150]",150,"[165, 145, 102, 368]",0.6857472738935215,0.7160110639847854,0.7918993817949265,0.7520448977462431
30,4,"[50, 100, 150]",50,"[165, 145, 103, 367]",0.6865939704939065,0.7186275624166442,0.78759326369644,0.7515307786234405
31,4,"[50, 100, 150]",100,"[166, 144, 103, 367]",0.6867992302758179,0.718815520145499,0.7876785333617565,0.7516729069236427
32,4,"[50, 100, 150]",150,"[166, 144, 104, 366]",0.6864400256574728,0.7187149220496921,0.7869537412065657,0.7512876943977014
33,4,"[50, 100, 150]",50,"[167, 143, 105, 365]",0.6862347658755613,0.7189858388138377,0.7857173310594756,0.750871447447816
34,4,"[50, 100, 150]",100,"[167, 143, 108, 362]",0.6857729313662604,0.7188229536274099,0.7848646344063099,0.750392767893267
35,4,"[50, 100, 150]",150,"[168, 142, 107, 363]",0.6860551635663887,0.7190148287907577,0.7851630782349179,0.7506325832597252
