,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[82, 228, 40, 430]","[78, 233, 47, 422]","[87, 224, 41, 428]","[63, 248, 32, 437]","[87, 224, 32, 437]","[85, 225, 44, 425]",[ 835 2269  417 4274],[ 827 2277  436 4255],[ 836 2268  419 4272],[ 851 2253  417 4274],[ 835 2269  417 4274]
1,1,"[50, 100, 150]",100,"[82, 228, 40, 430]","[78, 233, 48, 421]","[89, 222, 41, 428]","[64, 247, 32, 437]","[87, 224, 32, 437]","[83, 227, 43, 426]",[ 850 2254  428 4263],[ 842 2262  446 4245],[ 836 2268  421 4270],[ 850 2254  423 4268],[ 845 2259  425 4266]
2,1,"[50, 100, 150]",150,"[84, 226, 40, 430]","[78, 233, 48, 421]","[87, 224, 41, 428]","[64, 247, 32, 437]","[89, 222, 33, 436]","[83, 227, 43, 426]",[ 854 2250  432 4259],[ 853 2251  448 4243],[ 842 2262  423 4268],[ 862 2242  432 4259],[ 852 2252  427 4264]
3,1,"[50, 100, 150]",50,"[143, 167, 77, 393]","[123, 188, 72, 397]","[138, 173, 74, 395]","[115, 196, 57, 412]","[138, 173, 66, 403]","[132, 178, 72, 397]",[1326 1778  726 3965],[1318 1786  734 3957],[1308 1796  729 3962],[1311 1793  747 3944],[1322 1782  721 3970]
4,1,"[50, 100, 150]",100,"[143, 167, 79, 391]","[121, 190, 73, 396]","[139, 172, 74, 395]","[110, 201, 57, 412]","[144, 167, 69, 400]","[135, 175, 73, 396]",[1334 1770  735 3956],[1315 1789  728 3963],[1313 1791  741 3950],[1321 1783  744 3947],[1318 1786  720 3971]
5,1,"[50, 100, 150]",150,"[143, 167, 77, 393]","[122, 189, 73, 396]","[138, 173, 74, 395]","[111, 200, 58, 411]","[144, 167, 69, 400]","[135, 175, 73, 396]",[1337 1767  735 3956],[1328 1776  739 3952],[1312 1792  737 3954],[1328 1776  749 3942],[1316 1788  722 3969]
6,1,"[50, 100, 150]",50,"[150, 160, 90, 380]","[132, 179, 81, 388]","[152, 159, 84, 385]","[127, 184, 63, 406]","[148, 163, 81, 388]","[142, 168, 76, 393]",[1429 1675  816 3875],[1428 1676  814 3877],[1415 1689  809 3882],[1427 1677  812 3879],[1437 1667  815 3876]
7,1,"[50, 100, 150]",100,"[152, 158, 91, 379]","[132, 179, 84, 385]","[154, 157, 85, 384]","[127, 184, 63, 406]","[147, 164, 80, 389]","[141, 169, 76, 393]",[1430 1674  820 3871],[1425 1679  818 3873],[1416 1688  807 3884],[1435 1669  812 3879],[1441 1663  810 3881]
8,1,"[50, 100, 150]",150,"[152, 158, 91, 379]","[132, 179, 84, 385]","[153, 158, 85, 384]","[127, 184, 62, 407]","[146, 165, 79, 390]","[141, 169, 76, 393]",[1432 1672  818 3873],[1428 1676  819 3872],[1416 1688  804 3887],[1436 1668  818 3873],[1439 1665  811 3880]
9,2,"[50, 100, 150]",50,"[156, 154, 94, 376]","[141, 170, 82, 387]","[156, 155, 86, 383]","[137, 174, 68, 401]","[158, 153, 85, 384]","[143, 167, 80, 389]",[1487 1617  853 3838],[1488 1616  851 3840],[1473 1631  842 3849],[1487 1617  839 3852],[1494 1610  855 3836]
