,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[162, 148, 102, 368]","[148, 163, 87, 382]","[165, 146, 85, 384]","[154, 157, 78, 391]","[172, 139, 94, 375]","[157, 153, 93, 376]",[1592 1512  924 3767],[1564 1540  917 3774],[1579 1525  905 3786],[1589 1515  911 3780],[1592 1512  916 3775]
1,3,75,"[166, 144, 105, 365]","[158, 153, 87, 382]","[178, 133, 87, 382]","[152, 159, 79, 390]","[170, 141, 96, 373]","[154, 156, 94, 375]",[1623 1481  929 3762],[1595 1509  927 3764],[1611 1493  922 3769],[1618 1486  913 3778],[1634 1470  938 3753]
2,3,100,"[168, 142, 103, 367]","[161, 150, 85, 384]","[180, 131, 90, 379]","[153, 158, 79, 390]","[174, 137, 96, 373]","[157, 153, 92, 377]",[1635 1469  923 3768],[1615 1489  926 3765],[1619 1485  930 3761],[1639 1465  934 3757],[1648 1456  938 3753]
3,3,125,"[166, 144, 109, 361]","[162, 149, 85, 384]","[179, 132, 92, 377]","[158, 153, 82, 387]","[178, 133, 100, 369]","[159, 151, 93, 376]",[1650 1454  942 3749],[1647 1457  937 3754],[1650 1454  936 3755],[1656 1448  936 3755],[1650 1454  943 3748]
4,3,150,"[166, 144, 106, 364]","[162, 149, 85, 384]","[179, 132, 91, 378]","[164, 147, 82, 387]","[177, 134, 98, 371]","[158, 152, 91, 378]",[1660 1444  933 3758],[1638 1466  935 3756],[1659 1445  934 3757],[1669 1435  939 3752],[1655 1449  953 3738]
5,4,50,"[161, 149, 100, 370]","[152, 159, 85, 384]","[165, 146, 92, 377]","[153, 158, 82, 387]","[173, 138, 94, 375]","[160, 150, 100, 369]",[1617 1487  945 3746],[1609 1495  944 3747],[1622 1482  947 3744],[1614 1490  937 3754],[1639 1465  951 3740]
6,4,75,"[163, 147, 103, 367]","[155, 156, 86, 383]","[176, 135, 91, 378]","[162, 149, 82, 387]","[175, 136, 93, 376]","[160, 150, 97, 372]",[1643 1461  940 3751],[1617 1487  941 3750],[1633 1471  943 3748],[1641 1463  936 3755],[1649 1455  942 3749]
7,4,100,"[161, 149, 102, 368]","[160, 151, 84, 385]","[178, 133, 91, 378]","[165, 146, 82, 387]","[178, 133, 96, 373]","[159, 151, 98, 371]",[1659 1445  939 3752],[1642 1462  960 3731],[1648 1456  958 3733],[1664 1440  934 3757],[1674 1430  950 3741]
8,4,125,"[163, 147, 101, 369]","[161, 150, 79, 390]","[174, 137, 93, 376]","[170, 141, 86, 383]","[176, 135, 95, 374]","[163, 147, 94, 375]",[1666 1438  935 3756],[1650 1454  961 3730],[1667 1437  968 3723],[1675 1429  954 3737],[1679 1425  952 3739]
9,4,150,"[168, 142, 103, 367]","[160, 151, 81, 388]","[175, 136, 93, 376]","[169, 142, 87, 382]","[179, 132, 95, 374]","[161, 149, 92, 377]",[1670 1434  941 3750],[1641 1463  969 3722],[1676 1428  967 3724],[1685 1419  962 3729],[1675 1429  954 3737]
10,5,50,"[160, 150, 102, 368]","[154, 157, 90, 379]","[169, 142, 97, 372]","[160, 151, 85, 384]","[175, 136, 95, 374]","[160, 150, 96, 373]",[1631 1473  964 3727],[1632 1472  976 3715],[1652 1452  970 3721],[1664 1440  955 3736],[1665 1439  969 3722]
11,5,75,"[164, 146, 101, 369]","[158, 153, 82, 387]","[176, 135, 95, 374]","[168, 143, 84, 385]","[177, 134, 94, 375]","[160, 150, 95, 374]",[1663 1441  942 3749],[1644 1460  968 3723],[1657 1447  977 3714],[1674 1430  959 3732],[1668 1436  959 3732]
12,5,100,"[163, 147, 101, 369]","[161, 150, 83, 386]","[177, 134, 98, 371]","[171, 140, 84, 385]","[176, 135, 100, 369]","[156, 154, 94, 375]",[1662 1442  954 3737],[1664 1440  965 3726],[1660 1444  970 3721],[1684 1420  964 3727],[1671 1433  961 3730]
13,5,125,"[165, 145, 102, 368]","[160, 151, 86, 383]","[176, 135, 101, 368]","[170, 141, 88, 381]","[178, 133, 98, 371]","[156, 154, 96, 373]",[1660 1444  967 3724],[1667 1437  978 3713],[1665 1439  979 3712],[1681 1423  964 3727],[1677 1427  967 3724]
14,5,150,"[164, 146, 105, 365]","[164, 147, 86, 383]","[177, 134, 102, 367]","[169, 142, 90, 379]","[175, 136, 97, 372]","[157, 153, 95, 374]",[1666 1438  977 3714],[1658 1446  981 3710],[1665 1439  986 3705],[1689 1415  971 3720],[1690 1414  967 3724]
15,6,50,"[159, 151, 106, 364]","[156, 155, 89, 380]","[176, 135, 98, 371]","[165, 146, 87, 382]","[178, 133, 107, 362]","[156, 154, 99, 370]",[1645 1459  998 3693],[1641 1463  996 3695],[1658 1446  985 3706],[1681 1423  993 3698],[1677 1427 1000 3691]
16,6,75,"[164, 146, 109, 361]","[160, 151, 91, 378]","[172, 139, 103, 366]","[165, 146, 87, 382]","[171, 140, 110, 359]","[160, 150, 93, 376]",[1652 1452  995 3696],[1649 1455  995 3696],[1656 1448  980 3711],[1679 1425  977 3714],[1678 1426  994 3697]
17,6,100,"[169, 141, 112, 358]","[161, 150, 87, 382]","[176, 135, 104, 365]","[167, 144, 88, 381]","[173, 138, 106, 363]","[164, 146, 95, 374]",[1677 1427  999 3692],[1657 1447  994 3697],[1662 1442  986 3705],[1679 1425  987 3704],[1679 1425 1005 3686]
18,6,125,"[168, 142, 112, 358]","[167, 144, 88, 381]","[178, 133, 104, 365]","[166, 145, 85, 384]","[174, 137, 106, 363]","[164, 146, 98, 371]",[1688 1416 1002 3689],[1659 1445  998 3693],[1660 1444 1012 3679],[1681 1423 1001 3690],[1692 1412 1013 3678]
19,6,150,"[170, 140, 114, 356]","[168, 143, 89, 380]","[178, 133, 104, 365]","[172, 139, 86, 383]","[171, 140, 105, 364]","[162, 148, 101, 368]",[1688 1416 1006 3685],[1652 1452 1014 3677],[1655 1449 1013 3678],[1676 1428 1000 3691],[1688 1416 1024 3667]
20,7,50,"[165, 145, 106, 364]","[163, 148, 95, 374]","[175, 136, 101, 368]","[168, 143, 88, 381]","[172, 139, 107, 362]","[159, 151, 102, 367]",[1677 1427 1013 3678],[1653 1451 1024 3667],[1651 1453 1018 3673],[1645 1459 1007 3684],[1671 1433 1023 3668]
21,7,75,"[166, 144, 108, 362]","[167, 144, 91, 378]","[175, 136, 105, 364]","[169, 142, 84, 385]","[164, 147, 103, 366]","[160, 150, 102, 367]",[1674 1430 1004 3687],[1645 1459 1033 3658],[1647 1457 1013 3678],[1653 1451  993 3698],[1681 1423 1027 3664]
22,7,100,"[163, 147, 108, 362]","[166, 145, 92, 377]","[175, 136, 109, 360]","[168, 143, 89, 380]","[168, 143, 106, 363]","[164, 146, 103, 366]",[1673 1431 1020 3671],[1658 1446 1031 3660],[1654 1450 1010 3681],[1659 1445  998 3693],[1680 1424 1025 3666]
23,7,125,"[161, 149, 110, 360]","[166, 145, 86, 383]","[176, 135, 106, 363]","[168, 143, 93, 376]","[168, 143, 102, 367]","[169, 141, 103, 366]",[1677 1427 1035 3656],[1655 1449 1036 3655],[1660 1444 1025 3666],[1678 1426 1005 3686],[1678 1426 1037 3654]
24,7,150,"[163, 147, 113, 357]","[170, 141, 89, 380]","[180, 131, 106, 363]","[168, 143, 91, 378]","[174, 137, 95, 374]","[171, 139, 105, 364]",[1697 1407 1031 3660],[1643 1461 1057 3634],[1666 1438 1031 3660],[1671 1433 1009 3682],[1662 1442 1037 3654]
