,Max_depth,N_estimators,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,"[50, 100, 150]",50,"[82, 228, 40, 430]",0.6551122514432328,0.6531374109092326,0.9103815817522916,0.760597283219464
1,1,"[50, 100, 150]",100,"[82, 228, 40, 430]",0.6552661962796665,0.653604357123271,0.9088040929439352,0.7603620387720302
2,1,"[50, 100, 150]",150,"[84, 226, 40, 430]",0.6557280307889672,0.654126619651265,0.9080793007887443,0.7604610480664092
3,1,"[50, 100, 150]",50,"[143, 167, 77, 393]",0.6772546504169339,0.6893192648091426,0.8441696866339801,0.758925762366853
4,1,"[50, 100, 150]",100,"[143, 167, 79, 391]",0.6774599101988453,0.6896569994741515,0.8437007034747388,0.7589403774465462
5,1,"[50, 100, 150]",150,"[143, 167, 78, 392]",0.6775368826170621,0.6898097651916738,0.8434448944787892,0.7589285994250863
6,1,"[50, 100, 150]",50,"[150, 160, 90, 380]",0.6808466966003849,0.6982587360335215,0.8270731187380089,0.7572263659079916
7,1,"[50, 100, 150]",100,"[151, 159, 91, 379]",0.6808723540731239,0.6983410293699768,0.8269025794073759,0.7572031659792382
8,1,"[50, 100, 150]",150,"[151, 159, 91, 379]",0.6810519563822963,0.6985029186187564,0.8269452142400342,0.7573157599801147
9,2,"[50, 100, 150]",50,"[156, 154, 93, 377]",0.6845413726747915,0.704455866338219,0.8196972926881262,0.7577195673225366
10,2,"[50, 100, 150]",100,"[154, 156, 92, 378]",0.68433611289288,0.7040552158840329,0.820251545512684,0.7577244576134843
11,2,"[50, 100, 150]",150,"[151, 159, 92, 378]",0.6843617703656191,0.7040359333090571,0.8203794500106587,0.7577679715328759
12,2,"[50, 100, 150]",50,"[165, 145, 101, 369]",0.6878255291853752,0.7117372664314177,0.8088680451929227,0.7571994163855515
13,2,"[50, 100, 150]",100,"[164, 146, 102, 368]",0.6882873636946762,0.7121701345702076,0.8089959496908975,0.757500682446117
14,2,"[50, 100, 150]",150,"[164, 146, 98, 372]",0.688313021167415,0.712164394993432,0.809081219356214,0.7575344906501845
15,2,"[50, 100, 150]",50,"[165, 145, 102, 368]",0.6910327132777422,0.7165412736797843,0.8050735450863357,0.7582317687235078
16,2,"[50, 100, 150]",100,"[168, 142, 101, 369]",0.6915458627325208,0.7171176394311555,0.8049882754210189,0.7585165124061228
17,2,"[50, 100, 150]",150,"[168, 142, 100, 370]",0.691109685695959,0.7168036305734447,0.8046045619270943,0.7581704191254709
18,3,"[50, 100, 150]",50,"[160, 150, 98, 372]",0.6882103912764593,0.7126635965151417,0.8074610957151993,0.7571056391872537
19,3,"[50, 100, 150]",100,"[159, 151, 100, 370]",0.6883130211674151,0.7126909518466641,0.8076742698784909,0.7572147840067159
20,3,"[50, 100, 150]",150,"[159, 151, 97, 373]",0.6888005131494548,0.7131211106105075,0.8078874440417823,0.7575509042054928
21,3,"[50, 100, 150]",50,"[167, 143, 100, 370]",0.6938806927517639,0.7198595097918278,0.8043487529311447,0.759761522757785
22,3,"[50, 100, 150]",100,"[168, 142, 102, 368]",0.6940602950609366,0.7202180557815178,0.803922404604562,0.7597711739541279
23,3,"[50, 100, 150]",150,"[168, 142, 101, 369]",0.6935471456061578,0.7199199301386787,0.8032828821146877,0.7593198692844096
24,3,"[50, 100, 150]",50,"[166, 144, 102, 368]",0.6952405388069275,0.7223383827434962,0.8017906629716478,0.7599921664214325
25,3,"[50, 100, 150]",100,"[171, 139, 103, 367]",0.6955740859525337,0.7227666438372742,0.8016201236410148,0.760153020514768
26,3,"[50, 100, 150]",150,"[170, 140, 103, 367]",0.6957536882617062,0.7230982358537854,0.8012790449797483,0.7601829100575925
27,4,"[50, 100, 150]",50,"[164, 146, 100, 370]",0.6912892880051315,0.7176432190123324,0.8029418034534214,0.7578988420192067
28,4,"[50, 100, 150]",100,"[167, 143, 100, 370]",0.6908787684413085,0.7174688740105944,0.802259646130889,0.7574981593591736
29,4,"[50, 100, 150]",150,"[163, 147, 100, 370]",0.6908274534958307,0.7174803220208035,0.8020891068002559,0.7574286919267147
30,4,"[50, 100, 150]",50,"[163, 147, 103, 367]",0.6952661962796665,0.7221765592837041,0.802259646130889,0.7601135338710435
31,4,"[50, 100, 150]",100,"[164, 146, 104, 366]",0.6953431686978833,0.7223631163880155,0.8020038371349394,0.7601019250863829
32,4,"[50, 100, 150]",150,"[164, 146, 103, 367]",0.6955740859525337,0.7225440299008963,0.8021743764655724,0.7602789863619226
33,4,"[50, 100, 150]",50,"[167, 143, 104, 366]",0.6957023733162283,0.7236117671328018,0.7998720955020252,0.7598317601774938
34,4,"[50, 100, 150]",100,"[168, 142, 106, 364]",0.6958819756254009,0.7237888453664911,0.7999147303346834,0.7599490886131841
35,4,"[50, 100, 150]",150,"[167, 143, 104, 366]",0.6963438101347017,0.7242058077412914,0.800127904497975,0.7602748901804974
