,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[167, 143, 118, 352]","[155, 156, 100, 369]","[174, 137, 121, 348]","[154, 157, 97, 372]","[165, 146, 97, 372]","[162, 148, 109, 360]",[1643 1461 1110 3581],[1610 1494 1054 3637],[1647 1457 1105 3586],[1651 1453 1117 3574],[1659 1445 1141 3550]
1,3,75,"[165, 145, 118, 352]","[155, 156, 98, 371]","[174, 137, 121, 348]","[152, 159, 95, 374]","[170, 141, 102, 367]","[162, 148, 108, 361]",[1643 1461 1109 3582],[1642 1462 1071 3620],[1647 1457 1111 3580],[1657 1447 1121 3570],[1663 1441 1141 3550]
2,3,100,"[165, 145, 118, 352]","[155, 156, 98, 371]","[174, 137, 121, 348]","[152, 159, 95, 374]","[170, 141, 102, 367]","[163, 147, 107, 362]",[1645 1459 1112 3579],[1645 1459 1077 3614],[1650 1454 1113 3578],[1663 1441 1127 3564],[1663 1441 1143 3548]
3,3,125,"[167, 143, 118, 352]","[156, 155, 98, 371]","[174, 137, 121, 348]","[151, 160, 95, 374]","[178, 133, 104, 365]","[163, 147, 107, 362]",[1657 1447 1115 3576],[1645 1459 1077 3614],[1652 1452 1121 3570],[1665 1439 1131 3560],[1664 1440 1145 3546]
4,3,150,"[167, 143, 118, 352]","[157, 154, 102, 367]","[174, 137, 121, 348]","[151, 160, 95, 374]","[179, 132, 104, 365]","[162, 148, 107, 362]",[1657 1447 1124 3567],[1645 1459 1075 3616],[1652 1452 1121 3570],[1667 1437 1133 3558],[1664 1440 1144 3547]
5,4,50,"[167, 143, 118, 352]","[156, 155, 103, 366]","[176, 135, 122, 347]","[154, 157, 97, 372]","[173, 138, 102, 367]","[165, 145, 112, 357]",[1661 1443 1127 3564],[1639 1465 1081 3610],[1654 1450 1122 3569],[1668 1436 1132 3559],[1675 1429 1162 3529]
6,4,75,"[167, 143, 118, 352]","[157, 154, 104, 365]","[176, 135, 122, 347]","[154, 157, 97, 372]","[174, 137, 103, 366]","[166, 144, 110, 359]",[1664 1440 1129 3562],[1646 1458 1086 3605],[1656 1448 1127 3564],[1675 1429 1136 3555],[1673 1431 1161 3530]
7,4,100,"[168, 142, 118, 352]","[157, 154, 104, 365]","[176, 135, 122, 347]","[154, 157, 97, 372]","[175, 136, 103, 366]","[166, 144, 110, 359]",[1668 1436 1136 3555],[1656 1448 1090 3601],[1662 1442 1133 3558],[1682 1422 1143 3548],[1676 1428 1166 3525]
8,4,125,"[168, 142, 118, 352]","[158, 153, 106, 363]","[176, 135, 125, 344]","[154, 157, 97, 372]","[176, 135, 104, 365]","[166, 144, 110, 359]",[1670 1434 1138 3553],[1656 1448 1090 3601],[1663 1441 1134 3557],[1681 1423 1149 3542],[1667 1437 1162 3529]
9,4,150,"[168, 142, 118, 352]","[157, 154, 105, 364]","[176, 135, 125, 344]","[154, 157, 97, 372]","[176, 135, 103, 366]","[165, 145, 110, 359]",[1668 1436 1136 3555],[1657 1447 1091 3600],[1663 1441 1135 3556],[1680 1424 1146 3545],[1664 1440 1160 3531]
10,5,50,"[168, 142, 118, 352]","[157, 154, 107, 362]","[174, 137, 121, 348]","[152, 159, 96, 373]","[173, 138, 101, 368]","[165, 145, 111, 358]",[1664 1440 1138 3553],[1655 1449 1091 3600],[1664 1440 1137 3554],[1680 1424 1135 3556],[1673 1431 1170 3521]
11,5,75,"[168, 142, 118, 352]","[158, 153, 107, 362]","[174, 137, 121, 348]","[152, 159, 96, 373]","[173, 138, 103, 366]","[164, 146, 109, 360]",[1661 1443 1137 3554],[1654 1450 1090 3601],[1663 1441 1134 3557],[1680 1424 1139 3552],[1670 1434 1174 3517]
12,5,100,"[168, 142, 118, 352]","[158, 153, 107, 362]","[174, 137, 124, 345]","[152, 159, 96, 373]","[174, 137, 102, 367]","[162, 148, 109, 360]",[1662 1442 1140 3551],[1655 1449 1089 3602],[1657 1447 1128 3563],[1682 1422 1142 3549],[1661 1443 1169 3522]
13,5,125,"[168, 142, 118, 352]","[158, 153, 107, 362]","[176, 135, 125, 344]","[152, 159, 96, 373]","[175, 136, 101, 368]","[163, 147, 109, 360]",[1666 1438 1140 3551],[1651 1453 1089 3602],[1658 1446 1131 3560],[1681 1423 1142 3549],[1663 1441 1170 3521]
14,5,150,"[168, 142, 118, 352]","[159, 152, 107, 362]","[176, 135, 125, 344]","[151, 160, 96, 373]","[174, 137, 101, 368]","[164, 146, 110, 359]",[1666 1438 1141 3550],[1653 1451 1087 3604],[1658 1446 1132 3559],[1683 1421 1144 3547],[1663 1441 1171 3520]
15,6,50,"[168, 142, 118, 352]","[157, 154, 107, 362]","[176, 135, 125, 344]","[151, 160, 96, 373]","[176, 135, 104, 365]","[162, 148, 104, 365]",[1664 1440 1141 3550],[1664 1440 1099 3592],[1676 1428 1133 3558],[1678 1426 1142 3549],[1667 1437 1176 3515]
16,6,75,"[168, 142, 118, 352]","[158, 153, 107, 362]","[176, 135, 125, 344]","[151, 160, 96, 373]","[177, 134, 104, 365]","[162, 148, 105, 364]",[1666 1438 1140 3551],[1652 1452 1092 3599],[1677 1427 1133 3558],[1677 1427 1140 3551],[1666 1438 1176 3515]
17,6,100,"[168, 142, 118, 352]","[157, 154, 107, 362]","[176, 135, 125, 344]","[151, 160, 96, 373]","[179, 132, 102, 367]","[161, 149, 106, 363]",[1667 1437 1138 3553],[1650 1454 1089 3602],[1676 1428 1135 3556],[1678 1426 1139 3552],[1663 1441 1172 3519]
18,6,125,"[168, 142, 118, 352]","[154, 157, 107, 362]","[176, 135, 125, 344]","[151, 160, 96, 373]","[175, 136, 103, 366]","[162, 148, 107, 362]",[1662 1442 1143 3548],[1651 1453 1089 3602],[1672 1432 1134 3557],[1678 1426 1141 3550],[1659 1445 1174 3517]
19,6,150,"[168, 142, 118, 352]","[157, 154, 107, 362]","[176, 135, 125, 344]","[151, 160, 96, 373]","[176, 135, 102, 367]","[162, 148, 107, 362]",[1665 1439 1141 3550],[1654 1450 1087 3604],[1673 1431 1134 3557],[1676 1428 1139 3552],[1658 1446 1177 3514]
