,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[61, 249, 38, 432]","[70, 241, 41, 428]","[66, 245, 37, 432]","[51, 260, 29, 440]","[87, 224, 31, 438]","[80, 230, 40, 429]",[ 705 2399  376 4315],[ 778 2326  393 4298],[ 812 2292  425 4266],[ 771 2333  420 4271],[ 777 2327  412 4279]
1,1,"[50, 100, 150]",100,"[61, 249, 38, 432]","[70, 241, 41, 428]","[66, 245, 37, 432]","[51, 260, 29, 440]","[87, 224, 31, 438]","[80, 230, 40, 429]",[ 705 2399  376 4315],[ 778 2326  393 4298],[ 812 2292  425 4266],[ 766 2338  420 4271],[ 781 2323  410 4281]
2,1,"[50, 100, 150]",150,"[61, 249, 38, 432]","[70, 241, 41, 428]","[66, 245, 37, 432]","[51, 260, 29, 440]","[87, 224, 31, 438]","[80, 230, 40, 429]",[ 705 2399  376 4315],[ 795 2309  405 4286],[ 772 2332  411 4280],[ 771 2333  420 4271],[ 781 2323  410 4281]
3,1,"[50, 100, 150]",50,"[85, 225, 59, 411]","[121, 190, 75, 394]","[174, 137, 122, 347]","[74, 237, 48, 421]","[142, 169, 70, 399]","[134, 176, 78, 391]",[1346 1758  875 3816],[1430 1674  909 3782],[1229 1875  738 3953],[1455 1649  959 3732],[1341 1763  888 3803]
4,1,"[50, 100, 150]",100,"[85, 225, 59, 411]","[121, 190, 75, 394]","[174, 137, 122, 347]","[74, 237, 48, 421]","[142, 169, 70, 399]","[134, 176, 78, 391]",[1346 1758  875 3816],[1426 1678  912 3779],[1306 1798  796 3895],[1469 1635  972 3719],[1343 1761  894 3797]
5,1,"[50, 100, 150]",150,"[166, 144, 118, 352]","[121, 190, 75, 394]","[174, 137, 122, 347]","[74, 237, 48, 421]","[142, 169, 70, 399]","[134, 176, 78, 391]",[1427 1677  934 3757],[1411 1693  903 3788],[1310 1794  800 3891],[1469 1635  972 3719],[1339 1765  889 3802]
6,1,"[50, 100, 150]",50,"[166, 144, 118, 352]","[123, 188, 80, 389]","[174, 137, 121, 348]","[154, 157, 97, 372]","[156, 155, 83, 386]","[134, 176, 78, 391]",[1569 1535 1041 3650],[1475 1629  949 3742],[1497 1607  945 3746],[1487 1617  972 3719],[1515 1589 1013 3678]
7,1,"[50, 100, 150]",100,"[166, 144, 118, 352]","[125, 186, 81, 388]","[174, 137, 121, 348]","[154, 157, 97, 372]","[153, 158, 81, 388]","[134, 176, 78, 391]",[1568 1536 1040 3651],[1475 1629  949 3742],[1493 1611  942 3749],[1487 1617  973 3718],[1519 1585 1017 3674]
8,1,"[50, 100, 150]",150,"[166, 144, 118, 352]","[125, 186, 81, 388]","[174, 137, 121, 348]","[154, 157, 97, 372]","[153, 158, 81, 388]","[136, 174, 79, 390]",[1570 1534 1041 3650],[1475 1629  949 3742],[1496 1608  943 3748],[1487 1617  973 3718],[1518 1586 1016 3675]
9,2,"[50, 100, 150]",50,"[168, 142, 118, 352]","[151, 160, 95, 374]","[174, 137, 121, 348]","[154, 157, 97, 372]","[158, 153, 90, 379]","[160, 150, 108, 361]",[1631 1473 1094 3597],[1567 1537 1016 3675],[1627 1477 1087 3604],[1533 1571 1039 3652],[1631 1473 1103 3588]
