,Max_depth,N_estimators,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,"[50, 100, 150]",50,"[61, 249, 38, 432]",0.6484156510583707,0.6473033023530653,0.913621829034321,0.7577325364399844
1,1,"[50, 100, 150]",100,"[61, 249, 38, 432]",0.6484413085311097,0.6473052493267324,0.9137070986996376,0.7577632659040787
2,1,"[50, 100, 150]",150,"[61, 249, 38, 432]",0.6480307889672867,0.646970773821448,0.9137923683649541,0.7575660333615961
3,1,"[50, 100, 150]",50,"[85, 225, 59, 411]",0.6641949967928159,0.6865746137761668,0.8137284161159666,0.7446276756666685
4,1,"[50, 100, 150]",100,"[85, 225, 59, 411]",0.6644259140474664,0.6878131888722252,0.8103176295033041,0.7439770904223643
5,1,"[50, 100, 150]",150,"[166, 144, 118, 352]",0.6648620910840283,0.6889017996750899,0.8082285227030483,0.7437312144369752
6,1,"[50, 100, 150]",50,"[166, 144, 118, 352]",0.6690955740859525,0.6991453992405872,0.7902366233212534,0.7418743649454548
7,1,"[50, 100, 150]",100,"[166, 144, 118, 352]",0.6690442591404746,0.6991078029998546,0.7901939884885951,0.7418333031719283
8,1,"[50, 100, 150]",150,"[166, 144, 118, 352]",0.6691212315586915,0.6992027198183883,0.7901513536559369,0.7418678097078768
9,2,"[50, 100, 150]",50,"[168, 142, 118, 352]",0.6697883258499038,0.7064092129106997,0.7723726284374334,0.7378833304886204
10,2,"[50, 100, 150]",100,"[168, 142, 118, 352]",0.6696343810134702,0.7058123305568104,0.7734811340865486,0.738068124566445
11,2,"[50, 100, 150]",150,"[168, 142, 118, 352]",0.669685695958948,0.7059589416760779,0.773225325090599,0.7380349301181934
12,2,"[50, 100, 150]",50,"[166, 144, 118, 352]",0.6713534316869788,0.710179013550116,0.7668301001918567,0.737411893543334
13,2,"[50, 100, 150]",100,"[166, 144, 118, 352]",0.6715586914688902,0.7103065525464778,0.7670859091878064,0.7375954103811303
14,2,"[50, 100, 150]",150,"[166, 144, 118, 352]",0.671302116741501,0.7099926273706696,0.767171178853123,0.7374659733999552
15,2,"[50, 100, 150]",50,"[166, 144, 118, 352]",0.6714304041051956,0.7105115780905423,0.7661905777019825,0.7372944984913191
16,2,"[50, 100, 150]",100,"[166, 144, 118, 352]",0.671686978832585,0.7107085282785652,0.766403751865274,0.7375003374629807
17,2,"[50, 100, 150]",150,"[166, 144, 118, 352]",0.6716100064143682,0.710474816834021,0.7667874653591985,0.7375512602929852
18,3,"[50, 100, 150]",50,"[168, 142, 118, 352]",0.671302116741501,0.7108730685558209,0.7649115327222341,0.7368957015769848
19,3,"[50, 100, 150]",100,"[166, 144, 118, 352]",0.6713534316869788,0.7109615222708874,0.7648262630569175,0.7369047504622992
20,3,"[50, 100, 150]",150,"[166, 144, 118, 352]",0.6714304041051957,0.7109295858679001,0.7651247068855256,0.7370263892929921
21,3,"[50, 100, 150]",50,"[165, 145, 118, 352]",0.67132777421424,0.7113855969762092,0.7636751225751439,0.7365959152397605
22,3,"[50, 100, 150]",100,"[165, 145, 118, 352]",0.671302116741501,0.7113750329963062,0.7636324877424855,0.7365705037126139
23,3,"[50, 100, 150]",150,"[165, 145, 118, 352]",0.6711738293778062,0.711367837806942,0.7632914090812193,0.7364076390520197
24,3,"[50, 100, 150]",50,"[165, 145, 118, 352]",0.6710711994868506,0.7115391261197477,0.7625666169260286,0.7361623527207015
25,3,"[50, 100, 150]",100,"[165, 145, 118, 352]",0.671276459268762,0.7118155308156967,0.7624387124280537,0.7362499109005085
26,3,"[50, 100, 150]",150,"[165, 145, 118, 352]",0.6709172546504168,0.7115700875012861,0.7620549989341292,0.7359400834084286
27,4,"[50, 100, 150]",50,"[167, 143, 118, 352]",0.670506735086594,0.7114557897248706,0.7612023022809635,0.7354770801308264
28,4,"[50, 100, 150]",100,"[167, 143, 118, 352]",0.6707889672867223,0.71166574695266,0.7614581112769132,0.7357110920803824
29,4,"[50, 100, 150]",150,"[167, 143, 118, 352]",0.6703271327774215,0.7111873165783644,0.7613728416115968,0.7354176889358508
30,4,"[50, 100, 150]",50,"[168, 142, 118, 352]",0.670532392559333,0.7116852777471836,0.7606906842890642,0.7353651411916914
31,4,"[50, 100, 150]",100,"[166, 144, 118, 352]",0.6702501603592046,0.7117607137851041,0.7597100831379237,0.7349467124263463
32,4,"[50, 100, 150]",150,"[166, 144, 118, 352]",0.6702245028864657,0.7117830314487102,0.7595821786399488,0.7348986800090034
33,4,"[50, 100, 150]",50,"[166, 144, 118, 352]",0.6701731879409877,0.7117601256654761,0.7594969089746323,0.7348456701077208
34,4,"[50, 100, 150]",100,"[166, 144, 118, 352]",0.6700192431045542,0.7118260649410144,0.7589000213174162,0.7346000826301552
35,4,"[50, 100, 150]",150,"[166, 144, 118, 352]",0.6699166132135984,0.7117125662851225,0.7589000213174163,0.7345401698607115
