Feature,Feature Selection,Probability,,,,,,,,,,,,
PopulationSize,MRMR,0,PopulationSize,CFS,0,PopulationSize,IG-20,0.32,PopulationSize,IG-40,0.8,PopulationSize,Average,0.28
AnnualPrecipitation,MRMR,0,AnnualPrecipitation,CFS,0.06,AnnualPrecipitation,IG-20,0.92,AnnualPrecipitation,IG-40,1,AnnualPrecipitation,Average,0.495
DiurnalSurfaceTemperature,MRMR,0,DiurnalSurfaceTemperature,CFS,0,DiurnalSurfaceTemperature,IG-20,0.94,DiurnalSurfaceTemperature,IG-40,1,DiurnalSurfaceTemperature,Average,0.485
DiurnalTemperatureRange,MRMR,0,DiurnalTemperatureRange,CFS,0,DiurnalTemperatureRange,IG-20,0.1,DiurnalTemperatureRange,IG-40,0.48,DiurnalTemperatureRange,Average,0.145
VegetationIndex,MRMR,0,VegetationIndex,CFS,0,VegetationIndex,IG-20,0.34,VegetationIndex,IG-40,0.68,VegetationIndex,Average,0.255
HumanFootprint,MRMR,0,HumanFootprint,CFS,0,HumanFootprint,IG-20,0.84,HumanFootprint,IG-40,1,HumanFootprint,Average,0.46
GrossCellProduction,MRMR,0,GrossCellProduction,CFS,0,GrossCellProduction,IG-20,0.36,GrossCellProduction,IG-40,0.84,GrossCellProduction,Average,0.3
GrowthSeasonLength,MRMR,0,GrowthSeasonLength,CFS,0,GrowthSeasonLength,IG-20,0.96,GrowthSeasonLength,IG-40,1,GrowthSeasonLength,Average,0.49
Irrigation,MRMR,0,Irrigation,CFS,0,Irrigation,IG-20,0.14,Irrigation,IG-40,0.52,Irrigation,Average,0.165
ITNCoverage,MRMR,0,ITNCoverage,CFS,1,ITNCoverage,IG-20,1,ITNCoverage,IG-40,1,ITNCoverage,Average,0.75
LandSurfaceTemperature,MRMR,0.04,LandSurfaceTemperature,CFS,1,LandSurfaceTemperature,IG-20,1,LandSurfaceTemperature,IG-40,1,LandSurfaceTemperature,Average,0.76
MalariaPrevalence,MRMR,0,MalariaPrevalence,CFS,0.3,MalariaPrevalence,IG-20,0.76,MalariaPrevalence,IG-40,0.96,MalariaPrevalence,Average,0.505
MeanTemperature,MRMR,0,MeanTemperature,CFS,0,MeanTemperature,IG-20,0.96,MeanTemperature,IG-40,0.98,MeanTemperature,Average,0.485
NightlightsComposite,MRMR,0,NightlightsComposite,CFS,0,NightlightsComposite,IG-20,0.6,NightlightsComposite,IG-40,0.88,NightlightsComposite,Average,0.37
ProximityToWater,MRMR,0,ProximityToWater,CFS,0,ProximityToWater,IG-20,0.7,ProximityToWater,IG-40,0.92,ProximityToWater,Average,0.405
Residence: Rural,MRMR,0.96,Residence: Rural,CFS,0,Residence: Rural,IG-20,0.5,Residence: Rural,IG-40,0.8,Residence: Rural,Average,0.565
ToiletType: Improved,MRMR,0,ToiletType: Improved,CFS,0,ToiletType: Improved,IG-20,0.14,ToiletType: Improved,IG-40,0.46,ToiletType: Improved,Average,0.15
HIV Status: Positive,MRMR,0,HIV Status: Positive,CFS,0,HIV Status: Positive,IG-20,0,HIV Status: Positive,IG-40,0.1,HIV Status: Positive,Average,0.025
HouseholdAmenities: Yes,MRMR,0,HouseholdAmenities: Yes,CFS,1,HouseholdAmenities: Yes,IG-20,0.68,HouseholdAmenities: Yes,IG-40,0.94,HouseholdAmenities: Yes,Average,0.655
Transportation,MRMR,0,Transportation,CFS,0,Transportation,IG-20,0.06,Transportation,IG-40,0.26,Transportation,Average,0.08
FloorType: Dirt,MRMR,0,FloorType: Dirt,CFS,0,FloorType: Dirt,IG-20,0.36,FloorType: Dirt,IG-40,0.8,FloorType: Dirt,Average,0.29
HouseholdHead: Female,MRMR,0,HouseholdHead: Female,CFS,0,HouseholdHead: Female,IG-20,0.02,HouseholdHead: Female,IG-40,0.18,HouseholdHead: Female,Average,0.05
Breastfeeding,MRMR,0,Breastfeeding,CFS,0,Breastfeeding,IG-20,0.1,Breastfeeding,IG-40,0.48,Breastfeeding,Average,0.145
Pregnant,MRMR,0.8,Pregnant,CFS,0,Pregnant,IG-20,0.02,Pregnant,IG-40,0.38,Pregnant,Average,0.3
MenstruatedInLast6Weeks,MRMR,0,MenstruatedInLast6Weeks,CFS,0,MenstruatedInLast6Weeks,IG-20,0.08,MenstruatedInLast6Weeks,IG-40,0.44,MenstruatedInLast6Weeks,Average,0.13
Married,MRMR,0,Married,CFS,0.2,Married,IG-20,0.16,Married,IG-40,0.58,Married,Average,0.235
IronSupplementedDuringPregnancy,MRMR,0,IronSupplementedDuringPregnancy,CFS,0,IronSupplementedDuringPregnancy,IG-20,0.16,IronSupplementedDuringPregnancy,IG-40,0.56,IronSupplementedDuringPregnancy,Average,0.18
