,MRMR4,IG-784,IG-781,MRMR3,MRMR2,IG-780,IG-782,MRMR0,MRMR1,IG-783,CFS1,CFS0,CFS2,CFS3,CFS4,IG-201,IG-604,IG-200,IG-202,IG-404,IG-203,IG-401,IG-603,IG-602,IG-400,IG-204,IG-402,IG-600,IG-601,IG-403
0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.2,0.2,1.0,0.3,0.7,0.9,0.9,0.7,0.5,0.7,1.0,1.0,0.9
1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.1,0.1,0.0,1.0,1.0,0.9,0.8,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.6,0.3,0.3,1.0,0.8,0.4,0.1,0.5,1.0,0.8,0.6
4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.2,0.2,0.7,0.4,0.7,0.9,0.8,0.7,0.5,0.5,0.9,1.0,0.8
5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.9,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.9,0.2,0.3,0.7,0.6,1.0,0.9,1.0,0.7,0.3,0.9,0.8,1.0,0.9
7,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.3,0.5,0.0,0.4,0.8,0.9,0.4,0.2,0.8,0.7,1.0,0.5
9,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.0,1.0,1.0,0.1,0.0,1.0,1.0,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3,0.3,0.3,0.4,0.2,0.8,1.0,0.9,0.7,0.9,0.7,1.0,1.0,1.0,1.0,0.7,0.9,1.0,1.0,1.0
12,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
13,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.6,0.8,0.9,0.5,1.0,1.0,1.0,1.0,0.4,0.8,1.0,1.0,0.7
14,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.6,0.8,0.9,0.7,0.9,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.8,0.3,0.6,0.4,0.8,1.0,1.0,1.0,0.5,0.7,1.0,1.0,0.9
16,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.1,0.1,0.4,0.2,0.4,0.8,0.8,0.4,0.2,0.7,0.6,0.8,0.4
17,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.2,0.5,0.4,0.0,0.0,0.1,0.2,0.4,0.1
18,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,0.7,0.9,0.8,1.0,1.0,0.9,1.0,0.8,0.9,1.0,1.0,0.9
19,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.1,0.0,0.2,0.0,0.2,0.7,0.3,0.4,0.0,0.0,0.8,0.5,0.5
20,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.3,0.5,0.5,0.3,0.8,1.0,0.9,0.9,0.4,0.9,1.0,1.0,0.9
21,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.5,0.1,0.1,0.5,0.7,0.1,0.0,0.1,0.3,0.4,0.1
22,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.2,0.5,0.0,0.3,1.0,0.8,0.4,0.3,0.6,0.8,0.6,0.6
23,0.9,1.0,1.0,0.8,0.8,1.0,1.0,0.7,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.6,0.0,0.3,0.7,0.6,0.4,0.0,0.3,0.8,0.7,0.3
24,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.1,0.1,0.5,0.0,0.6,0.7,0.5,0.2,0.1,0.4,0.9,0.7,0.5
