,Feature
1,All_Population_Count_2015
2,Annual_Precipitation_2015
3,Day_Land_Surface_Temp_2015
4,Diurnal_Temperature_Range_2015
5,Enhanced_Vegetation_Index_2015
6,Global_Human_Footprint
7,Gross_Cell_Production
8,Growing_Season_Length
9,Irrigation
10,ITN_Coverage_2015
11,Land_Surface_Temperature_2015
12,Malaria_Prevalence_2015
13,Mean_Temperature_2015
14,Nightlights_Composite
15,Proximity_to_Water
16,V025
17,HannahToilet
18,HIV
19,HouseholdAmenities
20,TransportationAccess
21,HannahFloor
22,V151
23,V404
24,V213
25,V216
26,HannahMaritalStatus
27,MaternalIronRecode
28,WaterTime_1.0
29,WaterTime_2.0
30,MaternalOccRecode_1.0
31,MaternalOccRecode_2.0
32,HusbandOccNew_1.0
33,HusbandOccNew_2.0
34,HannahReligion_1.0
35,HannahReligion_2.0
36,HannahReligion_3.0
37,HannahHouseholdNum_1.0
38,HannahHouseholdNum_2.0
39,V158_1.0
40,V158_2.0
41,V157_1.0
42,V157_2.0
43,V159_1.0
44,V159_2.0
45,V190_1.0
46,V190_2.0
47,V190_3.0
48,V190_4.0
49,HannahRecentBirths_1.0
50,HannahRecentBirths_2.0
51,HannahAllChildrenBorn_1.0
52,HannahAllChildrenBorn_2.0
53,HannahContraception_1.0
54,HannahContraception_2.0
55,HannahContraception_3.0
56,HannahBMI_1.0
57,HannahBMI_2.0
58,V106_1.0
59,V106_2.0
60,V106_3.0
61,HannahWater_1.0
62,HannahWater_2.0
63,V013_1.0
64,V013_2.0
65,V013_3.0
66,V013_4.0
67,V013_5.0
68,V013_6.0
69,V024_1.0
70,V024_2.0
71,V024_3.0
72,V024_4.0
73,V024_5.0
74,V024_6.0
75,V024_7.0
76,V024_8.0
77,V024_9.0
78,V024_10.0
