,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[1032, 24, 355, 38]","[1040, 16, 350, 43]","[1033, 23, 366, 27]","[1026, 30, 333, 60]","[1037, 19, 345, 48]","[1041, 15, 358, 35]",[10307   253  3513   416],[10278   282  3478   451],[10289   271  3509   420],[10259   301  3472   457],[10244   316  3454   475]
1,25,0.2,"[1025, 31, 336, 57]","[1014, 42, 311, 82]","[1017, 39, 351, 42]","[1007, 49, 300, 93]","[1023, 33, 329, 64]","[1018, 38, 320, 73]",[10135   425  3277   652],[10120   440  3277   652],[10107   453  3251   678],[10101   459  3247   682],[10093   467  3240   689]
2,25,0.3,"[1024, 32, 335, 58]","[1012, 44, 308, 85]","[1003, 53, 324, 69]","[1001, 55, 294, 99]","[1000, 56, 304, 89]","[1018, 38, 320, 73]",[10067   493  3185   744],[10072   488  3209   720],[10056   504  3178   751],[10051   509  3179   750],[10043   517  3169   760]
3,25,0.4,"[1024, 32, 333, 60]","[1011, 45, 308, 85]","[1003, 53, 324, 69]","[1002, 54, 296, 97]","[1000, 56, 304, 89]","[1018, 38, 320, 73]",[10066   494  3185   744],[10080   480  3214   715],[10041   519  3166   763],[10054   506  3176   753],[10036   524  3155   774]
4,25,0.5,"[1025, 31, 333, 60]","[1012, 44, 307, 86]","[1015, 41, 345, 48]","[1002, 54, 295, 98]","[1000, 56, 304, 89]","[1018, 38, 320, 73]",[10079   481  3204   725],[10084   476  3197   732],[10037   523  3156   773],[10052   508  3167   762],[10040   520  3149   780]
5,50,0.1,"[1026, 30, 336, 57]","[1015, 41, 311, 82]","[1017, 39, 351, 42]","[1008, 48, 300, 93]","[1023, 33, 329, 64]","[1018, 38, 320, 73]",[10138   422  3277   652],[10126   434  3288   641],[10109   451  3253   676],[10115   445  3266   663],[10104   456  3245   684]
6,50,0.2,"[1024, 32, 333, 60]","[1011, 45, 308, 85]","[1003, 53, 324, 69]","[1002, 54, 296, 97]","[1000, 56, 304, 89]","[1018, 38, 320, 73]",[10066   494  3185   744],[10080   480  3214   715],[10041   519  3166   763],[10053   507  3176   753],[10036   524  3155   774]
7,50,0.3,"[1024, 32, 333, 60]","[1013, 43, 305, 88]","[1015, 41, 343, 50]","[1004, 52, 295, 98]","[999, 57, 304, 89]","[1017, 39, 320, 73]",[10078   482  3198   731],[10095   465  3208   721],[10030   530  3143   786],[10046   514  3161   768],[10050   510  3156   773]
8,50,0.4,"[1023, 33, 330, 63]","[1011, 45, 304, 89]","[1010, 46, 341, 52]","[1003, 53, 295, 98]","[1018, 38, 326, 67]","[1011, 45, 312, 81]",[10078   482  3199   730],[10087   473  3204   725],[10043   517  3152   777],[10057   503  3170   759],[10039   521  3151   778]
9,50,0.5,"[1023, 33, 329, 64]","[1011, 45, 304, 89]","[1010, 46, 341, 52]","[1000, 56, 293, 100]","[1018, 38, 326, 67]","[1011, 45, 312, 81]",[10075   485  3195   734],[10069   491  3197   732],[10033   527  3139   790],[10048   512  3167   762],[10036   524  3147   782]
10,75,0.1,"[1024, 32, 335, 58]","[1012, 44, 308, 85]","[1003, 53, 324, 69]","[1001, 55, 294, 99]","[1000, 56, 304, 89]","[1018, 38, 320, 73]",[10067   493  3185   744],[10072   488  3209   720],[10056   504  3178   751],[10052   508  3180   749],[10043   517  3169   760]
11,75,0.2,"[1024, 32, 333, 60]","[1013, 43, 305, 88]","[1015, 41, 343, 50]","[1004, 52, 295, 98]","[999, 57, 304, 89]","[1017, 39, 320, 73]",[10078   482  3198   731],[10094   466  3208   721],[10030   530  3143   786],[10046   514  3161   768],[10050   510  3156   773]
12,75,0.3,"[1023, 33, 329, 64]","[1011, 45, 304, 89]","[1010, 46, 341, 52]","[1001, 55, 294, 99]","[1018, 38, 326, 67]","[1011, 45, 312, 81]",[10076   484  3197   732],[10084   476  3201   728],[10037   523  3144   785],[10054   506  3165   764],[10040   520  3152   777]
13,75,0.4,"[1023, 33, 329, 64]","[1010, 46, 301, 92]","[1010, 46, 341, 52]","[1000, 56, 292, 101]","[1018, 38, 326, 67]","[1011, 45, 312, 81]",[10072   488  3188   741],[10056   504  3188   741],[10042   518  3156   773],[10043   517  3160   769],[10032   528  3142   787]
14,75,0.5,"[1017, 39, 325, 68]","[1010, 46, 301, 92]","[1010, 46, 341, 52]","[1000, 56, 294, 99]","[1018, 38, 326, 67]","[1008, 48, 309, 84]",[10052   508  3177   752],[10049   511  3180   749],[10024   536  3145   784],[10029   531  3146   783],[10011   549  3124   805]
