,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[1032, 24, 355, 38]",0.7398164124508249,0.609665222960967,0.11295495036905065,0.19050485351315113
1,25,0.2,"[1025, 31, 336, 57]",0.7441369314652495,0.5991332962127209,0.17067956222957495,0.2656414947357339
2,25,0.3,"[1024, 32, 335, 58]",0.745586306853475,0.597348750079693,0.18961567828964113,0.2878387268964997
3,25,0.4,"[1024, 32, 333, 60]",0.7457519497549865,0.597771039995291,0.19083736319674216,0.28926843715113326
4,25,0.5,"[1025, 31, 333, 60]",0.746276485609773,0.600714348907901,0.19200814456604734,0.29094435125972734
5,50,0.1,"[1026, 30, 336, 57]",0.7441231278901235,0.6003106817669652,0.16879613133112753,0.2634742743789712
6,50,0.2,"[1024, 32, 333, 60]",0.7457381461798606,0.5976761044833578,0.19083736319674216,0.2892572486649622
7,50,0.3,"[1024, 32, 333, 60]",0.7464697356615363,0.601877288594544,0.1923644693306185,0.29146787435785027
8,50,0.4,"[1023, 33, 330, 63]",0.7464007177859067,0.6016595514048804,0.19185543395265972,0.2908790837560992
9,50,0.5,"[1023, 33, 329, 64]",0.7462350748843951,0.5994800599078546,0.1934334436243319,0.29243378472441744
10,75,0.1,"[1024, 32, 335, 58]",0.745586306853475,0.5973792070030509,0.18956477475184524,0.2877838968740295
11,75,0.2,"[1024, 32, 333, 60]",0.7464559320864104,0.6017748579625285,0.1923644693306185,0.29145685340657856
12,75,0.3,"[1023, 33, 329, 64]",0.7464559320864105,0.6014854686643701,0.1927207940951896,0.29185097489360434
13,75,0.4,"[1023, 33, 329, 64]",0.7461660570087653,0.5986655797607069,0.19399338254008652,0.2929984939440876
14,75,0.5,"[1017, 39, 325, 68]",0.7459175926564982,0.5951268716265378,0.1971494018834309,0.2961380246633484
