,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[1025, 31, 331, 62]","[1025, 31, 332, 61]","[1030, 26, 353, 40]","[1015, 41, 316, 77]","[1019, 37, 327, 66]","[1020, 36, 336, 57]",[10208   352  3354   575],[10204   356  3355   574],[10219   341  3365   564],[10201   359  3358   571],[10202   358  3336   593]
1,25,0.2,"[1016, 40, 319, 74]","[1018, 38, 312, 81]","[1009, 47, 333, 60]","[1002, 54, 296, 97]","[1002, 54, 319, 74]","[1014, 42, 318, 75]",[10084   476  3192   737],[10092   468  3203   726],[10096   464  3206   723],[10087   473  3202   727],[10081   479  3193   736]
2,25,0.3,"[1013, 43, 314, 79]","[1017, 39, 311, 82]","[1004, 52, 330, 63]","[999, 57, 296, 97]","[1002, 54, 315, 78]","[1011, 45, 316, 77]",[10055   505  3166   763],[10060   500  3165   764],[10065   495  3169   760],[10054   506  3173   756],[10057   503  3158   771]
3,25,0.4,"[1014, 42, 314, 79]","[1014, 42, 309, 84]","[1002, 54, 325, 68]","[998, 58, 294, 99]","[1000, 56, 313, 80]","[1009, 47, 313, 80]",[10035   525  3142   787],[10051   509  3151   778],[10055   505  3148   781],[10040   520  3150   779],[10047   513  3138   791]
4,25,0.5,"[1054, 2, 388, 5]","[1054, 2, 385, 8]","[1054, 2, 389, 4]","[1038, 18, 353, 40]","[1019, 37, 325, 68]","[1032, 24, 352, 41]",[10398   162  3651   278],[10386   174  3640   289],[10370   190  3582   347],[10460   100  3759   170],[10359   201  3581   348]
5,50,0.1,"[1016, 40, 319, 74]","[1019, 37, 312, 81]","[1009, 47, 333, 60]","[1003, 53, 297, 96]","[1002, 54, 319, 74]","[1014, 42, 318, 75]",[10087   473  3195   734],[10094   466  3204   725],[10099   461  3210   719],[10096   464  3207   722],[10084   476  3194   735]
6,50,0.2,"[1014, 42, 314, 79]","[1014, 42, 310, 83]","[1002, 54, 325, 68]","[998, 58, 294, 99]","[1000, 56, 313, 80]","[1009, 47, 314, 79]",[10035   525  3144   785],[10051   509  3150   779],[10054   506  3150   779],[10041   519  3152   777],[10047   513  3140   789]
7,50,0.3,"[1017, 39, 310, 83]","[1013, 43, 306, 87]","[997, 59, 324, 69]","[997, 59, 295, 98]","[1000, 56, 312, 81]","[1008, 48, 311, 82]",[10031   529  3117   812],[10034   526  3115   814],[10027   533  3126   803],[10031   529  3114   815],[10034   526  3126   803]
8,50,0.4,"[1015, 41, 309, 84]","[1010, 46, 304, 89]","[997, 59, 323, 70]","[996, 60, 296, 97]","[999, 57, 310, 83]","[1008, 48, 311, 82]",[10020   540  3111   818],[10028   532  3101   828],[10020   540  3109   820],[10026   534  3107   822],[10025   535  3104   825]
9,50,0.5,"[858, 198, 211, 182]","[895, 161, 214, 179]","[863, 193, 208, 185]","[976, 80, 270, 123]","[994, 62, 305, 88]","[988, 68, 293, 100]",[9169 1391 2497 1432],[8619 1941 2298 1631],[9345 1215 2612 1317],[8589 1971 2251 1678],[9358 1202 2599 1330]
10,75,0.1,"[1013, 43, 314, 79]","[1017, 39, 311, 82]","[1005, 51, 331, 62]","[999, 57, 295, 98]","[1002, 54, 315, 78]","[1011, 45, 315, 78]",[10057   503  3165   764],[10063   497  3168   761],[10066   494  3170   759],[10055   505  3172   757],[10060   500  3159   770]
11,75,0.2,"[1017, 39, 311, 82]","[1013, 43, 306, 87]","[997, 59, 323, 70]","[997, 59, 295, 98]","[1000, 56, 312, 81]","[1008, 48, 310, 83]",[10031   529  3116   813],[10034   526  3115   814],[10028   532  3126   803],[10031   529  3114   815],[10034   526  3126   803]
12,75,0.3,"[1014, 42, 309, 84]","[1009, 47, 303, 90]","[996, 60, 323, 70]","[996, 60, 296, 97]","[998, 58, 310, 83]","[1009, 47, 310, 83]",[10017   543  3106   823],[10025   535  3098   831],[10018   542  3099   830],[10023   537  3100   829],[10026   534  3096   833]
13,75,0.4,"[1014, 42, 307, 86]","[1007, 49, 300, 93]","[995, 61, 322, 71]","[994, 62, 295, 98]","[998, 58, 307, 86]","[1009, 47, 311, 82]",[10014   546  3089   840],[10017   543  3081   848],[10003   557  3090   839],[10012   548  3074   855],[10010   550  3084   845]
14,75,0.5,"[1052, 4, 381, 12]","[1049, 7, 374, 19]","[1053, 3, 381, 12]","[1014, 42, 312, 81]","[997, 59, 309, 84]","[1014, 42, 323, 70]",[10299   261  3501   428],[10301   259  3503   426],[10272   288  3419   510],[10365   195  3612   317],[10243   317  3403   526]
