,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[1025, 31, 331, 62]",0.7441645386155014,0.6196443687520884,0.1464494782387376,0.2368981457449591
1,25,0.2,"[1016, 40, 319, 74]",0.7466215749879218,0.6072635840530837,0.1857470094171545,0.28447478947278043
2,25,0.3,"[1013, 43, 314, 79]",0.7468424321899372,0.6031945493764733,0.19414609315347414,0.29374478093732526
3,25,0.4,"[1014, 42, 314, 79]",0.7473807716198496,0.603590163022236,0.19933825400865363,0.29969616467405313
4,25,0.5,"[1054, 2, 388, 5]",0.7371799296017668,0.63314003060158,0.0728938661236956,0.13013153488763124
5,50,0.1,"[1016, 40, 319, 74]",0.7467043964386777,0.6083757766651366,0.1850343598880122,0.28375838228648587
6,50,0.2,"[1014, 42, 314, 79]",0.7472841465939679,0.603160761439735,0.19898192924408248,0.2992409797599299
7,50,0.3,"[1017, 39, 310, 83]",0.748208986127407,0.6049282729475077,0.20600661745991347,0.30734618783180057
8,50,0.4,"[1015, 41, 309, 84]",0.7485954862309339,0.6053866899373561,0.20936625095444134,0.311131145877975
9,50,0.5,"[858, 198, 211, 182]",0.7242459797087445,0.49382787535598227,0.3760753372359379,0.4242569369060167
10,75,0.1,"[1013, 43, 314, 79]",0.7469390572158188,0.6039629223389706,0.19399338254008655,0.29366095507624285
11,75,0.2,"[1017, 39, 311, 82]",0.7482365932776589,0.605077107701053,0.20605752099770935,0.3074219715341297
12,75,0.3,"[1014, 42, 309, 84]",0.7489129684588308,0.6064071594173953,0.21104606770170528,0.31311828261323515
13,75,0.4,"[1014, 42, 307, 86]",0.7492994685623576,0.6063680012521883,0.21516925426317127,0.3176273181110535
14,75,0.5,"[1052, 4, 381, 12]",0.7410725377872869,0.6250576701072241,0.11234410791550013,0.18980239692796005
