,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
1,25,0.2,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
2,25,0.3,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10555     5  3921     8],[10560     0  3929     0],[10555     5  3923     6],[10560     0  3929     0]
3,25,0.4,"[1053, 3, 390, 3]","[1051, 5, 386, 7]","[1051, 5, 386, 7]","[1052, 4, 382, 11]","[1056, 0, 393, 0]","[1052, 4, 390, 3]",[10526    34  3874    55],[10520    40  3858    71],[10525    35  3862    67],[10524    36  3871    58],[10522    38  3852    77]
4,25,0.5,"[1053, 3, 390, 3]","[1049, 7, 383, 10]","[1051, 5, 386, 7]","[1051, 5, 380, 13]","[1056, 0, 393, 0]","[1051, 5, 389, 4]",[10522    38  3866    63],[10516    44  3851    78],[10522    38  3856    73],[10519    41  3865    64],[10516    44  3842    87]
5,50,0.1,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
6,50,0.2,"[1053, 3, 390, 3]","[1051, 5, 386, 7]","[1051, 5, 386, 7]","[1052, 4, 382, 11]","[1056, 0, 393, 0]","[1052, 4, 390, 3]",[10526    34  3874    55],[10520    40  3858    71],[10525    35  3862    67],[10524    36  3871    58],[10522    38  3853    76]
7,50,0.3,"[1031, 25, 348, 45]","[1025, 31, 336, 57]","[1025, 31, 354, 39]","[1028, 28, 327, 66]","[1056, 0, 393, 0]","[1031, 25, 347, 46]",[10304   256  3488   441],[10275   285  3443   486],[10291   269  3488   441],[10325   235  3548   381],[10274   286  3440   489]
8,50,0.4,"[1031, 25, 348, 45]","[1025, 31, 336, 57]","[1015, 41, 349, 44]","[1028, 28, 327, 66]","[1056, 0, 393, 0]","[1031, 25, 347, 46]",[10294   266  3483   446],[10267   293  3438   491],[10266   294  3431   498],[10306   254  3501   428],[10274   286  3440   489]
9,50,0.5,"[1026, 30, 340, 53]","[1013, 43, 319, 74]","[1012, 44, 349, 44]","[1015, 41, 318, 75]","[1056, 0, 393, 0]","[1018, 38, 329, 64]",[10203   357  3379   550],[10170   390  3306   623],[10161   399  3296   633],[10193   367  3371   558],[10161   399  3316   613]
10,75,0.1,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10555     5  3923     6],[10560     0  3929     0]
11,75,0.2,"[1031, 25, 348, 45]","[1025, 31, 336, 57]","[1025, 31, 354, 39]","[1028, 28, 327, 66]","[1056, 0, 393, 0]","[1031, 25, 347, 46]",[10304   256  3488   441],[10275   285  3443   486],[10291   269  3488   441],[10325   235  3548   381],[10274   286  3440   489]
12,75,0.3,"[1026, 30, 340, 53]","[1018, 38, 331, 62]","[1015, 41, 349, 44]","[1028, 28, 327, 66]","[1056, 0, 393, 0]","[1031, 25, 347, 46]",[10259   301  3450   479],[10227   333  3396   533],[10234   326  3402   527],[10275   285  3472   457],[10225   335  3396   533]
13,75,0.4,"[1026, 30, 340, 53]","[1013, 43, 319, 74]","[1012, 44, 349, 44]","[1015, 41, 315, 78]","[1056, 0, 393, 0]","[1018, 38, 329, 64]",[10196   364  3361   568],[10150   410  3276   653],[10146   414  3279   650],[10185   375  3349   580],[10146   414  3273   656]
14,75,0.5,"[1025, 31, 338, 55]","[1013, 43, 319, 74]","[1008, 48, 339, 54]","[1015, 41, 315, 78]","[1056, 0, 393, 0]","[1018, 38, 329, 64]",[10190   370  3349   580],[10150   410  3276   653],[10146   414  3278   651],[10185   375  3349   580],[10146   414  3273   656]
