,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[1056, 0, 393, 0]",0.7288287666505625,0.0,0.0,0.0
1,25,0.2,"[1056, 0, 393, 0]",0.7288287666505625,0.0,0.0,0.0
2,25,0.3,"[1056, 0, 393, 0]",0.7288839809510664,0.23216783216783216,0.0007126495291422754,0.001420907730621937
3,25,0.4,"[1053, 3, 390, 3]",0.7308302850438263,0.6402132813629231,0.016696360397047597,0.03253660039932248
4,25,0.5,"[1053, 3, 390, 3]",0.7310373386707157,0.6388820486237506,0.01857979129549504,0.036100113607596886
5,50,0.1,"[1056, 0, 393, 0]",0.7288287666505625,0.0,0.0,0.0
6,50,0.2,"[1053, 3, 390, 3]",0.7308164814687004,0.6396335712179956,0.01664545685925172,0.03243954777047331
7,50,0.3,"[1031, 25, 348, 45]",0.7413486092898062,0.6267325623583492,0.1139221175871723,0.1926324201523693
8,50,0.4,"[1031, 25, 348, 45]",0.7420663951963558,0.6280003215428318,0.11972512089590226,0.20101665101476107
9,50,0.5,"[1026, 30, 340, 53]",0.7435295741597074,0.6087492410450205,0.15153983201832527,0.24256344515345227
10,75,0.1,"[1056, 0, 393, 0]",0.7288425702256884,0.10909090909090909,0.0003054212267752609,0.0006091370558375636
11,75,0.2,"[1031, 25, 348, 45]",0.7413486092898062,0.6267325623583492,0.1139221175871723,0.1926324201523693
12,75,0.3,"[1026, 30, 340, 53]",0.7419283594450963,0.615470746087339,0.1287350470857725,0.21281253380388115
13,75,0.4,"[1026, 30, 340, 53]",0.7444268065428946,0.6110114848292019,0.15815729193178926,0.2511285196556515
14,75,0.5,"[1025, 31, 338, 55]",0.7445234315687763,0.6113014059688704,0.15881903792313565,0.25200956224380416
