,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[1012, 44, 311, 82]",0.7474497894954792,0.599823349917674,0.2063629422244846,0.3070665018078363
1,200,7,"[1008, 48, 304, 89]",0.7482365932776589,0.5972136113136602,0.21990328327818784,0.3214388109101226
2,200,10,"[1003, 53, 298, 95]",0.7454896818275933,0.5776452472796227,0.22865869177907863,0.32761787947084897
3,300,5,"[1012, 44, 311, 82]",0.7474359859203533,0.5987773829455929,0.20799185543395265,0.30872966770341986
4,300,7,"[1013, 43, 311, 82]",0.748222789702533,0.5977151112987128,0.21883430898447442,0.32036776695990105
5,300,10,"[1005, 51, 302, 91]",0.7453378425012078,0.5773229655767895,0.2274370068719776,0.32630380480704
6,400,5,"[1012, 44, 311, 82]",0.7476568431223687,0.5997793191749783,0.20870450496309495,0.309653814232336
7,400,7,"[1013, 43, 311, 82]",0.7482642004279108,0.5973979614577216,0.21985237974039196,0.3214113613319305
8,400,10,"[1005, 51, 302, 91]",0.7454482711022155,0.5778665747920505,0.22753881394756936,0.3265011497788083
9,500,5,"[1012, 44, 311, 82]",0.7477258609979984,0.6000993485415052,0.20895902265207433,0.30997236658635
10,500,7,"[1008, 48, 304, 89]",0.748222789702533,0.5969858043947037,0.2201578009671672,0.32167931138044986
11,500,10,"[1004, 52, 301, 92]",0.7452274139002002,0.5762777324541537,0.22855688470348695,0.3272917373187795
