,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[1012, 44, 311, 82]","[1020, 36, 318, 75]","[1001, 55, 318, 75]","[998, 58, 299, 94]","[989, 67, 296, 97]","[1013, 43, 316, 77]",[10022   538  3133   796],[10033   527  3121   808],[10021   539  3119   810],[10021   539  3115   814],[9998  562 3103  826]
1,200,7,"[1008, 48, 304, 89]","[1001, 55, 299, 94]","[1001, 55, 316, 77]","[994, 62, 291, 102]","[985, 71, 296, 97]","[1005, 51, 308, 85]",[9967  593 3066  863],[9983  577 3052  877],[9986  574 3070  859],[9991  569 3072  857],[9959  601 3065  864]
2,200,10,"[1003, 53, 298, 95]","[992, 64, 298, 95]","[997, 59, 310, 83]","[994, 62, 287, 106]","[976, 80, 291, 102]","[994, 62, 299, 94]",[9907  653 3027  902],[9918  642 3025  904],[9899  661 3026  903],[9915  645 3046  883],[9876  684 3029  900]
3,300,5,"[1012, 44, 311, 82]","[1012, 44, 305, 88]","[1001, 55, 318, 75]","[1002, 54, 299, 94]","[990, 66, 300, 93]","[1012, 44, 313, 80]",[10014   546  3119   810],[10010   550  3097   832],[10018   542  3124   805],[10023   537  3117   812],[9997  563 3102  827]
4,300,7,"[1013, 43, 311, 82]","[1001, 55, 299, 94]","[1001, 55, 316, 77]","[994, 62, 293, 100]","[985, 71, 296, 97]","[1005, 51, 308, 85]",[9971  589 3074  855],[9996  564 3063  866],[9985  575 3069  860],[9994  566 3074  855],[9960  600 3066  863]
5,300,10,"[1005, 51, 302, 91]","[996, 60, 300, 93]","[997, 59, 310, 83]","[996, 60, 288, 105]","[976, 80, 291, 102]","[996, 60, 299, 94]",[9927  633 3041  888],[9921  639 3025  904],[9888  672 3021  908],[9912  648 3053  876],[9880  680 3037  892]
6,400,5,"[1012, 44, 311, 82]","[1015, 41, 309, 84]","[1000, 56, 318, 75]","[1002, 54, 299, 94]","[990, 66, 300, 93]","[1013, 43, 316, 77]",[10011   549  3116   813],[10019   541  3101   828],[10018   542  3110   819],[10018   542  3115   814],[9998  562 3103  826]
7,400,7,"[1013, 43, 311, 82]","[1001, 55, 298, 95]","[1001, 55, 316, 77]","[994, 62, 292, 101]","[985, 71, 296, 97]","[1005, 51, 308, 85]",[9971  589 3072  857],[9983  577 3049  880],[9982  578 3066  863],[9994  566 3073  856],[9959  601 3066  863]
8,400,10,"[1005, 51, 302, 91]","[995, 61, 300, 93]","[995, 61, 300, 93]","[994, 62, 290, 103]","[975, 81, 291, 102]","[997, 59, 300, 93]",[9920  640 3035  894],[9923  637 3028  901],[9891  669 3023  906],[9916  644 3049  880],[9884  676 3040  889]
9,500,5,"[1012, 44, 311, 82]","[1015, 41, 308, 85]","[1000, 56, 318, 75]","[1002, 54, 298, 95]","[990, 66, 300, 93]","[1016, 40, 316, 77]",[10013   547  3112   817],[10025   535  3106   823],[10004   556  3100   829],[10026   534  3117   812],[9996  564 3105  824]
10,500,7,"[1008, 48, 304, 89]","[1000, 56, 298, 95]","[1001, 55, 316, 77]","[994, 62, 292, 101]","[985, 71, 296, 97]","[1006, 50, 308, 85]",[9966  594 3066  863],[9984  576 3049  880],[9978  582 3066  863],[9991  569 3072  857],[9961  599 3067  862]
11,500,10,"[1004, 52, 301, 92]","[994, 62, 300, 93]","[995, 61, 300, 93]","[995, 61, 289, 104]","[975, 81, 291, 102]","[997, 59, 300, 93]",[9915  645 3029  900],[9917  643 3028  901],[9880  680 3015  914],[9905  655 3042  887],[9881  679 3041  888]
