,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[1014, 42, 308, 85]","[1006, 50, 303, 90]","[1006, 50, 316, 77]","[998, 58, 292, 101]","[990, 66, 299, 94]","[1011, 45, 312, 81]",[10003   557  3080   849],[10016   544  3075   854],[10026   534  3097   832],[10030   530  3082   847],[9985  575 3079  850]
1,200,7,"[1014, 42, 309, 84]","[1007, 49, 305, 88]","[1002, 54, 313, 80]","[991, 65, 286, 107]","[995, 61, 297, 96]","[1007, 49, 309, 84]",[9999  561 3062  867],[10012   548  3066   863],[10026   534  3066   863],[10017   543  3077   852],[9979  581 3062  867]
2,200,10,"[1011, 45, 307, 86]","[999, 57, 306, 87]","[1000, 56, 310, 83]","[989, 67, 290, 103]","[988, 68, 292, 101]","[1002, 54, 303, 90]",[9959  601 3025  904],[9958  602 3011  918],[9950  610 3021  908],[9962  598 3041  888],[9931  629 3008  921]
3,300,5,"[1014, 42, 308, 85]","[1012, 44, 303, 90]","[1003, 53, 313, 80]","[997, 59, 291, 102]","[990, 66, 297, 96]","[1010, 46, 311, 82]",[10006   554  3073   856],[10017   543  3076   853],[10020   540  3092   837],[10035   525  3087   842],[9988  572 3073  856]
4,300,7,"[1013, 43, 308, 85]","[1006, 50, 305, 88]","[1001, 55, 312, 81]","[992, 64, 286, 107]","[994, 62, 295, 98]","[1008, 48, 309, 84]",[9998  562 3056  873],[10017   543  3067   862],[10023   537  3066   863],[10018   542  3071   858],[9985  575 3059  870]
5,300,10,"[1012, 44, 306, 87]","[998, 58, 308, 85]","[1000, 56, 310, 83]","[990, 66, 287, 106]","[989, 67, 292, 101]","[1001, 55, 304, 89]",[9959  601 3025  904],[9966  594 3004  925],[9964  596 3028  901],[9963  597 3037  892],[9931  629 3006  923]
6,400,5,"[1014, 42, 308, 85]","[1012, 44, 302, 91]","[1003, 53, 312, 81]","[998, 58, 291, 102]","[989, 67, 296, 97]","[1010, 46, 311, 82]",[10006   554  3071   858],[10019   541  3075   854],[10021   539  3088   841],[10027   533  3079   850],[9993  567 3076  853]
7,400,7,"[1014, 42, 307, 86]","[1006, 50, 304, 89]","[1003, 53, 312, 81]","[992, 64, 286, 107]","[995, 61, 297, 96]","[1007, 49, 309, 84]",[10007   553  3057   872],[10014   546  3064   865],[10024   536  3069   860],[10021   539  3071   858],[9985  575 3063  866]
8,400,10,"[1012, 44, 305, 88]","[997, 59, 308, 85]","[1000, 56, 309, 84]","[991, 65, 288, 105]","[989, 67, 296, 97]","[1002, 54, 304, 89]",[9962  598 3027  902],[9967  593 3004  925],[9965  595 3034  895],[9960  600 3038  891],[9938  622 3007  922]
9,500,5,"[1014, 42, 308, 85]","[1012, 44, 302, 91]","[1004, 52, 313, 80]","[996, 60, 291, 102]","[991, 65, 298, 95]","[1010, 46, 311, 82]",[10007   553  3072   857],[10018   542  3073   856],[10015   545  3088   841],[10028   532  3081   848],[9993  567 3075  854]
10,500,7,"[1014, 42, 308, 85]","[1007, 49, 301, 92]","[1003, 53, 312, 81]","[992, 64, 286, 107]","[994, 62, 296, 97]","[1008, 48, 309, 84]",[10008   552  3056   873],[10014   546  3066   863],[10018   542  3070   859],[10020   540  3074   855],[9983  577 3064  865]
11,500,10,"[1012, 44, 305, 88]","[997, 59, 308, 85]","[999, 57, 309, 84]","[990, 66, 288, 105]","[990, 66, 294, 99]","[1001, 55, 304, 89]",[9956  604 3025  904],[9965  595 3005  924],[9962  598 3032  897],[9961  599 3038  891],[9934  626 3005  924]
