,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[1015, 41, 315, 78]","[1010, 46, 304, 89]","[1012, 44, 320, 73]","[1004, 52, 292, 101]","[995, 61, 302, 91]","[1012, 44, 313, 80]",[10048   512  3107   822],[10049   511  3115   814],[10052   508  3121   808],[10050   510  3117   812],[10032   528  3103   826]
1,200,7,"[1013, 43, 311, 82]","[1006, 50, 304, 89]","[1002, 54, 314, 79]","[1001, 55, 289, 104]","[987, 69, 293, 100]","[1007, 49, 308, 85]",[10003   557  3060   869],[10011   549  3072   857],[10032   528  3089   840],[10018   542  3077   852],[9992  568 3066  863]
2,200,10,"[1014, 42, 310, 83]","[996, 60, 299, 94]","[1004, 52, 302, 91]","[996, 60, 291, 102]","[995, 61, 297, 96]","[1005, 51, 300, 93]",[9987  573 3032  897],[9982  578 3018  911],[10011   549  3042   887],[9987  573 3023  906],[9987  573 3042  887]
3,300,5,"[1016, 40, 315, 78]","[1010, 46, 305, 88]","[1012, 44, 319, 74]","[1004, 52, 294, 99]","[994, 62, 302, 91]","[1012, 44, 316, 77]",[10045   515  3111   818],[10047   513  3114   815],[10053   507  3126   803],[10047   513  3115   814],[10035   525  3108   821]
4,300,7,"[1014, 42, 311, 82]","[1008, 48, 303, 90]","[1004, 52, 315, 78]","[1001, 55, 292, 101]","[987, 69, 295, 98]","[1009, 47, 309, 84]",[10013   547  3068   861],[10014   546  3069   860],[10027   533  3089   840],[10020   540  3082   847],[10000   560  3070   859]
5,300,10,"[1013, 43, 309, 84]","[997, 59, 298, 95]","[1003, 53, 302, 91]","[999, 57, 290, 103]","[992, 64, 298, 95]","[1006, 50, 299, 94]",[9982  578 3024  905],[9978  582 3022  907],[10003   557  3043   886],[9987  573 3021  908],[9984  576 3040  889]
6,400,5,"[1015, 41, 315, 78]","[1008, 48, 304, 89]","[1011, 45, 318, 75]","[1004, 52, 295, 98]","[994, 62, 300, 93]","[1013, 43, 316, 77]",[10045   515  3114   815],[10045   515  3110   819],[10056   504  3128   801],[10052   508  3114   815],[10034   526  3111   818]
7,400,7,"[1014, 42, 311, 82]","[1006, 50, 302, 91]","[1004, 52, 314, 79]","[1001, 55, 289, 104]","[987, 69, 294, 99]","[1009, 47, 307, 86]",[10011   549  3060   869],[10013   547  3064   865],[10028   532  3089   840],[10016   544  3088   841],[10001   559  3067   862]
8,400,10,"[1015, 41, 311, 82]","[998, 58, 298, 95]","[1004, 52, 303, 90]","[999, 57, 288, 105]","[994, 62, 296, 97]","[1005, 51, 298, 95]",[9993  567 3024  905],[9988  572 3019  910],[10008   552  3042   887],[9980  580 3025  904],[9984  576 3036  893]
9,500,5,"[1016, 40, 314, 79]","[1008, 48, 304, 89]","[1010, 46, 318, 75]","[1004, 52, 295, 98]","[995, 61, 301, 92]","[1013, 43, 316, 77]",[10045   515  3111   818],[10042   518  3111   818],[10054   506  3125   804],[10052   508  3119   810],[10036   524  3110   819]
10,500,7,"[1013, 43, 311, 82]","[1006, 50, 302, 91]","[1003, 53, 314, 79]","[1000, 56, 288, 105]","[986, 70, 294, 99]","[1009, 47, 309, 84]",[10008   552  3061   868],[10008   552  3069   860],[10028   532  3088   841],[10023   537  3088   841],[9995  565 3067  862]
11,500,10,"[1013, 43, 310, 83]","[995, 61, 298, 95]","[1003, 53, 304, 89]","[997, 59, 288, 105]","[993, 63, 297, 96]","[1005, 51, 299, 94]",[9985  575 3028  901],[9979  581 3021  908],[10002   558  3045   884],[9983  577 3025  904],[9990  570 3034  895]
