,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[1020, 36, 320, 73]",0.7496169507902547,0.6217556571847479,0.19572410282514635,0.29772003911770895
1,200,7,"[1015, 41, 313, 80]",0.7503071295465527,0.6135811543918411,0.21394756935607026,0.31726702570410337
2,200,10,"[1016, 40, 307, 86]",0.7512043619297397,0.6127196271345199,0.22428098752863326,0.3283641546827468
3,300,5,"[1019, 37, 319, 74]",0.7493684864379875,0.6203363821308086,0.19521506744718758,0.2969736688606168
4,300,7,"[1014, 42, 313, 80]",0.7501138794947891,0.6120733586168717,0.2143547976584373,0.31751081453380603
5,300,10,"[1014, 42, 306, 87]",0.7514942370073848,0.6139395205088289,0.225197251208959,0.3295223634570423
6,400,5,"[1019, 37, 319, 74]",0.7493408792877355,0.6202932336401663,0.1950114532960041,0.29673275525232967
7,400,7,"[1014, 42, 312, 81]",0.749810200842018,0.6105981995768174,0.21359124459149909,0.3164762250016243
8,400,10,"[1014, 42, 306, 87]",0.7515356477327628,0.6142716349553492,0.22504454059557139,0.32940521077194174
9,500,5,"[1019, 37, 319, 74]",0.7492442542618538,0.6199042958819433,0.19460422499363705,0.29621733651219395
10,500,7,"[1013, 43, 311, 82]",0.7497687901166401,0.6105582667044485,0.21323491982692797,0.31607829336914595
11,500,10,"[1014, 42, 306, 87]",0.7514114155566292,0.61379629853384,0.2245864087554085,0.3288446743677647
