,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[1021, 35, 327, 66]",0.7486230933811858,0.623428510756147,0.18437261389666584,0.28457828402540175
1,200,7,"[1015, 41, 310, 83]",0.7501552902201671,0.614318611160977,0.21135148892848052,0.31449554880398206
2,200,10,"[1016, 40, 309, 84]",0.7512595762302436,0.613704865946574,0.22326291677271567,0.3274122469445537
3,300,5,"[1021, 35, 325, 68]",0.7485126647801781,0.6212751169372503,0.18595062356833802,0.28622474654340024
4,300,7,"[1014, 42, 310, 83]",0.7504589688729382,0.6155178917883226,0.21252227029778573,0.31595225783032826
5,300,10,"[1016, 40, 309, 84]",0.7513423976809994,0.6142434047022224,0.2232120132349198,0.3274340587263523
6,400,5,"[1021, 35, 324, 69]",0.7484022361791705,0.6200050093943649,0.18645965894629676,0.2866945096721076
7,400,7,"[1014, 42, 311, 82]",0.7505555938988199,0.6159859149280267,0.2127767879867651,0.3162956496740854
8,400,10,"[1013, 43, 309, 84]",0.7513700048312513,0.6140950905261131,0.2237210486128786,0.32795938577543654
9,500,5,"[1021, 35, 323, 70]",0.748195182552281,0.6194571547428708,0.18518707050139985,0.2851242521558078
10,500,7,"[1014, 42, 312, 81]",0.7505555938988198,0.6161231342273974,0.21257317383558155,0.316088748587355
11,500,10,"[1016, 40, 309, 84]",0.7513285941058735,0.6137741920083563,0.22382285568847035,0.3280234640362784
