,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[1009, 47, 321, 72]",0.7421354130719856,0.5775847605528359,0.18259099007381013,0.27740018089859025
1,200,7,"[1009, 47, 321, 72]",0.7420801987714818,0.5771983697457419,0.18259099007381013,0.2773587000842264
2,200,10,"[1009, 47, 321, 72]",0.7420801987714818,0.5771983697457419,0.18259099007381013,0.2773587000842264
3,300,5,"[1009, 47, 321, 72]",0.7420249844709781,0.576692966609947,0.1828964113005854,0.2776392256036283
4,300,7,"[1009, 47, 321, 72]",0.7419697701704743,0.5763067266318548,0.1828964113005854,0.27759774892315536
5,300,10,"[1009, 47, 321, 72]",0.7419973773207261,0.576501961381884,0.1828964113005854,0.27761828021022433
6,400,5,"[1009, 47, 321, 72]",0.7418593415694665,0.5753006823472796,0.18355815729193178,0.278233677252827
7,400,7,"[1009, 47, 321, 72]",0.7418041272689627,0.5749421286041942,0.1835072537541359,0.2781376296315391
8,400,10,"[1009, 47, 321, 72]",0.7418041272689627,0.5749421286041942,0.1835072537541359,0.2781376296315391
9,500,5,"[1009, 47, 321, 72]",0.7418731451445925,0.5753623191988324,0.18360906082972767,0.27829952360898585
10,500,7,"[1009, 47, 321, 72]",0.7418179308440886,0.5749795077910979,0.18360906082972767,0.2782580470109542
11,500,10,"[1009, 47, 321, 72]",0.7418455379943405,0.5751751185902239,0.18360906082972767,0.2782785636110902
