,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10037   523  3217   712],[10008   552  3187   742],[10020   540  3186   743],[10060   500  3262   667],[10052   508  3206   723]
1,200,7,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1011, 45, 321, 72]",[10036   524  3217   712],[10008   552  3187   742],[10020   540  3186   743],[10057   503  3262   667],[10052   508  3206   723]
2,200,10,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1011, 45, 321, 72]",[10036   524  3217   712],[10008   552  3187   742],[10020   540  3186   743],[10057   503  3262   667],[10052   508  3206   723]
3,300,5,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10036   524  3217   712],[9996  564 3174  755],[10032   528  3206   723],[10060   500  3262   667],[10039   521  3193   736]
4,300,7,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1011, 45, 321, 72]",[10035   525  3217   712],[9996  564 3174  755],[10032   528  3206   723],[10057   503  3262   667],[10039   521  3193   736]
5,300,10,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1011, 45, 321, 72]",[10035   525  3217   712],[9996  564 3174  755],[10032   528  3206   723],[10059   501  3262   667],[10039   521  3193   736]
6,400,5,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10009   551  3205   724],[9996  564 3174  755],[10032   528  3206   723],[10061   499  3263   666],[10040   520  3191   738]
7,400,7,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1011, 45, 321, 72]",[10009   551  3205   724],[9996  564 3175  754],[10032   528  3206   723],[10058   502  3263   666],[10040   520  3191   738]
8,400,10,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1011, 45, 321, 72]",[10009   551  3205   724],[9996  564 3175  754],[10032   528  3206   723],[10058   502  3263   666],[10040   520  3191   738]
9,500,5,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10010   550  3205   724],[9996  564 3174  755],[10032   528  3206   723],[10061   499  3263   666],[10039   521  3190   739]
10,500,7,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1011, 45, 321, 72]",[10009   551  3205   724],[9996  564 3174  755],[10032   528  3206   723],[10058   502  3263   666],[10039   521  3190   739]
11,500,10,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1011, 45, 321, 72]",[10009   551  3205   724],[9996  564 3174  755],[10032   528  3206   723],[10060   500  3263   666],[10039   521  3190   739]
