,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1015, 41, 324, 69]","[999, 57, 293, 100]","[1007, 49, 340, 53]","[989, 67, 284, 109]","[1009, 47, 323, 70]","[1017, 39, 314, 79]",[10026   534  3157   772],[10015   545  3148   781],[10000   560  3130   799],[9999  561 3127  802],[9984  576 3122  807]
1,rbf,0.1,1.0,,"[1020, 36, 319, 74]","[1038, 18, 337, 56]","[1005, 51, 324, 69]","[1030, 26, 330, 63]","[988, 68, 298, 95]","[1017, 39, 319, 74]",[10111   449  3225   704],[10095   465  3196   733],[10109   451  3235   694],[10127   433  3257   672],[10069   491  3193   736]
2,poly,0.1,1.0,2.0,"[1022, 34, 330, 63]","[976, 80, 283, 110]","[1010, 46, 340, 53]","[984, 72, 280, 113]","[1017, 39, 323, 70]","[1002, 54, 298, 95]",[9969  591 3109  820],[9968  592 3123  806],[9936  624 3074  855],[9903  657 3048  881],[9904  656 3033  896]
3,poly,0.1,1.0,3.0,"[853, 203, 259, 134]","[132, 924, 28, 365]","[997, 59, 315, 78]","[86, 970, 69, 324]","[986, 70, 297, 96]","[1003, 53, 303, 90]",[7122 3438 2231 1698],[8611 1949 2743 1186],[8217 2343 2670 1259],[6956 3604 2256 1673],[8718 1842 2703 1226]
4,rbf,0.1,10.0,,"[1030, 26, 354, 39]","[1050, 6, 378, 15]","[1025, 31, 348, 45]","[1052, 4, 387, 6]","[1002, 54, 311, 82]","[1026, 30, 333, 60]",[10232   328  3468   461],[10245   315  3452   477],[10228   332  3456   473],[10277   283  3491   438],[10182   378  3388   541]
5,poly,0.1,10.0,2.0,"[246, 810, 86, 307]","[732, 324, 236, 157]","[265, 791, 119, 274]","[235, 821, 132, 261]","[513, 543, 137, 256]","[793, 263, 260, 133]",[4827 5733 1707 2222],[5556 5004 1824 2105],[4137 6423 1637 2292],[4149 6411 1603 2326],[4488 6072 1705 2224]
6,poly,0.1,10.0,3.0,"[181, 875, 103, 290]","[126, 930, 27, 366]","[140, 916, 39, 354]","[202, 854, 160, 233]","[395, 661, 131, 262]","[204, 852, 131, 262]",[2755 7805 1207 2722],[2337 8223 1112 2817],[1493 9067  569 3360],[1989 8571  824 3105],[2191 8369  836 3093]
7,linear,1.0,,,"[1015, 41, 324, 69]","[999, 57, 293, 100]","[1007, 49, 340, 53]","[989, 67, 284, 109]","[1008, 48, 323, 70]","[1017, 39, 314, 79]",[10025   535  3157   772],[10015   545  3148   781],[9999  561 3130  799],[9977  583 3101  828],[9982  578 3122  807]
8,rbf,1.0,1.0,,"[1004, 52, 299, 94]","[986, 70, 299, 94]","[996, 60, 300, 93]","[967, 89, 284, 109]","[978, 78, 293, 100]","[1003, 53, 306, 87]",[9878  682 3025  904],[9902  658 3030  899],[9892  668 3030  899],[9873  687 3026  903],[9881  679 3036  893]
9,poly,1.0,1.0,2.0,"[1011, 45, 317, 76]","[979, 77, 331, 62]","[1010, 46, 341, 52]","[373, 683, 103, 290]","[1020, 36, 332, 61]","[1000, 56, 301, 92]",[9242 1318 2911 1018],[9256 1304 2907 1022],[8911 1649 2709 1220],[8594 1966 2757 1172],[9751  809 3021  908]
10,poly,1.0,1.0,3.0,"[475, 581, 208, 185]","[332, 724, 179, 214]","[94, 962, 23, 370]","[313, 743, 166, 227]","[124, 932, 31, 362]","[139, 917, 66, 327]",[2339 8221 1089 2840],[3650 6910 1451 2478],[2431 8129 1044 2885],[2871 7689 1114 2815],[3756 6804 1541 2388]
11,rbf,1.0,10.0,,"[1000, 56, 300, 93]","[968, 88, 294, 99]","[995, 61, 309, 84]","[975, 81, 294, 99]","[976, 80, 292, 101]","[1000, 56, 306, 87]",[9838  722 3043  886],[9837  723 3027  902],[9832  728 3023  906],[9814  746 3031  898],[9823  737 3028  901]
