,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[1015, 41, 324, 69]","[992, 64, 288, 105]","[1006, 50, 340, 53]","[989, 67, 284, 109]","[1005, 51, 317, 76]","[1007, 49, 302, 91]",[9998  562 3131  798],[10021   539  3155   774],[10017   543  3148   781],[10005   555  3142   787],[9951  609 3089  840]
1,rbf,0.1,1.0,,50,"[1020, 36, 319, 74]","[1037, 19, 338, 55]","[1005, 51, 325, 68]","[1023, 33, 324, 69]","[988, 68, 296, 97]","[1022, 34, 323, 70]",[10109   451  3226   703],[10097   463  3206   723],[10115   445  3237   692],[10128   432  3251   678],[10074   486  3203   726]
2,poly,0.1,1.0,2.0,50,"[1016, 40, 328, 65]","[978, 78, 284, 109]","[1010, 46, 340, 53]","[991, 65, 286, 107]","[1015, 41, 323, 70]","[1002, 54, 296, 97]",[9974  586 3124  805],[9963  597 3121  808],[9969  591 3104  825],[9913  647 3062  867],[9921  639 3040  889]
3,poly,0.1,1.0,3.0,50,"[1017, 39, 325, 68]","[271, 785, 125, 268]","[1007, 49, 329, 64]","[218, 838, 120, 273]","[986, 70, 298, 95]","[1001, 55, 304, 89]",[7850 2710 2565 1364],[8418 2142 2629 1300],[8246 2314 2621 1308],[7390 3170 2388 1541],[9391 1169 2903 1026]
4,rbf,0.1,10.0,,50,"[1030, 26, 354, 39]","[1050, 6, 378, 15]","[1014, 42, 333, 60]","[1052, 4, 384, 9]","[1002, 54, 311, 82]","[1025, 31, 330, 63]",[10231   329  3457   472],[10256   304  3464   465],[10229   331  3455   474],[10301   259  3505   424],[10187   373  3397   532]
5,poly,0.1,10.0,2.0,50,"[478, 578, 173, 220]","[346, 710, 150, 243]","[475, 581, 176, 217]","[343, 713, 207, 186]","[645, 411, 178, 215]","[466, 590, 182, 211]",[4653 5907 1809 2120],[4914 5646 1913 2016],[4879 5681 1837 2092],[4573 5987 1759 2170],[4715 5845 1835 2094]
6,poly,0.1,10.0,3.0,50,"[254, 802, 116, 277]","[167, 889, 108, 285]","[216, 840, 109, 284]","[167, 889, 126, 267]","[234, 822, 85, 308]","[231, 825, 124, 269]",[2007 8553 1030 2899],[2202 8358 1046 2883],[2262 8298 1106 2823],[2000 8560 1024 2905],[2106 8454 1079 2850]
7,linear,1.0,,,50,"[1015, 41, 324, 69]","[987, 69, 288, 105]","[1005, 51, 340, 53]","[989, 67, 284, 109]","[1005, 51, 317, 76]","[1007, 49, 302, 91]",[9992  568 3131  798],[10019   541  3150   779],[10015   545  3147   782],[9978  582 3105  824],[9951  609 3089  840]
8,rbf,1.0,1.0,,50,"[1002, 54, 300, 93]","[980, 76, 298, 95]","[993, 63, 297, 96]","[963, 93, 278, 115]","[975, 81, 292, 101]","[997, 59, 301, 92]",[9845  715 3011  918],[9886  674 3018  911],[9865  695 3011  918],[9856  704 3023  906],[9876  684 3032  897]
9,poly,1.0,1.0,2.0,50,"[1020, 36, 330, 63]","[865, 191, 298, 95]","[1009, 47, 340, 53]","[614, 442, 265, 128]","[1013, 43, 325, 68]","[1000, 56, 296, 97]",[9459 1101 3088  841],[9519 1041 2986  943],[9430 1130 2980  949],[9264 1296 2958  971],[9898  662 3014  915]
